upc,kind,target_wos,week,item
669576017074,weekly,4.5,2026-08-13,Decoy Premium Seltzer Chardonnay with Lemon & Ginger 4pk 8.4 oz can/ D 750ml
001027,weekly,4.5,2026-08-13,Surly Furious 16oz can
810005491266,weekly,4.5,2026-08-13,Surly Selects Variety Pack 12pk 12oz can
810005490047,weekly,4.5,2026-08-13,Surly One Man Mosh Pit 4pk 16oz can
810059392021,weekly,4.5,2026-08-13,Brewing Projekt Tip Top Maibock 4pk 16oz can
080686019176,weekly,4.5,2026-08-13,Jim Beam Citrus Highball 6pk 12oz can
080432000069,weekly,4.5,2026-08-13,Jameson & Cola 4pk 12oz can
400000023571,weekly,4.5,2026-08-13,Gray Duck Bomba Juice 16 Gallon
850059195352,weekly,4.5,2026-08-13,Beatbox Blueberry Lemonade 500ml
635985245834,weekly,4.5,2026-08-13,Mike's Harder Lemonade 23oz can
865137000138,weekly,4.5,2026-08-13,Sociable Cider Werks Road Rash 4pk 16oz can
085005533724,sunday,4.5,2026-08-09,Monaco Vodka Knockout Punch 12oz can
