Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Coors Light 24pk 12oz can,Premium,"Breakthru Beverage Minnesota Beer, LLC",1557,485.4,3.2,19.36,23.99,20.96,19,,2107,6122,Blaine:21;Stillwater:30;St. Louis Park:38;Bloomington:43;Vadnais Heights:50;Roseville:53;Cottage Grove:97;Rosemount:104;Minneapolis:118;Woodbury:145;Chanhassen:149;Ramsey:157;Osseo:175;Plymouth:189;Andover:189
Coors Light 24pk 16oz can,Premium,"Breakthru Beverage Minnesota Beer, LLC",1483,445.7,3.3,20.65,25.99,22.96,21,,1955,5530,Stillwater:5;Osseo:9;Roseville:19;St. Louis Park:27;Bloomington:33;Plymouth:41;Rosemount:71;Vadnais Heights:101;Cottage Grove:132;Minneapolis:136;Woodbury:154;Ramsey:185;Blaine:263;Andover:313
Busch Light 24pk 12oz can,Below Premium,,1443,362.9,4.0,18.21,22.99,19.96,21,,1601,4461,Minnetonka:4;Rosemount:6;Osseo:26;Plymouth:31;Woodbury:48;Roseville:50;Chanhassen:56;Vadnais Heights:79;Bloomington:99;Blaine:99;St. Louis Park:101;Stillwater:125;Ramsey:130;Cottage Grove:143;Minneapolis:180;Andover:266
Michelob Ultra 24pk 12oz can,Super Premium,,1232,361.9,3.4,21.18,26.99,22.96,22,,1608,4398,Minnetonka:2;Stillwater:13;St. Louis Park:15;Roseville:24;Plymouth:25;Minneapolis:32;Vadnais Heights:38;Chanhassen:45;Osseo:80;Rosemount:89;Cottage Grove:91;Ramsey:92;Blaine:112;Andover:159;Woodbury:206;Bloomington:209
Michelob Golden Light 24pk 12oz can,Premium,,1228,358.2,3.4,19.64,23.99,20.96,18,,1579,4409,Minnetonka:1;Stillwater:14;St. Louis Park:19;Minneapolis:25;Osseo:34;Plymouth:57;Chanhassen:59;Woodbury:71;Roseville:78;Blaine:100;Bloomington:107;Cottage Grove:117;Andover:118;Rosemount:125;Ramsey:138;Vadnais Heights:165
Surfside Variety #2 8pk 12oz can,RTD,"College City Beverage, Inc.",376,242.5,1.6,14.66,23.99,17.96,39,,1172,2522,Minnetonka:4;Bloomington:4;St. Louis Park:5;Cottage Grove:9;Stillwater:14;Rosemount:15;Osseo:20;Plymouth:21;Ramsey:23;Vadnais Heights:31;Blaine:33;Roseville:42;Chanhassen:46;Andover:53;Woodbury:76
White Claw Black Cherry 12pk 12oz can,Seltzer,"Breakthru Beverage Minnesota Beer, LLC",597,218.2,2.7,14.19,18.99,15.96,25,,944,2766,Minnetonka:1;Plymouth:14;St. Louis Park:16;Bloomington:19;Stillwater:19;Roseville:26;Minneapolis:32;Woodbury:32;Rosemount:32;Vadnais Heights:39;Chanhassen:41;Cottage Grove:44;Blaine:51;Andover:70;Osseo:71;Ramsey:90
Coors Light 12pk 12oz can,Premium,,346,216.7,1.6,11.25,14.99,12.96,25,,921,2822,Osseo:19;Minnetonka:1;Stillwater:1;Bloomington:5;Chanhassen:5;Roseville:8;St. Louis Park:10;Ramsey:11;Rosemount:15;Vadnais Heights:21;Andover:27;Plymouth:38;Blaine:40;Minneapolis:41;Cottage Grove:49;Woodbury:55
White Claw Variety Pack #1 12pk 12oz can,Seltzer,,503,205.8,2.4,13.9,18.99,14.96,27,,889,2615,Rosemount:13;Minnetonka:5;Stillwater:9;Woodbury:16;Bloomington:21;Chanhassen:22;Roseville:26;Plymouth:27;Blaine:31;St. Louis Park:38;Minneapolis:46;Andover:48;Osseo:60;Ramsey:68;Cottage Grove:84
Miller Lite 24pk 12oz can,Premium,"Breakthru Beverage Minnesota Beer, LLC",653,204.3,3.2,19.5,23.99,20.96,19,,881,2602,Minnetonka:3;Stillwater:13;St. Louis Park:14;Roseville:18;Andover:19;Rosemount:20;Woodbury:31;Vadnais Heights:37;Plymouth:40;Bloomington:41;Osseo:44;Cottage Grove:67;Chanhassen:69;Ramsey:77;Minneapolis:77;Blaine:83
