Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,56 Brewing,56 Brewing Dad's Basement Beer 4pk 16oz can,615867915826,1,2.1,1,6,45.0,270.0
Andover,Artisan Beer,Bent Paddle Black Ale 6pk 12oz can,858106004039,0,0.0,1,4,9.82,39.0
Andover,Artisan Beer,Blackstack DDH 755 Strata 4pk 16oz can,850000321540,0,0.0,1,6,12.3,74.0
Andover,Artisan Beer,Toppling Goliath Pseudo Sue 4pk 16oz can,852211003321,0,0.0,1,6,10.0,60.0
Andover,Artisan Beer,St Bernardus Abt 12 4pk 12oz btl,699176523316,1,1.4,1,6,19.23,115.0
Andover,Artisan Beer,Half Acre Rotator 4pk 16oz can,850438002509,2,2.1,1,6,9.32,56.0
Andover,Artisan Beer,Blackstack the Land Before Time 4pk 16oz can,850000321311,4,2.1,1,6,12.3,74.0
Andover,Artisan Beer,Firestone Walker IPA Variety 12pk 12oz can,602755003116,3,2.6,1,2,14.22,28.0
Andover,Artisan Beer,Grain Belt Premium 24pk 12oz can,088067085000,8,3.1,3,3,21.42,64.0
Andover,Bernicks,Smirnoff Ice Wild Grape 6pk 12oz btl,082000732143,-7,-4.3,4,16,7.79,125.0
Andover,Bernicks,New Belgium Voodoo Ranger Hoppy Pack 12pk 12oz can,754527010706,-9,-3.9,10,20,13.76,275.0
Andover,Bernicks,Lagunitas Daytime IPA 12pk 12oz can,723830106123,-1,-0.9,3,6,11.59,70.0
Andover,Bernicks,New Belgium Voodoo Ranger Imperial IPA 19.2oz can,754527010218,-4,-0.9,2,30,1.95,59.0
Andover,Bernicks,New Belgium Juice Force 12pk 12oz can,754527012021,-5,-0.8,15,30,13.62,409.0
Andover,Bernicks,Leinenkugel's Sum Shandy 6pk 12oz btl,034100516055,-7,-0.7,12,48,7.73,371.0
Andover,Bernicks,Leinenkugel's Sum Shandy 12pk 12oz can,034100516093,-4,-0.3,27,54,12.84,693.0
Andover,Bernicks,Miller Lite 24pk 16oz can,034100573232,-1,-0.0,93,93,21.39,1989.0
Andover,Bernicks,Milwaukee's Best Ice 15pk 12oz can,034100303440,0,0.0,1,2,9.25,18.0
Andover,Bernicks,Smirnoff Ice Zero Sugar Variety Pack 12pk 11oz can,082000796411,0,0.0,4,8,12.76,102.0
Andover,Bernicks,Miller High Life 12pk 12oz can,034100016364,0,0.0,6,12,10.09,121.0
Andover,Bernicks,Smirnoff Ice Screwdriver 6pk 12oz btl,082000757481,0,0.0,1,4,7.45,30.0
Andover,Bernicks,Smirnoff Ice Red White & Berry 6pk 11oz btl,082000782506,2,0.5,4,16,7.49,120.0
Andover,Bernicks,Schell's Sangria 12pk 12oz can,088067058691,1,0.7,3,6,14.45,87.0
Andover,Bernicks,Miller Lite 6pk 16oz can,03435719,2,0.7,3,12,5.45,65.0
Andover,Bernicks,Guinness Draught 8pk 15oz can,083820123685,3,0.8,5,15,11.96,179.0
Andover,Bernicks,Strongbow Original Dry Hard Cider 4pk 17oz can,088345102207,3,0.8,3,18,5.73,103.0
Andover,Bernicks,Castle Danger Cream Ale 12pk 12oz can,856306005559,4,0.9,7,14,14.88,208.0
Andover,Bernicks,New Belgium Juice Force Hazy IPA 19.2oz can,754527011710,4,0.9,1,15,1.98,30.0
Andover,Bernicks,Grain Belt Premium 24pk 12oz btl,088067082009,4,1.0,12,12,20.31,244.0
Andover,Bernicks,Castle Danger Castle Cream Ale 6pk 12oz can,856306005023,4,1.4,2,8,8.46,68.0
Andover,Bernicks,New Belgium Voodoo Ranger Juicy Haze IPA 19.2oz can,754527011055,4,1.4,1,15,1.94,29.0
Andover,Bernicks,Miller Lite 15pk 16oz can,034100577070,4,1.6,7,7,17.82,125.0
Andover,Bernicks,Lagunitas Hazy IPA 12pk 12oz can,723830300033,3,1.8,2,4,12.0,48.0
Andover,Bernicks,Miller Lite 12pk 12oz can,034100576363,13,1.9,8,16,11.31,181.0
Andover,Bernicks,Milwaukee's Best Light 15pk 12oz can,034100073442,3,2.1,2,4,9.22,37.0
Andover,Bernicks,Miller Genuine Draft 12pk 12oz btl,034100175092,3,2.1,2,4,11.25,45.0
Andover,Bernicks,Guinness Zero N/A 8pk 15oz can,083820125900,2,2.1,1,3,12.74,38.0
Andover,Bernicks,Miller High Life 12pk 12oz btl,034100015091,7,2.3,3,6,10.2,61.0
Andover,Bernicks,Grain Belt Nordeast 12pk 12oz btl,088067088254,10,2.3,4,8,11.78,94.0
Andover,Bernicks,Miller Genuine Draft 24pk 12oz btl,034100172435,3,2.6,2,2,20.22,40.0
Andover,Bernicks,Miller Lite 12pk 12oz btl,034100575090,9,2.6,3,6,11.31,68.0
