upc,Department,Buyer Cost,Deal
615867915949,THC,7.0,3cs Min Buy
615867915963,THC,7.0,3cs Min Buy
615867916137,THC,7.0,3cs Min Buy
860005527014,THC,8.83,
860002139623,THC,8.83,
860005527021,THC,8.83,
860005527045,THC,8.83,
198715532081,THC,8.5,
198715843071,THC,8.5,
198715744828,THC,8.5,
850024846388,THC,7.33,
850024846630,THC,9.17,
850024846647,THC,9.17,
850024846395,THC,7.33,
850024846654,THC,9.17,
850024846661,THC,22.5,
858106004169,THC,9.17,
858106004268,THC,22.5,
858106004251,THC,9.17,
850024846791,THC,22.5,
850024846807,THC,7.5,
649696490094,THC,10.0,Case 1
860011555322,THC,8.0,Pallet Buys
860011555308,THC,8.0,Pallet Buys
860011555315,THC,8.0,Pallet Buys
840006315841,THC,31.5,
810012698061,THC,11.77,
810012698702,THC,15.55,
810012698078,THC,11.77,
810012696890,THC,9.67,Free Good for 4pk Giveaway
810012698481,THC,12.0,
840006314448,THC,13.07,
810012698767,THC,13.07,
840006314486,THC,12.0,
840006313960,THC,26.0,
840006313939,THC,29.17,
840006314424,THC,13.07,
810012698719,THC,13.45,
810012696852,THC,9.67,Free Good for 4pk Giveaway
810012698474,THC,13.07,
810012698535,THC,12.0,
198168598160,THC,11.2,
198715677201,THC,11.2,
198715421057,THC,11.2,
860012637768,THC,2.5,
860013612733,THC,11.33,
860012187997,THC,11.33,
860013707101,THC,9.98,
860013612757,THC,9.98,
860013612719,THC,12.17,
197644523061,THC,9.98,
850047906540,THC,0.0,Case 1
850047906564,THC,0.0,Case 1
850047906175,THC,10.67,Case 1
850047906335,THC,10.67,Case 1
850047906083,THC,10.67,Case 1
850047906458,THC,10.67,Case 1
850047906267,THC,10.67,Case 1
850047906380,THC,14.4,Case 1
860008925190,THC,8.01,
860008925138,THC,8.01,
850048459229,THC,12.0,
850048459212,THC,12.0,
860008925152,THC,9.82,
850048459496,THC,9.82,
850048459465,THC,9.82,
850048459397,THC,6.5,Direct Buy
850048459014,THC,9.82,
850048459335,THC,25.54,
850048459687,THC,9.82,Direct Buy
818485020914,THC,8.33,
628719778098,THC,8.81,
628719778104,THC,8.81,
628719778012,THC,9.33,
628719778111,THC,8.81,
628719778081,THC,9.33,
628719778234,THC,15.2,
602573191699,THC,2.83,
602573191675,THC,2.83,
602573191668,THC,2.83,
197644935406,THC,10.13,
196852070145,THC,8.0,
197644061204,THC,10.13,
196852347186,THC,8.0,
197644565382,THC,10.13,
196852642625,THC,8.0,
85006587023,THC,9.06,
85006587029,THC,9.06,
85006587003,THC,9.06,
85006587016,THC,16.18,Done Purchasing
85006587025,THC,9.06,
85006587007,THC,9.06,
85006587027,THC,9.06,
85006587001,THC,9.06,
85006587005,THC,9.06,
85006587010,THC,24.27,
85006587009,THC,9.06,
850068508259,THC,6.0,Case 1
850068508211,THC,6.0,Case 1
850068508167,THC,6.0,Case 1
850068508273,THC,6.0,Case 1
850068508181,THC,6.0,Case 1
850068508266,THC,6.0,Case 1
850068508280,THC,6.0,Case 1
850068508297,THC,6.0,Case 1
850068508204,THC,6.0,Case 1
850068508303,THC,6.0,Case 1
628719778166,THC,8.67,
628719778128,THC,8.67,
628719778227,THC,12.4,
628719778142,THC,8.67,
764333647836,THC,10.0,100cs M/M 4pks
764333647805,THC,10.0,100cs M/M 4pks
764333647843,THC,10.0,100cs M/M 4pks
764333647812,THC,25.0,100cs Order
810012696937,THC,13.07,Free Good for 4pk Giveaway
840006315377,THC,8.79,
810012699761,THC,11.47,
649696009234,THC,9.0,
613527174484,THC,5.38,
634707037139,THC,5.38,
199284006881,THC,23.5,"Buy a pallet, get 9cs of Gummies Free to hit invoice net of $47"
643459380028,THC,9.75,
643459379916,THC,8.67,
643459379992,THC,9.75,
643459379947,THC,8.67,
643459379985,THC,7.0,
643459379725,THC,10.67,
643459379305,THC,9.75,
198168140956,THC,8.67,
643459380004,THC,9.75,
198168611401,THC,9.75,
643459379541,THC,9.75,
198168350850,THC,8.67,
643459379831,THC,5.0,
643459380035,THC,9.75,
643459379930,THC,8.67,
643459379954,THC,9.75,
643459379961,THC,8.67,
198168016879,THC,9.75,
643459379558,THC,5.0,
643459379435,THC,5.0,
643459379268,THC,5.0,
643459379718,THC,10.67,
643459379909,THC,8.67,
643459379442,THC,5.0,
850055931084,THC,5.7,
850055931183,THC,10.0,
850055931138,THC,11.0,
850055931190,THC,11.0,
850055931008,THC,10.0,
850055931152,THC,5.7,
850055931176,THC,10.0,
850055931251,THC,31.0,
850055931268,THC,31.0,
850055931077,THC,5.7,
850055931220,THC,11.0,
850055931169,THC,10.0,
850055931114,THC,11.0,
850055931060,THC,5.7,
850055931039,THC,10.0,
850055931145,THC,5.7,
850055931213,THC,11.0,
850055931121,THC,11.0,
850055931053,THC,5.7,
850055931046,THC,10.0,
850055931107,THC,11.0,
850055931206,THC,11.0,
628425180024,THC,8.61,12.91 rebate per case
628425180017,THC,8.61,12.91 rebate per case
850056651097,THC,5.83,15c
850056651165,THC,4.5,15c
850056651073,THC,5.83,15c
850056651172,THC,4.5,15c
850009065810,THC,11.73,3cs Min Buy
850009065827,THC,11.73,3cs Min Buy
850009065841,THC,11.73,3cs Min Buy
198168093184,THC,10.01,Pallet Buy 104 Case
198168101940,THC,10.01,Pallet Buy 104 Case
198168474037,THC,10.01,Pallet Buy 104 Case
854249004110,THC,8.67,$10 off of each case
854249004165,THC,8.67,$10 off of each case
854249004059,THC,6.33,$10 off of each case
850033550757,THC,12.72,Quarterly buy
850033550306,THC,17.41,Quarterly buy
850077712050,THC,24.78,Quarterly buy
850033550641,THC,24.78,Quarterly buy
850033550375,THC,24.78,Quarterly buy
850033550528,THC,25.45,Quarterly buy
850033550443,THC,25.45,Quarterly buy
850077712074,THC,25.45,Quarterly buy
850077712005,THC,25.45,Quarterly buy
850033550719,THC,12.72,Quarterly buy
850033550733,THC,12.72,Quarterly buy
850033550726,THC,12.72,Quarterly buy
850033550740,THC,12.72,Quarterly buy
850071300338,THC,9.0,Pallet Buy
850071300345,THC,9.0,Pallet Buy
850071300352,THC,18.0,Pallet Buy
850071300123,THC,13.67,Pallet Buy
850071300321,THC,9.0,Pallet Buy
850071300314,THC,9.0,Pallet Buy
198715584578,THC,7.83,
198715342673,THC,7.83,
198715419979,THC,7.83,
669185541038,THC,1.33,60 Day Reorder Time
669185409260,THC,3.13,60 Day Reorder Time
669185541007,THC,2.23,60 Day Reorder Time
669185541045,THC,1.33,60 Day Reorder Time
669185541069,THC,1.33,60 Day Reorder Time
669185403787,THC,2.23,60 Day Reorder Time
669185409222,THC,3.13,60 Day Reorder Time
669185541014,THC,2.23,60 Day Reorder Time
669185403756,THC,2.23,60 Day Reorder Time
669185540987,THC,1.33,60 Day Reorder Time
669185409239,THC,3.13,60 Day Reorder Time
669185403800,THC,2.23,60 Day Reorder Time
669185541052,THC,1.33,60 Day Reorder Time
669185403763,THC,2.23,60 Day Reorder Time
669185409246,THC,3.13,60 Day Reorder Time
669185409253,THC,3.13,60 Day Reorder Time
669185409208,THC,2.23,60 Day Reorder Time
669185409215,THC,2.23,60 Day Reorder Time
669185541021,THC,1.33,60 Day Reorder Time
669185403794,THC,2.23,60 Day Reorder Time
669185403817,THC,2.23,60 Day Reorder Time
669185409277,THC,3.13,60 Day Reorder Time
685165387106,THC,8.4,Lift Bridge Supports to Hit Pricing
685165387076,THC,8.4,Lift Bridge Supports to Hit Pricing
685165387120,THC,20.72,Lift Bridge Supports to Hit Pricing
685165385218,THC,9.9,$14.40/cs Rebate paid out by LB at the end of each quarter
685165385119,THC,9.9,$14.40/cs Rebate paid out by LB at the end of each quarter
198715259247,THC,11.2,
198715952650,THC,11.2,
