upc,Item,Department
860012808380,Artet Single Serve Aperitif 5mg THC,THC
850056651165,Happy Duck Bomba 5mg THC 10 Pack,THC
850056651141,Happy Duck Bomba 10mg 2oz Shot,THC
850056651172,Happy Duck Tangerine 5mg THC 10 Pack,THC
850056651158,Happy Duck Tangerine 10mg 2oz Shot,THC
850077712050,Insight Flavor Pixels 10mg THC Variety #2 12pk 12oz can,THC
850077712074,Insight Flavor Pixels PEACH MANGO PLUS 10MG THC 12pk 12oz can,THC
850077712005,Insight Flavor Pixels RASPERRY PEAR 10mg THC 12pk 12oz can,THC
810095561795,Modist Melt Cran Apple THC 10mg 4pk 12oz can,THC
810095561764,Modist Melt Hot Box THC 10mg Variety 2/12pk/12oz can,THC
810095561665,Modist Melt Ginger Lemon Lime THC 10mg 4pk 12oz can,THC
860010283370,Nibbana Lavender Lullaby (Sleep) Gummies,THC
850027710884,Nibbana Sour Watermelon Gummies,THC
860011622079,Uplift THC Shot - Pink Lemonade 10MG THC/10MG CBG,THC
860011622086,Relax THC Shot - Blueberry Pomegranate 10MG THC/10MG CBN,THC
860011622062,Anytime THC Shot - Citrus Lime 10MG THC/10MG CBD,THC
850018947961,Birdie Passion Fruit Guava 10mg THC 4pk 12oz can,THC
850018947718,Birdie Pineapple Mango 10mg THC 4pk 12oz can,THC
850018947886,Birdie Spiced Apple 5mg THC 4pk 12oz can,THC
850079194021,Odder Berry Pineapple 10mg THC 4pk 12oz can,THC
850018947985,Odder Lemon Lime Cherry 10mg THC 4pk 12oz can,THC
850079194007,Odder Mango Guava 10mg THC 4pk 12oz can,THC
850079194045,Odder THC Variety 9pk 12oz can,THC
850070493017,Amigos Cherry Limeade,THC
850070493000,Amigos Key Lime Margarita,THC
860011842798,Amigos Watermelon Mojito,THC
198715698350,Aura - Blackberry Lavender Shot - 10mg 2oz shot,THC
198715823509,Aura - Lemon Basil Shot - 10mg 2oz shot,THC
198715018134,Aura - Peach Ginger Shot - 10mg 2oz shot,THC
198715969283,Bootlegger - Coconut Rum Shot - 10mg 2oz shot,THC
198715897647,Bootlegger - Mai Tai Shot - 10mg 2oz shot,THC
198715534696,Bootlegger - Mojito Shot - 10mg 2oz shot,THC
840287705843,Herbal Oasis Berry Fusion,THC
840287705713,Herbal Oasis Mango Bliss,THC
840287705867,Herbal Oasis Tropic Wave,THC
850051997299,Hop the Wave - Iced Tea & Lemonade 10mg 4pk 12oz can,THC
850051997152,Hop the Wave - Peach Iced Tea 10mg 4pk 12oz can,THC
850051997312,Hop the Wave - Raspberry Iced Tea 10mg 4pk 12oz can,THC
199284714281,Looner - 1/2 and 1/2 Lemonade Shot - 10mg 2oz shot,THC
199284440517,Looner - Classic Lemonade Shot - 10mg 2oz shot,THC
198168411445,Looner - Horizon gummies - Mixed,THC
197644425921,Looner - Lunar gummies - Blueberry Lavender 10 CBN,THC
197644788644,Looner - Nooner gummies - Watermelon 10 CBG,THC
199284977952,Looner - Peach Lemonade Shot - 10mg 2oz shot,THC
199284514461,Looner - Pink Lemonade Shot - 10mg 2oz shot,THC
198168425602,Looner - Twilight gummies - Blackberry 25 CBN,THC
198715202335,Looner - Twilight gummies - Mango 25 CBN,THC
198715111019,Looner - Twilight gummies - Strawberry 25 CBN,THC
198715084917,Looner - Zenith gummies - Blackberry 25 CBG,THC
198715643879,Looner - Zenith gummies - Mango 25 CBG,THC
198715853483,Looner - Zenith gummies - Strawberry 25 CBG,THC
198168803523,Midwest Famous - Ranch Water - 10mg 4pk 12oz can,THC
198715298512,Midwest Famous - Spritz - 10mg 4pk 12oz can,THC
850052037161,Sensi - Lemonade 10mg 4pk 12oz can,THC
850052037208,Sensi - Strawberry Lemonade 10mg 4pk 12oz can,THC
850018407359,Sun Dogs - Purple Lemonade 10,THC
850018407298,Sun Dogs - Purple Lemonade 5,THC
