Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
MN Ice Small Bag,Ice,,414,676.6,0.6,1.25,3.49,2.96,64,,3315,6830,Plymouth:17;Stillwater:29;Vadnais Heights:35;Rosemount:74;Osseo:83;Minneapolis:87;Bloomington:127;Minnetonka:129;Chanhassen:135;Roseville:157
MN Ice Big Bag,Ice,,-497,491.6,-1.0,3.33,6.49,5.96,49,,2538,4379,Stillwater:1;Bloomington:31;Minnetonka:32;Osseo:38
Schweppes Club Soda Liter,Mixes,Pepsi-Cola,894,141.3,6.3,1.35,2.29,1.96,41,,643,1649,Roseville:1;Plymouth:17;Minneapolis:28;Woodbury:29;Osseo:31;Bloomington:42;Chanhassen:49;Minnetonka:56;Vadnais Heights:76;Rosemount:99;Andover:102;Blaine:103;Cottage Grove:112;Stillwater:154
Marlboro Gold,Cigarettes,,543,127.8,4.2,12.54,14.99,,16,,562,1578,Stillwater:2;Minneapolis:3;Plymouth:12;Woodbury:15;Blaine:19;Ramsey:24;Osseo:29;Chanhassen:41;Cottage Grove:47;St. Louis Park:76;Andover:102;Vadnais Heights:175
Schweppes Diet Tonic Liter,Mixes,Pepsi-Cola,766,106.3,7.2,1.28,2.29,1.96,44,,473,1288,Roseville:3;Osseo:39;Plymouth:41;Woodbury:44;Andover:48;St. Louis Park:54;Chanhassen:55;Bloomington:58;Stillwater:58;Rosemount:63;Minnetonka:65;Minneapolis:75;Blaine:82;Vadnais Heights:83
Schweppes Tonic Liter,Mixes,Pepsi-Cola,596,88.0,6.8,1.34,2.29,1.96,42,,401,1025,Roseville:5;Plymouth:10;St. Louis Park:12;Stillwater:16;Osseo:19;Chanhassen:29;Woodbury:31;Blaine:32;Bloomington:40;Vadnais Heights:51;Minnetonka:57;Andover:74;Minneapolis:107;Rosemount:115
Polar Club Soda Liter,Mixes,"Capitol Beverage Sales, L.P.",201,79.8,2.5,0.91,2.29,1.74,60,,364,926,Ramsey:2;Minneapolis:3;Andover:8;Vadnais Heights:9;Bloomington:9;Blaine:10;Minnetonka:13;Stillwater:17;Roseville:20;St. Louis Park:24;Osseo:26;Woodbury:60
Coke 20oz,Mixes,Great Lakes Coca-Cola Distribution,611,77.0,7.9,2.08,3.49,2.26,40,,352,891,Osseo:2;Rosemount:5;Vadnais Heights:13;Roseville:14;St. Louis Park:21;Ramsey:23;Cottage Grove:25;Minneapolis:29;Chanhassen:33;Andover:35;Stillwater:45;Blaine:50;Woodbury:62;Plymouth:77;Minnetonka:84;Bloomington:93
ReaLime 5oz,Mixes,Bellboy Corporation,188,67.2,2.8,1.03,2.29,1.24,55,,309,771,Stillwater:1;Ramsey:3;Andover:4;Bloomington:8;Osseo:10;Cottage Grove:11;Minnetonka:12;Woodbury:15;Vadnais Heights:17;Rosemount:19;Plymouth:20;St. Louis Park:21;Minneapolis:22;Roseville:25
Sprite 20oz,Mixes,Great Lakes Coca-Cola Distribution,440,63.2,7.0,2.07,3.49,2.26,41,,288,736,Osseo:1;Roseville:1;Stillwater:2;Ramsey:13;Andover:19;Minneapolis:19;Minnetonka:23;Vadnais Heights:28;Cottage Grove:36;Bloomington:44;Woodbury:45;Chanhassen:47;Plymouth:55;Rosemount:56;Blaine:66
Tip Item,,,0,56.8,0.0,,,,,,240,746,
Coke Diet 20oz,Mixes,Great Lakes Coca-Cola Distribution,465,56.8,8.2,2.07,3.49,2.26,41,,252,691,St. Louis Park:3;Osseo:7;Roseville:9;Blaine:10;Bloomington:11;Vadnais Heights:13;Stillwater:20;Ramsey:20;Rosemount:22;Andover:25;Minneapolis:41;Minnetonka:43;Plymouth:44;Chanhassen:56;Cottage Grove:69;Woodbury:72
Sprite 2L,Mixes,Great Lakes Coca-Cola Distribution,133,55.8,2.4,3.21,4.49,3.46,29,,246,686,Minnetonka:3;Stillwater:3;Bloomington:6;Andover:7;Vadnais Heights:13;Woodbury:13;Chanhassen:14;Cottage Grove:16;Plymouth:17;Blaine:23;Rosemount:24
Coke Diet 2L,Mixes,Great Lakes Coca-Cola Distribution,214,55.0,3.9,3.21,4.49,3.46,28,,230,734,Minnetonka:3;Ramsey:3;Cottage Grove:4;Vadnais Heights:6;Rosemount:6;St. Louis Park:8;Blaine:15;Bloomington:20;Chanhassen:20;Plymouth:24;Andover:50;Woodbury:55
Red Bull Energy Drink 8oz can,Mixes,Red Bull Distribution Company,329,52.2,6.3,1.75,3.49,2.46,50,,238,607,Roseville:1;St. Louis Park:2;Ramsey:5;Stillwater:5;Andover:10;Vadnais Heights:14;Plymouth:18;Chanhassen:21;Woodbury:25;Minnetonka:28;Bloomington:35;Osseo:39;Cottage Grove:46;Minneapolis:48;Rosemount:49
Coke 2L,Mixes,Great Lakes Coca-Cola Distribution,246,52.0,4.7,3.2,4.49,3.46,29,,223,667,Osseo:1;Rosemount:5;Ramsey:6;St. Louis Park:7;Roseville:8;Stillwater:9;Vadnais Heights:13;Cottage Grove:13;Andover:17;Minneapolis:17;Chanhassen:20;Woodbury:21;Blaine:21;Minnetonka:24;Bloomington:28;Plymouth:36
Minute Maid Lemonade 2L,Mixes,Great Lakes Coca-Cola Distribution,150,50.6,3.0,3.21,4.49,3.46,29,,224,617,Rosemount:2;Chanhassen:6;Andover:9;Plymouth:10;Bloomington:10;Minnetonka:12;Blaine:12;Vadnais Heights:13;Minneapolis:24;Cottage Grove:25;Woodbury:30
Marlboro,Cigarettes,"M Amundson, LLP",311,46.0,6.8,12.53,14.99,,16,,204,561,Rosemount:1;Osseo:5;Vadnais Heights:13;Plymouth:14;St. Louis Park:14;Ramsey:18;Minneapolis:18;Blaine:31;Woodbury:37;Chanhassen:43;Andover:57;Cottage Grove:61
Master of Mixes Simple Syrup 375ml,Mixes,Johnson Brothers - St. Paul,131,42.2,3.1,2.76,4.49,3.96,39,,186,519,Osseo:2;Vadnais Heights:2;Blaine:3;Bloomington:5;Minnetonka:7;Woodbury:7;St. Louis Park:8;Chanhassen:10;Minneapolis:10;Roseville:11;Cottage Grove:12;Andover:14;Rosemount:17;Stillwater:24
Monster Zero Ultra 16oz can,Mixes,Great Lakes Coca-Cola Distribution,511,41.9,12.2,2.05,2.49,,18,,189,495,Osseo:11;Ramsey:15;Stillwater:16;Minnetonka:18;Chanhassen:18;Vadnais Heights:18;Woodbury:18;Andover:18;Rosemount:37;Cottage Grove:39;Blaine:44;Roseville:46;Minneapolis:57;Bloomington:76;Plymouth:80
Sprite Diet Zero 2L,Mixes,Great Lakes Coca-Cola Distribution,102,39.7,2.6,3.21,4.49,3.46,29,,168,519,Roseville:1;Rosemount:2;St. Louis Park:3;Vadnais Heights:6;Minneapolis:6;Plymouth:9;Woodbury:10;Blaine:16;Chanhassen:17;Andover:18;Cottage Grove:20
Marlboro Gold Pack 100s,Cigarettes,"M Amundson, LLP",418,39.7,10.5,12.54,14.99,,16,,173,497,Rosemount:1;Osseo:7;Plymouth:12;Minneapolis:13;Cottage Grove:15;St. Louis Park:19;Chanhassen:21;Roseville:26;Blaine:31;Ramsey:40;Woodbury:54;Andover:57;Vadnais Heights:122
Dasani 20oz,Mixes,Great Lakes Coca-Cola Distribution,428,39.6,10.8,1.29,1.49,,14,,192,408,Minnetonka:7;Andover:9;Bloomington:9;Ramsey:11;Woodbury:23;Plymouth:29;Roseville:33;Stillwater:35;Vadnais Heights:48;Chanhassen:48;Cottage Grove:50;Minneapolis:56;St. Louis Park:70
Non-Refundable Transaction,,,-1519,39.4,-38.5,,,,,,227,246,
Tres Agaves Margarita Mix Liter,Mixes,Phillips Wine & Spirits - St. Paul,99,38.6,2.6,5.96,11.49,9.96,48,Case 1,178,441,Cottage Grove:2;Roseville:2;Stillwater:3;Plymouth:5;Osseo:6;Woodbury:7;Andover:7;Vadnais Heights:8;Rosemount:8;Chanhassen:9;Minnetonka:10;Bloomington:32
Red Bull Energy Drink 12oz can,Mixes,Red Bull Distribution Company,363,35.1,10.3,2.28,4.49,3.46,49,,139,504,Roseville:10;Vadnais Heights:17;Andover:22;Stillwater:23;Plymouth:25;Chanhassen:26;Woodbury:26;St. Louis Park:28;Bloomington:35;Minneapolis:48;Cottage Grove:48;Rosemount:55
American Spirit Yellow,Cigarettes,,288,33.9,8.5,14.03,16.99,,17,,156,389,Stillwater:5;Blaine:6;Plymouth:10;Osseo:13;Roseville:15;Woodbury:16;St. Louis Park:18;Andover:20;Ramsey:28;Minneapolis:29;Chanhassen:35;Cottage Grove:36;Vadnais Heights:57
Red Bull Sugar Free 8oz can,Mixes,Red Bull Distribution Company,488,33.2,14.7,1.76,3.49,2.46,50,,136,454,Stillwater:1;Blaine:4;St. Louis Park:5;Plymouth:8;Roseville:8;Ramsey:18;Vadnais Heights:21;Woodbury:21;Minnetonka:38;Bloomington:38;Andover:39;Rosemount:40;Osseo:46;Minneapolis:48;Cottage Grove:50;Chanhassen:103
Minute Maid Lemonade 20oz,Mixes,Great Lakes Coca-Cola Distribution,228,32.2,7.1,2.09,3.49,2.26,40,,150,361,Chanhassen:5;Andover:17;Minneapolis:18;Rosemount:20;Woodbury:23;Stillwater:29;Plymouth:32;Vadnais Heights:38;Bloomington:46
Marlboro Silver,Cigarettes,"M Amundson, LLP",333,32.2,10.4,12.55,14.99,,16,,140,404,Osseo:5;Plymouth:10;Woodbury:12;Roseville:14;Rosemount:17;St. Louis Park:28;Cottage Grove:28;Chanhassen:35;Ramsey:39;Andover:40;Blaine:44;Vadnais Heights:61
MTN Dew 20oz btl,Mixes,Pepsi-Cola,559,30.7,18.2,1.71,3.49,2.46,51,,138,366,Minneapolis:11;Plymouth:14;Roseville:14;Ramsey:18;Chanhassen:19;Rosemount:22;Minnetonka:24;Woodbury:26;Osseo:51;St. Louis Park:52;Stillwater:58;Cottage Grove:60;Andover:64;Blaine:126
Newport  100,Cigarettes,,189,30.4,6.2,13.38,15.99,,16,,129,397,Woodbury:2;St. Louis Park:9;Chanhassen:15;Andover:18;Osseo:20;Minneapolis:24;Blaine:27;Cottage Grove:30;Ramsey:44
Camel Blue Box,Cigarettes,"M Amundson, LLP",298,29.3,10.2,12.84,14.99,,14,,129,360,Rosemount:3;Minneapolis:9;Roseville:12;Plymouth:15;Osseo:19;Cottage Grove:20;Andover:27;Woodbury:29;Ramsey:51;Vadnais Heights:53;Blaine:60
Fresca 2L,Mixes,Great Lakes Coca-Cola Distribution,97,27.0,3.6,3.21,4.49,3.46,29,,117,341,Cottage Grove:1;Stillwater:2;Vadnais Heights:2;Minnetonka:3;Ramsey:7;Plymouth:11;Andover:12;Roseville:13;Rosemount:15;Blaine:15;Woodbury:19
Gatorade Cool Blue 20oz,Mixes,Pepsi-Cola,236,26.8,8.8,1.83,1.99,,8,,122,314,St. Louis Park:1;Osseo:3;Roseville:5;Andover:21;Vadnais Heights:21;Cottage Grove:27;Stillwater:30;Woodbury:31;Plymouth:45;Blaine:52
Polar Diet Tonic Water Liter,Mixes,"Capitol Beverage Sales, L.P.",231,26.3,8.8,0.76,2.29,1.74,67,,116,324,Rosemount:3;Stillwater:7;Minneapolis:8;Chanhassen:9;Ramsey:11;Minnetonka:12;Vadnais Heights:20;Osseo:21;Woodbury:23;Roseville:26;Blaine:27;Bloomington:31;St. Louis Park:33
Filthy Olive Brine 8oz,Mixes,Phillips Wine & Spirits - St. Paul,105,26.0,4.0,3.59,4.49,3.96,20,1 free olive brine on 10 cases,117,309,St. Louis Park:1;Ramsey:2;Minnetonka:4;Woodbury:4;Osseo:5;Rosemount:6;Stillwater:8;Blaine:9;Cottage Grove:10;Plymouth:10;Andover:10;Bloomington:11;Chanhassen:12;Vadnais Heights:13
Bic Colored Lighter,Accessories,"M Amundson, LLP",494,25.9,19.1,1.14,1.79,,36,,116,311,Plymouth:6;Stillwater:13;Vadnais Heights:29;Woodbury:32;Chanhassen:33;Roseville:34;Ramsey:36;Andover:39;St. Louis Park:48;Blaine:50;Osseo:53;Cottage Grove:58;Minneapolis:63
Polar Tonic Water Liter,Mixes,"Capitol Beverage Sales, L.P.",238,25.5,9.3,0.75,2.29,1.74,67,,117,294,Stillwater:4;Vadnais Heights:6;Chanhassen:6;Rosemount:8;Woodbury:11;Ramsey:14;Minnetonka:15;Minneapolis:15;Andover:17;Roseville:18;Blaine:23;Osseo:25;Bloomington:26;St. Louis Park:50
