Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,Am Craft Spirits,Liber & Co Old Fashioned Syrup 375ml,5061029440401,0,0.0,1,6,13.0,78.0
Andover,Bellboy Corporation,The Royal Cherry 10oz,071943117131,0,0.0,1,6,3.17,19.0
Andover,Bellboy Corporation,Rokz Bloody Mary Salt 4oz,855439000738,0,0.0,1,6,3.79,23.0
Andover,Bellboy Corporation,Mr & Mrs T Bloody Mary Liter,070655901304,0,0.0,1,6,4.58,27.0
Andover,Bellboy Corporation,Roses Grenadine Liter,016600000760,0,0.0,1,12,5.43,65.0
Andover,Bellboy Corporation,Dole Pineapple Juice 46oz,038900008086,0,0.0,1,12,4.37,52.0
Andover,Bellboy Corporation,ReaLime Lime Juice 8oz,014800582048,1,0.3,2,24,1.55,37.0
Andover,Bellboy Corporation,SBOC Pimento Martini Olives 5oz,089156801129,1,2.1,1,6,3.4,20.0
Andover,Bellboy Corporation,Luxardo Maraschino Cherries 12oz,187229127289,5,3.1,1,12,12.95,155.0
Andover,Bellboy Corporation,Jose Cuervo  Margarita Salt 6oz,076381123454,3,3.2,1,12,2.23,27.0
Andover,Bellboy Corporation,ReaLemon 5oz,014800582178,12,3.7,1,24,0.97,23.0
Andover,"Breakthru Beverage Minnesota Beer, LLC",1919 Root Beer 16 Gallon,400000023311,0,0.0,3,3,94.0,282.0
Andover,"Breakthru Beverage Minnesota Beer, LLC",1919 Root Beer 8 Gallon,400000023312,1,1.4,2,2,59.0,118.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Mr & Mrs T Bold & Spicy 1.75L,070655910030,0,0.0,1,6,7.5,45.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Mr & Mrs T Bloody Mary 1.75L,070655910016,0,0.0,1,6,7.4,44.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Roses Sweetened Lime Liter,016600000739,3,3.2,1,12,5.92,71.0
Andover,"Capitol Beverage Sales, L.P.",Curts Bloody Mary Mix 1 Quart,688677626787,0,0.0,1,12,5.42,65.0
Andover,"Capitol Beverage Sales, L.P.",Polar Club Soda Liter,071537020045,0,0.0,2,24,0.89,21.0
Andover,"Capitol Beverage Sales, L.P.",Polar Diet Tonic Water w/Lime Liter,071537020670,3,0.3,4,48,0.7,34.0
Andover,Dahlheimer Beverage Monticello,Fever Tree Club Soda 500ml,898195001489,2,2.1,1,8,2.05,16.0
Andover,Great Lakes Coca-Cola Distribution,Coke Zero 2L,049000050141,3,1.0,2,16,3.21,51.0
Andover,Great Lakes Coca-Cola Distribution,Monster Zero Ultra 16oz can,070847012474,6,1.1,1,24,2.05,49.0
Andover,Great Lakes Coca-Cola Distribution,Sprite 12pk 12oz can,049000028928,3,1.2,4,8,9.64,77.0
Andover,Great Lakes Coca-Cola Distribution,Sprite 20oz,04976400,9,1.3,1,24,2.08,50.0
Andover,Great Lakes Coca-Cola Distribution,Monster Absolutely Zero 16oz can,070847000037,4,1.9,1,24,2.04,49.0
Andover,Great Lakes Coca-Cola Distribution,Sprite 2L,049000050158,6,2.0,1,8,3.21,26.0
Andover,Great Lakes Coca-Cola Distribution,Minute Maid Lemonade 20oz,025000058011,9,2.3,1,24,2.09,50.0
Andover,Great Lakes Coca-Cola Distribution,Coke Diet 12pk 12oz can,049000028911,7,2.5,3,6,9.54,57.0
Andover,Johnson Brothers - St. Paul,Master of Mixes Marg Mix Liter,070491212725,0,0.0,1,12,1.28,15.0
Andover,Johnson Brothers - St. Paul,Jose Cuervo Margarita Mix 1.75L,811538011150,3,1.3,2,12,5.02,60.0
Andover,Johnson Brothers - St. Paul,Finest Call Sweet & Sour Liter,070491801950,3,2.1,1,12,4.0,48.0
Andover,Johnson Brothers - St. Paul,Master of Mixes Simple Syrup 375ml,070491352070,10,3.6,1,12,2.67,32.0
Andover,Joseph Zimmerley,Bootleg Cocktail Mix,860000597500,6,1.7,8,8,17.23,138.0
Andover,Joseph Zimmerley,Luna Paloma Cocktail Mix,860000597517,4,2.4,3,3,17.08,51.0
Andover,Joseph Zimmerley,Perfect Press Margarita Cocktail Mix,860000597524,6,2.6,4,4,17.16,69.0
Andover,Joseph Zimmerley,Perfect Press Jalapeno Margarita Cocktail Mix,860000597531,5,3.6,1,1,17.19,17.0
Andover,Pepsi-Cola,Diet Dr Pepper 2L,078000083460,5,2.4,1,8,2.42,19.0
Andover,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary Dill Pickles 32oz,616003616232,-1,-0.6,2,12,3.67,44.0
