upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
615867915949,THC,12.99,36,3cs Min Buy,7.0,7.0
615867915963,THC,12.99,36,3cs Min Buy,7.0,7.0
615867916137,THC,12.99,36,3cs Min Buy,7.0,7.0
860005527014,THC,16.99,37,,8.83,8.83
860002139623,THC,16.99,37,,8.83,8.83
860005527021,THC,16.99,37,,8.83,8.83
860005527045,THC,16.99,37,,8.83,8.83
198715532081,THC,15.99,34,,8.5,8.5
198715843071,THC,15.99,34,,8.5,8.5
198715744828,THC,15.99,34,,8.5,8.5
850024846388,THC,12.99,33,,7.33,7.33
850024846630,THC,16.99,34,,9.17,9.17
850024846647,THC,16.99,34,,9.17,9.17
850024846395,THC,12.99,33,,7.33,7.33
850024846654,THC,16.99,34,,9.17,9.17
850024846661,THC,42.99,37,,22.5,22.5
858106004169,THC,16.99,34,,9.17,9.17
858106004268,THC,42.99,37,,22.5,22.5
858106004251,THC,16.99,34,,9.17,9.17
850024846791,THC,42.99,37,,22.5,22.5
850024846807,THC,16.99,46,,7.5,7.5
649696490094,THC,18.99,37,Case 1,10.0,10.0
860011555322,THC,17.99,47,Pallet Buys,8.0,8.0
860011555308,THC,17.99,47,Pallet Buys,8.0,8.0
860011555315,THC,17.99,47,Pallet Buys,8.0,8.0
810012698061,THC,21.99,34,,11.77,11.77
810012698702,THC,27.99,32,,15.55,15.55
810012698078,THC,21.99,34,,11.77,11.77
810012696890,THC,17.99,35,Free Good for 4pk Giveaway,9.67,9.67
810012698481,THC,22.99,34,,12.5,12.5
810012698767,THC,24.99,34,,13.92,13.92
840006313960,THC,47.99,30,,28.0,28.0
840006313939,THC,53.99,53,,21.0,21.0
810012698740,THC,36.99,35,,20.0,20.0
810012698719,THC,24.99,36,,13.45,13.45
810012696852,THC,17.99,35,Free Good for 4pk Giveaway,9.67,9.67
810012698474,THC,25.99,37,,13.92,13.92
810012698535,THC,22.99,34,,12.5,12.5
198168598160,THC,19.99,34,,11.2,11.2
198715677201,THC,19.99,34,,11.2,11.2
198715421057,THC,19.99,34,,11.2,11.2
860012637768,THC,6.99,58,,2.5,2.5
860013612733,THC,21.99,37,,11.33,11.33
197644309047,THC,-0.01,100,,0.0,
860012187997,THC,21.99,37,,11.33,11.33
860013707101,THC,17.99,33,,9.98,9.98
860013612757,THC,17.99,33,,9.98,9.98
860013612719,THC,22.99,36,,12.17,12.17
197644523061,THC,17.99,33,,9.98,9.98
860012187980,THC,16.99,34,,9.17,9.17
197644087846,THC,-0.01,100,,0.0,
850047906540,THC,-0.01,100,Case 1,0.0,
850047906564,THC,-0.01,100,Case 1,0.0,
850047906175,THC,19.99,37,Case 1,10.67,10.67
850047906335,THC,19.99,37,Case 1,10.67,10.67
850047906083,THC,19.99,37,Case 1,10.67,10.67
850047906458,THC,19.99,37,Case 1,10.67,10.67
850047906267,THC,19.99,37,Case 1,10.67,10.67
850047906380,THC,25.99,34,Case 1,14.4,14.4
860008925190,THC,15.99,38,,8.01,9.33
860008925138,THC,15.99,38,,8.01,9.33
850048459229,THC,23.99,40,,12.0,12.0
850048459212,THC,23.99,40,,12.0,12.0
860008925152,THC,21.99,45,,9.82,11.0
850048459496,THC,21.99,45,,9.82,11.0
850048459465,THC,17.99,34,,9.82,11.0
850048459397,THC,11.99,35,Direct Buy,6.5,6.5
850048459014,THC,21.99,45,,9.82,11.0
850048459335,THC,48.99,38,,25.54,29.5
850048459687,THC,17.99,34,Direct Buy,9.82,11.0
818485020914,THC,15.99,36,,8.33,8.33
628719778098,THC,16.99,37,,8.81,8.81
628719778104,THC,16.99,37,,8.81,8.81
628719778012,THC,18.99,42,,9.33,9.33
628719778111,THC,18.99,45,,8.81,8.81
628719778081,THC,18.99,42,,9.33,9.33
628719778234,THC,28.99,37,,15.2,15.2
602573191699,THC,4.99,28,,2.83,2.83
602573191675,THC,4.99,28,,2.83,2.83
602573191668,THC,4.99,28,,2.83,2.83
197644935406,THC,18.99,37,,10.13,10.13
196852070145,THC,13.99,33,,8.0,8.0
197644061204,THC,18.99,37,,10.13,10.13
196852347186,THC,13.99,33,,8.0,8.0
197644565382,THC,18.99,37,,10.13,10.13
196852642625,THC,13.99,33,,8.0,8.0
85006587023,THC,16.49,35,,9.06,10.5
85006587029,THC,16.49,35,,9.06,10.5
85006587003,THC,16.49,35,,9.06,10.5
85006587016,THC,28.99,35,Done Purchasing,16.18,18.67
85006587025,THC,16.49,35,,9.06,10.5
85006587007,THC,16.49,35,,9.06,10.5
85006587027,THC,16.49,35,,9.06,10.5
85006587001,THC,16.49,35,,9.06,10.5
