upc,Item,Department
615867915925,Acre Mango Green Tea 5mg THC 4pk 12oz can,THC
615867916021,Acre Peach White Tea 10mg THC 4pk 12oz can,THC
649696145710,Berserker's Negroni 10mg THC 4pk 12oz can,THC
649696330901,Berserkers Old Fashioned 10mg THC 4pk 12oz can,THC
850000320406,Blackstack Real Trees King Size Passion Papaya 10mg THC 4pk 16oz can,THC
850000320253,Blackstack Real Trees THC Minnesota Mule 4pk 16oz can,THC
810012698061,BLNCD Adaptogen Elixir Brain Boost 5mg THC 4pk 12oz can,THC
810012698702,BLNCD Adaptogen Elixir Variety Pack 5mg THC 6pk 12oz can,THC
810012698078,BLNCD Adaptogen Elixir Zen Blend 5mg THC 4pk 12oz can,THC
810012698481,BLNCD Brain Boost Adaptogen 50mg THC Gummies 10pk,THC
810012698767,BLNCD Cucumber Mojito 10mg THC 4pk 12oz can,THC
810012698139,BLNCD Fuse 50mg THC 5 Pack,THC
840006313960,BLNCD FUSE 50mg THC 500ml,THC
810012698238,BLNCD Levitate 50mg THC 5 Pack,THC
840006313939,BLNCD Levitate 50mg THC 500ml,THC
810012698740,BLNCD Mocktail Variety Pack 10mg THC 6pk 12oz can,THC
810012698719,BLNCD Sparkling Water Variety Pack 5mg THC 6pk 12oz can,THC
810012698474,BLNCD Watermelon Margarita 10mg THC 4pk 12oz can,THC
810012698535,BLNCD Zen Blend Adaptogen 50mg THC Gummies 10pk,THC
850051796007,Calexo Citrus Rose 5mg THC 4pk 12oz can,THC
850051796014,Calexo Cucumber Citron 5mg THC 4pk 12oz can,THC
850051796021,Calexo Semitropic 5mg THC 4pk 12oz can,THC
658580777906,Cannachill Blueberry Indica 10 Pack,THC
661537424068,Cannachill Blueberry Indica 4pk 12oz can,THC
685457580581,Cannachill Citrus 4pk 12oz can,THC
658580777913,Cannachill Citrus Hybrid 10 Pack,THC
804467597048,Cannachill Fuji Apple 10mg THC 4pk 12oz can,THC
658580777937,Cannachill Lemon Sativa 10 Pack,THC
676737673116,Cannachill Lemon Sativa 4pk 12oz can,THC
658580777920,Cannachill Passionfruit Sativa 10 Pack,THC
648275776373,Cannachill Passionfruit Sativa 4pk 12oz can,THC
804467573714,Cannachill Strawberry 10mg THC 4pk 12oz can,THC
850018968805,Chill State Lemon Haze 4pk 16oz can,THC
649696344274,Chiller Light 2mg THC 4pk 12oz can,THC
850047906434,Climbing Kites Pineapple Passion Fruit 10mg THC 4pk 12oz can,THC
860008925145,Clrty Mango 5mg THC 4pk 12oz can,THC
850048459281,Clrty Pineapple Hibiscus 10mg THC 4pk 12oz can,THC
198168170236,Countdown Berry Force 10mg THC 4pk 12oz can,THC
198168328149,Countdown Cosmic Lemonade 10mg THC 4pk 12oz can,THC
198168043059,Countdown Orange Blast 10mg THC 4pk 12oz can,THC
196852128815,Crooked Beverage Berry 3mg 4pk 12oz can,THC
196852003266,Crooked Beverage Blood Orange 3mg 4pk 12oz can,THC
196852998364,Crooked Beverage Straw Basil 3mg 4pk 12oz can,THC
804467782413,DOPE Grapefruit 5mg THC 4pk 16oz can,THC
804467833900,DOPE Pineapple 5mg THC 4pk 16oz can,THC
804467762552,DOPE Watermelon 5mg THC 4pk 16oz can,THC
810012696517,Element 5mg THC Gummies 10 Pack,THC
703674911565,Flyers Cocktail Sparkling Margarita 4pk 12oz can,THC
703674911589,Flyers Cocktail Sparkling Ol' Fashioned 4pk 12oz can,THC
703674911572,Flyers Cocktail Sparkling Spritz 4pk 12oz can,THC
810012695978,Foundry Nation MN 50mg THC Gummies 10pk,THC
810012690836,Foundry Nation Ringside Refreshers Fruit Punch Flyer 10mg THC 4pk 12oz can,THC
810012699761,Foundry Nation Soda Variety Pack 5mg THC 6pk 12oz can,THC
810012698610,Foundry Nation Two Scoops Cherry 10mg THC 4pk 12oz can,THC
810012698634,Foundry Nation Two Scoops Orange 10mg THC 4pk 12oz can,THC
810012698597,Foundry Nation Two Scoops Root Beer 10mg THC 4pk 12oz can,THC
810012693882,Foundry Nation Two Scoops Variety Pack 10mg THC 6pk 12oz can,THC
810012696463,Fu Man Chews 5mg THC Gummies 10 Pack,THC
643459379701,Gigli Chocolate Variety 5mg THC 10 Pack,THC
643459379862,Gigli Dark Chocolate 5mg THC 10 Pack,THC
643459379923,Gigli Funfetti 5mg THC 10 Pack,THC
643459379565,Gigli Mint Chocolate 5mg THC 10 Pack,THC
643459379589,Gigli Peppermint Crunch 5mg THC 10 Pack,THC
860003586211,Happi Lemon Elderflower 4pk 7.5oz can,THC
850056651035,Happy Duck Bomba 2.5mg THC 20 Pack,THC
850056651028,Happy Duck Tangerine 2.5mg THC 20 Pack,THC
850009065483,Headflyer Blackberry Lime THC 4pk 16oz can,THC
850012918721,Hectare's 5mg Delta 9 2.5oz btl,THC
850012918790,Hectare's Dragon Fruit Seltzer 5mg THC 4pk 12oz can,THC
850012918752,Hectare's Soda 5mg THC 4pk 12oz can,THC
850012918882,Hectare's Watermelon Cucumber Mint 5mg THC 4pk 12oz can,THC
850012918738,Hectares 3mg Delta 9 2.5oz btl,THC
860006217181,Hi Seltzer Cherry 4pk 12oz can,THC
860006217174,Hi Seltzer Lemon Lime 4pk 12oz can,THC
860009756595,Hi Seltzer Pineapple 4pk 12oz can,THC
860009943520,Hi Seltzer Watermelon 4pk 12oz can,THC
860009756526,Hi Seltzer Wildberry 4pk 12oz can,THC
860011706144,Highdro Key Lime Pie 5mg THC 10 Pack,THC
860011706137,Highdro Passion Fruit 5mg THC 10 Pack,THC
860011706113,Highdro Watermelon 5mg THC 10 Pack,THC
860012192717,Hop Dreams Day Dream 10mg THC 4pk 12oz can,THC
860012192700,Hop Dreams Original 10mg THC 4pk 12oz can,THC
860012192724,Hop Dreams Sweet Dreams 10mg THC 4pk 12oz can,THC
854249004127,Inbound DreaMN Jamaican Jam 10mg THC 4pk 12oz can,THC
854249004202,Inbound DreaMN Komodo 10mg 4pk 12oz can,THC
854249004486,Inbound DreaMN Love Potion 10mg THC 4pk 12oz can,THC
854249004134,Inbound DreaMN Mango 4pk 12oz can,THC
854249004141,Inbound DreaMN Marley Palmer 4pk 12oz can,THC
854249004233,Inbound Satellite Blue Lemon 10mg THC 4pk 12oz can,THC
854249004219,Inbound Satellite Cran-Orange 10mg THC 4pk 12oz can,THC
649696471901,Indulge Fast Acting Vanilla Cream 10 Pack,THC
850033550504,Insight Flavor Pixels Peach Mango 5mg THC 12pk 12oz can,THC
785644202,Legacy Space Ice Cream Sea Salt Caramel 10 Pack,THC
850036260202,Long Coast Wild Blueberry Mojito 5mg THC 4pk 12oz can,THC
860010013427,Maison Bloom Peach Honeysuckle 5mg THC 6pk 12oz can,THC
860011669463,Minny Grown Bluebeary Mojito 10mg THC 4pk 12oz can,THC
