"FEB, JUNE",February|June
"MAR, JUNE",March|June
"JAN, APRIL",January|April
JUNE,June
"MAR, MAY, JUNE",March|May|June
"Feb, Mar, Sep, Nov, Dec",February|March|September|November|December
"FEB, APRIL, JUNE",February|April|June
"July, Oct, Dec",July|October|December
"FEB, MAY, JUNE",February|May|June
"Jan, March, May, Jul, Sep, Nov",January|March|May|July|September|November
"Jan, Mar, May, Jul, Sep, Nov",January|March|May|July|September|November
"Feb, Apr, Jun, Aug, Oct, Dec",February|April|June|August|October|December
JAN,January
"JAN, JUNE",January|June
"FEB, MAY",February|May
MAR,March
APRIL,April
"MARCH, JUNE",March|June
"APRIL, JUNE",April|June
"Jan, Mar, May, July,Sept, Nov",January|March|May|July|September|November
March Only!!,March
"JAN, MARCH, JUNE",January|March|June
"Feb, Apr, Jun,Aug,Oct,Dec",February|April|June|August|October|December
"JAN, MARCH, MAY",January|March|May
Feb/March,February|March
"Jan, Mar, May,Jul,Sep,Nov",January|March|May|July|September|November
"FEB, MARCH, MAY",February|March|May
"March, June, September, December",March|June|September|December
March|June,March|June
March|April|June,March|April|June
ALL,All
"March,May",March|May
"April,June",April|June
"March, May",March|May
