Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
100 ANOS TEQ REPOSADO(MIXTO)80,080686833697,Liquor,Agave,750ml,12,Beam/Suntory,Southern Wine & Spirits,,ALL,12.066666666666668,144.8,156,16.99,,0.28977830096134966,144,144,933264,25.99,0,0,,0.3,144,,,,
11 Wells BBL Rye,730699618544,Liquor,,750ml,6,11 Wells,Vinocopia,Buy 5 cases Receive 1 case NC - Accum,ALL,34.083333333333336,204.5,203,43.99,,0.22520269758278394,203, ,56342,,,,,0.3,203,,,,
123 Craneo Mezcal,730669325717,Liquor,,750ml,6,St Killian,Maverick Wine Company,,ALL,47.919999999999995,287.52,298.02,64.99,,0.2626557931989537,286.02,,S-B-123-CRA,,,,,0.3,286.02,,,,
1792 12yr Bourbon 750ml,88004030711,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Breakthru Beverage,Case 1,ALL,40.025,240.15,239,51.99,,0.23014041161761883,239,,9389497,0,0,0,,0.3,239,,,,
1792 BBN SMALL BATCH 93.7,080660001203,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Southern Wine & Spirits, ,ALL,24.133333333333336,144.8,144,30.99,,0.22125416801118628,144,144,381109,34.99,22.96,0,,0.3,144,,,,
1792 BBN SWEET WHEAT 91.2,080660001166,Liquor,,750ml,6,Sazerac,Southern Wine & Spirits, ,ALL,30.133333333333336,180.8,180,38.99,,0.22715226126357183,180,180,391045,,,,,0.3,180,,,,
1792 Bottled in Bond,088004027971,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Southern Wine & Spirits, ,ALL,30.133333333333336,180.8,180,38.99,,0.22715226126357183,180,180,899960,49.99,0,0,,0.3,180,,,,0
1792 Bottled in Bond,088004027971,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Breakthru Beverage,,ALL,28.691666666666666,172.15,171,36.99,,0.22433991168784362,171,171,9281691,49.99,0,0,,0.3,171,,,,
1792 Small Batch,080660001203,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Bellboy Corporation,,ALL,23.063333333333333,138.38,137.38,29.99,29.96,0.23019581664441482,137.38,137.38,8272814,34.99,22.96,0,,0.3,137.38,,,,
1792 Small Batch Full Proof,080660001159,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Bellboy Corporation,,ALL,33.666666666666664,202,201,43.99,,0.2346745472455862,201,201,8272824,48.99,39.96,0,,0.3,201,,,,
1792 Small Batch Full Proof,080660001159,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Breakthru Beverage, ,ALL,37.025,222.15,221,47.99,,0.22848510106272146,221,,9243619,48.99,39.96,0,,0.3,221,,,,
1792 Small Batch Single Barrel ,080660001142,Liquor,Whisky/Whiskey,750ml,6,Sazerac,Breakthru Beverage,,ALL,30.191666666666666,181.15,180,38.99,,0.22565615114986753,180,,9231101,39.99,0,0,,0.3,180,,,,
1800 Blanco High Proof,818844029671,Liquor,Agave,375ml,12,Proximo,Johnson Brothers Liquor Co,netted down case price,ALL,11.985,143.82,146.92,18.99,16.96,0.29333726415094347,142.72,,1159363,18.99,16.96,0,,0.5,142.72,,,,
1800 Coconut Tequila 750ml,811538010375,Liquor,Agave,750ml,12,Proximo,Johnson Brothers Liquor Co, ,ALL,18.299166666666668,219.59,218.49,23.99,,0.23721689592885914,218.49,218.49,22264,29.99,25.96,0,,0.3,218.49,,,,
1800 Reposado High Proof 375ml,818844029367,Liquor,Agave,375ml,12,Proximo,Johnson Brothers Liquor Co,,ALL,12.685,152.22,151.12,15.99,,0.2066916823014384,151.12,151.12,1237581,19.99,17.96,0,,0.5,151.12,,,,
1800 Reposado Tequila,811538010238,Liquor,Agave,750ml,12,Proximo,Johnson Brothers Liquor Co,Case 1,ALL,19.404166666666665,232.85,306,32.99,25.96,0.25253595274781726,231.75,,7393,33.49,27.96,0,,0.3,231.75,525,25.99,32.99,
1800 Reposado Tequila,811538010252,Liquor,Agave,1.75L,6,Proximo,Johnson Brothers Liquor Co,Buy 7cs get 1cs Silver 750's free,ALL,31.087380952380954,186.52428571428572,243,52.99,39.96,0.22203751370418034,215.96,,000022253,46.99,39.96,0,,0.3,215.96,438,37.99,49.99,
1800 Silver Tequila,811538010122,Liquor,Agave,375ml,12,Proximo,Johnson Brothers Liquor Co, ,ALL,11.208333333333334,134.5,133.4,13.99,24.96,0.5509481837606838,133.4,,000022270,17.99,14.96,0,,0.5,133.4,,,,Johnson 7.1
1800 Silver Tequila,811538010139,Liquor,Agave,750ml,12,Proximo,Johnson Brothers Liquor Co,Case 1,ALL,17.904166666666665,214.85,288,30.99,25.96,0.3103171545968157,213.75,,000021783,29.99,25.96,0,5.029999999999998,0.3,213.75,196,22.99,30.99,
1800 Silver Tequila,811538010153,Liquor,Agave,1.75L,6,Proximo,Johnson Brothers Liquor Co,Buy 7cs get 1cs Silver 750's free,ALL,26.59404761904762,159.56428571428572,229.5,41.99,34.96,0.23930069739566312,189,,000022247,40.99,34.96,0,12.030000000000001,0.3,189,191,34.99,46.99,
1800 Tequila Reposado 200ml,811538010108,Liquor,Agave,200ml,24,Proximo,Johnson Brothers Liquor Co,,ALL,6.3374999999999995,152.1,151,7.99,,0.20682102628285365,151,151,1189860,9.99,8.96,0,,0.5,151,,,,
1800 Tequila Reposado 375ml,811538010221,Liquor,Agave,375ml,12,Proximo,Johnson Brothers Liquor Co,,ALL,11.958333333333334,143.5,142.4,14.99,,0.20224594173893704,142.4,142.4,66852,19.99,16.96,0,,0.5,142.4,,,,
1800 Ult Wild Berry,818844026465,Liquor,Pre-Mix,1.75L,6,Proximo,Johnson Brothers Liquor Co,Case 1 Pricing,ALL,13.103333333333332,78.61999999999999,96.9,20.99,,0.3757344767349532,77.52,,1495366,22.99,17.96,0,,0.3,77.52,,,,
1800 Ultimate Margarita Mango,811538018920,Liquor,,1.75L,6,Proximo,Johnson Brothers Liquor Co,Case 1,ALL,13.103333333333332,78.61999999999999,96.9,20.99,17.96,0.270415738678545,77.52,,1154838,,,,,0.3,77.52,,,,
1800 Ultimate Margarita Original,811538019156,Liquor,Pre-Mix,1.75L,6,Proximo,Johnson Brothers Liquor Co,Case 1,ALL,13.103333333333332,78.61999999999999,96.9,20.99,17.96,0.270415738678545,77.52,,22278,23.99,19.96,0,,0.3,77.52,607,17.49,21.99,
1800 Watermelon Margarita,811538016445,Liquor,Pre-Mix,1.75L,6,Proximo,Johnson Brothers Liquor Co,Case 1,ALL,13.103333333333332,78.61999999999999,96.9,20.99,17.96,0.270415738678545,77.52,,001481074,22.99,17.96,0,,0.3,77.52,,,,
1876 Straight Bourbon,850010806303,Liquor,Whisky/Whiskey,750ml,6,Dripping Springs,Vinocopia,Special Pricing,ALL,21.291666666666668,127.75,171.25,36.99,29.96,0.2893302180685358,126.25,,57702,35.49,29.96,0,,0.3,126.25,,,,
1921 Crema de Tequila,608604000497,Liquor,,750ml,6,Surville Enterprises,Vinocopia,,ALL,25.041666666666668,150.25,148.75,31.99,,0.217203292695634,148.75,,58932,,,,,0.3,148.75,,,,
2 Dads Jalapeno Margarita ,757347279094,Misc,,32oz,12,2 DADS LLC,Breakthru Beverage,,ALL,5.0125,60.15,59,5.99,,0.16318864774624375,59,,9643319,,,,,0.3,59,,,,
2 Dads Premium Bloody Mary Mix,757347279056,Misc,,32oz,12,2 DADS LLC,Breakthru Beverage,,ALL,5.0125,60.15,59,5.99,,0.16318864774624375,59,,9643315,,,,,0.3,59,,,,
2 Gingers,080686294016,Liquor,Whisky/Whiskey,1.75L,6,Beam / Suntory,Phillips Wine & Spirits,Case 1,ALL,25.433333333333334,152.6,180,38.99,32.96,0.22835760517799353,151.5,,000019651,40.99,34.96,0,,0.3,151.5,242,32.99,35.99,
2 Gingers,080686294023,Liquor,Whisky/Whiskey,Liter,12,Beam / Suntory,Phillips Wine & Spirits,1 free case liters on 11 cases of liters,ALL,15.102083333333333,181.225,228,24.99,21.96,0.3122912871888282,196.5,,000019543,24.99,21.96,0,,0.3,196.5,365,20.99,24.99,
2 Gingers,857566003019,Liquor,Whisky/Whiskey,750ml,12,Beam / Suntory,Phillips Wine & Spirits,Case 1,ALL,11.966666666666667,143.6,160,16.99,15.96,0.2502088554720134,142.5,,000019326,20.99,17.96,0,,0.3,142.5,421,16.99,X,
2 Gingers,080686294030,Liquor,Whisky/Whiskey,50ml,96,Beam / Suntory,Phillips Wine & Spirits,Case 1,ALL,0.678125,65.1,72,0.99,,0.31502525252525254,64,,000020104,1.49,1.24,0,,0.5,64,,,,
21 Seeds Cucumber Jalapeno Teq,088076188808,Liquor,Agave,750ml,6,Diageo/UBI,Phillips Wine & Spirits,Case 1 Must hit 4 cs within month,ALL,21.016666666666666,126.1,135,28.99,31.96,0.342407175636212,125,135,1219819,35.49,29.96,0,,0.3,125,,,,
21 Seeds Grapefruit Hibiscus Teq,088076188815,Liquor,Agave,750ml,6,Diageo/UBI,Phillips Wine & Spirits,Case 1 Must hit 4 cs within month,ALL,21.016666666666666,126.1,135,28.99,31.96,0.342407175636212,125,135,1604075,34.99,29.96,0,,0.3,125,,,,
21 Seeds Valencia Orange Teq,088076188822,Liquor,Agave,750ml,6,Diageo/UBI,Phillips Wine & Spirits,Case 1 Must hit 4 cs within month,ALL,21.016666666666666,126.1,135,28.99,31.96,0.342407175636212,125,135,1569233,34.99,29.96,0,,0.3,125,,,,
2XO American Oak,084279008165,Liquor,Whisky/Whiskey,750ml,6,Prestige,Johnson Brothers Liquor Co,Case One,ALL,29.183333333333334,175.1,225,48.99,,0.4043001973191808,203,203,1562461,47.99,39.96,0,,0.3,203,,,,
2XO Inn Keepers Blend,084279007991,Liquor,Whisky/Whiskey,750ml,6,Prestige ,Johnson Brothers Liquor Co,Case 1 (Allocated Item),ALL,75.36666666666667,452.20000000000005,451.1,97.99,,0.23087389869714586,451.1,451.1,1510711,99.99,0,0,,0.3,451.1,,,,
2XO Phoenix Blend,084279007748,Liquor,Whisky/Whiskey,750ml,6,Prestige,Johnson Brothers Liquor Co,Case 1,ALL,75.36666666666667,452.20000000000005,451.1,97.99,,0.23087389869714586,451.1,451.1,1017537,99.99,0,0,,0.3,451.1,,,,
3 Piece Cocktail Shaker,022523133287,Misc,,Unit,1,DOT Foods,Bellboy Corporation,,ALL,13,13,12,15.99,,0.1869918699186992,12,12,PHO5130,,,,,0.3,12,,,,
360 Double Chocolate Vodka Liter,085592138591,Liquor,Vodka,Liter,12,,Southern Wine & Spirits,,ALL,12.046666666666667,144.56,143.76,15.99,,0.24661246612466126,143.76,143.76,000311451,14.99,12.96,0,,0.3,143.76,,,,
400 Conejos Anejo 750ml,818844026335,Liquor,Agave,750ml,6,Proximo,Johnson Brothers Liquor Co,Case One,ALL,39.93333333333333,239.6,252,54.99,,0.27380735891374197,238.5,,1789381,59.99,54.96,0,,0.3,238.5,,,,
400 Conejos Reposado 750ml,818844026342,Liquor,Agave,750ml,6,Proximo,Johnson Brothers Liquor Co,Case One,ALL,28.849999999999998,173.1,184.5,39.99,,0.2785696424106027,172,,1314362,44.99,39.96,0,,0.3,172,,,,
44 North Huckleberry Vodka,833597009633,Liquor,Vodka,750ml,12,Hood River Distillers,Vinocopia,Net Down Case 1 Pricing,ALL,20.416666666666668,245,252.5,26.99,,0.24354699271335054,243.5,,53680,29.99,27.96,0,,0.3,243.5,,,,
45th Parallel Border Bourbon,895412001079,Liquor,Whisky/Whiskey,750ml,6,45th Parallel,Vinocopia,Net Down Pricing,ALL,35.916666666666664,215.5,240,51.99,44.96,0.20114175563463826,214, ,59072,47.99,44.96,0,,0.3,214,,,,Vinocopia 7.1
45th Parallel Border Staight Bourbon,895412001079,Liquor,Whisky/Whiskey,750ml,6,Libation Project,Libation Project,Case 1,ALL,39.166666666666664,235,238,51.99,,0.24664999679425537,232,,90012,47.99,44.96,0,,0.3,232,,,,
45th Parallel Gin,895412001130,Liquor,Gin,750ml,6,45th Parallel,Vinocopia,Net Down Price,ALL,32.25,193.5,209,44.99,,0.2831740386752612,192, ,53180,42.99,39.96,0,,0.3,192,,,,Vinocopia 7.1
45th Parallel New Richmond Rye,895412001093,Liquor,Whisky/Whiskey,750ml,6,45th Parallel,Vinocopia,Net Down Pricing,ALL,35.916666666666664,215.5,240,51.99,44.96,0.20114175563463826,214, ,59082,53.99,44.96,0,,0.3,214,,,,Vinocopia 7.1
45th Parallel New Richmond Rye Whiskey,895412001093,Liquor,Whisky/Whiskey,750ml,6,Libation Project,Libation Project,Case 1,ALL,39.166666666666664,235,238,51.99,,0.24664999679425537,232,,90011,53.99,44.96,0,,0.3,232,,,,
45th Parallel Vodka,895412001000,Liquor,Vodka,750ml,6,45th Parallel,Vinocopia,Net Down Pricing,ALL,24.25,145.5,160,34.99,29.96,0.19058744993324434,144, ,59052,31.99,29.96,0,,0.3,144,,,,Vinocopia 7.1
45th Parallel Vodka,895412001000,Liquor,Vodka,750ml,6,Libation Project,Libation Project,Case 1,ALL,27.166666666666668,163,166,35.99,,0.24516069278503289,160,,90007,31.99,29.96,0,,0.3,160,,,,
45th Parallel Wheat Whiskey,895412001109,Liquor,Whisky/Whiskey,750ml,6,45th Parallel,Vinocopia,Net Down Pricing,ALL,35.916666666666664,215.5,240,51.99,44.96,0.20114175563463826,214, ,59702,47.99,44.96,0,,0.3,214,,,,Vinocopia 7.1
45th Parallel WI Wheat Whiskey,895412001109,Liquor,Whisky/Whiskey,750ml,6,Libation Project,Libation Project,Case 1,ALL,39.166666666666664,235,238,51.99,,0.24664999679425537,232,,90013,47.99,44.96,0,,0.3,232,,,,
5 Liqueur Cranberry Orange,869921000014,Liquor,Cordials,750ml,6,Mason Dixon Spirits,Vinocopia,Buy 5 cases Receive 1 case NC M&M - Accum,ALL,17.125,102.75,121.5,25.99,,0.341092727972297,121.5, ,54682,26.99,0,0,,0.3,121.5,,,,Vinocopia 7.1
5 LIQUEUR ESPRESSO VANILLA,869921000021,Liquor,,750ml,6,Mason Dixon Spirits,Vinocopia,Buy 5 cases Receive 1 case NC M&M - Accum,ALL,17.125,102.75,121.5,25.99,,0.341092727972297,121.5, ,51932,,,,,0.3,121.5,,,,Vinocopia 7.1
5 Liqueur Lemon Ginger,869921000007,Liquor,Cordials,750ml,6,Mason Dixon Spirits,Vinocopia,Buy 5 cases Receive 1 case NC M&M - Accum,ALL,17.125,102.75,121.5,25.99,,0.341092727972297,121.5, ,54672,26.99,0,0,,0.3,121.5,,,,Vinocopia 7.1
818 TEQ ANEJO 80,7503021376022,Liquor,,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,July|August|October|December,32.598333333333336,195.59,283.52,60.99,,0.465513472153905,194.79,247.5,511785,,,,,0.3,194.79,,,,0
818 TEQ BLANCO 80,195893687015,Liquor,Agave,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,July|August|October|December,18.883333333333333,113.3,135,28.99,29.96,0.3697151757899422,112.5,130.5,511786,36.99,29.96,0,,0.3,112.5,414,26.99,X,0
818 TEQ REPOSADO 80,195893031092,Liquor,Agave,750ml,6,818 SPIRITS/MHW LTD,Southern Wine & Spirits, ,July|August|October|December,22.633333333333336,135.8,166.5,35.99,39.96,0.4336002669336002,135,148.5,511787,47.99,39.96,0,,0.3,135,,,,0
99 APPLES SCHNAPPS 99,089000118359,Liquor,Schnapps,750ml,12,Sazerac,Southern Wine & Spirits,,ALL,10.045833333333333,120.55,144.25,15.99,14.96,0.32848707664884147,119.75,119.75,93644,16.99,14.96,0,,0.3,119.75,,,,
99 APPLES SCHNAPPS 99,089000118373,Liquor,Schnapps,375ml,24,Sazerac,Southern Wine & Spirits, ,ALL,5.033333333333333,120.8,120,6.99,8.96,0.43824404761904767,120,120,20201,10.99,8.96,0,,0.5,120,,,,
99 APPLES SCHNAPPS 99 10/12PK,089000118397,Liquor,Schnapps,50ml,120,Sazerac,Southern Wine & Spirits, ,ALL,0.6074999999999999,72.89999999999999,79.2,0.99,,0.3863636363636364,72.1,79.2,93645,1.49,1.24,0,,0.5,72.1,,,,
99 APPLES SCHNAPPS 99 PET LSE,089000118311,Liquor,Schnapps,100ml,48,Sazerac,Southern Wine & Spirits,,ALL,1.0114583333333333,48.55,63.7,1.99,1.96,0.4839498299319728,47.75,63.7,394870,2.99,1.96,0,,0.5,47.75,,,,
99 ASST VARIETY COUNTER UNIT,990012961812,Liquor,,50ml,1,Sazerac,Southern Wine & Spirits, ,ALL,40.4,40.4,39.6,50.99,,0.2076877819180232,39.6,39.6,344861,,,,,0.5,39.6,251,8.99,X,
