Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Vendor UPC,Item Number,Net Case EO,Net Cs EO/Unit,Competitor Pricing
*Q DRINKS GINGER ALE CN,851694003811,Misc,4pk,6,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851694003811",,,,
1792 High Rye,080660001173,Liquor,750ml,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,0,0,,312.99,,314,0,0,SWS Southern Glazer's Wine & Spirits of MN080660001173,447550,,,
1792 Port Finish,080660010724,Liquor,750ml,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,All,0,0,,313.99,,315,0,0,SWS Southern Glazer's Wine & Spirits of MN080660010724,400772,,,
1800 Ult Margarita Mix,811538019071,Misc,Ltr Box,12,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC811538019071",,,,
1919 Root beer,88067057076,Misc,12pk 16oz cn,2,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC88067057076",,,,
1919 Rootbeer,1919RB16,Misc,16 Gallon,1,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC1919RB16",,,,
1919 Rootbeer,88067057045,Misc,5 Ltr,2,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC88067057045",,,,
1919 Rootbeer,1919RB8,Misc,8 Gallon,1,,Breakthru Beverage,,,,,,,,0,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC1919RB8",,,,
2 Dads Premium Bloody Mary ,757347279063,Misc,1.75 L,6,2 DADS LLC,Breakthru Beverage, ,All,,,44,0,9.99,,44, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC757347279063",9643314,,,0
21 SEEDS TEQ CUCUMBER JALAPENO 70,850003519005,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,194.99,,196,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519005,952857,,,
21 SEEDS TEQ GRAPEFRUIT HIBISCUS70,850003519098,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,181.99,,183,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519098,952859,,,
21 SEEDS TEQ VALENCIA ORANGE 70,850003519012,Liquor,750ml,6,DIAGEO SPIRITS,Southern Wine & Spirits,,All,0,0,174,195.99,,197,156,156,SWS Southern Glazer's Wine & Spirits of MN850003519012,952861,,,
360 Double Chocolate Vodka,085592138591,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592138591,311451,,,
360 Huckleberry ,085592145995,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592145995,325791,,,
360 Sorrento Lemon Vodka ,085592142598,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592142598,311456,,,
360 Vodka,085592133718,Liquor,1.75 L,6,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592133718,184300,,,
360 Vodka,085592133794,Liquor,Liter,12,MCCORMICK DISTILLING CO,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN085592133794,193186,,,
4 Orange Vodka,089016008750,Liquor,750 ml,6,IMPERIAL BRANDS INC,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN089016008750,281855,,,
42 Below,9421012620252,Liquor,50 ml,120,BACARDI USA INC,Southern Wine & Spirits,,,0,0,,-0.01,,1,0,0,SWS Southern Glazer's Wine & Spirits of MN9421012620252,106820,,,
44 North Magic Valley Vodka,833597009640,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009640",9028072,22.59583333333333,271.15,0.22056456249281364
44 North Mountain Huckleberry,833597009633,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009633",760041,22.59583333333333,271.15,0.22056456249281364
44 North Rainier Cherry Vodka,833597009657,Liquor,750ml,12,HOOD RIVER DISTILLING,Breakthru Beverage, ,All,271.15,,270,22.59583333333333,28.99,,270, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC833597009657",9071827,22.59583333333333,271.15,0.22056456249281364
