Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Two Chicks Citrus Margarita ,850003574042,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001515811,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,48,Phillips Wine & Spirits - St. Paul,
Two Chicks Craft Cocktail Variety Pack,850003574172,Liquor,8 pk can,3,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,13.410144927536232,40.2304347826087,80,34.99,18.96,0.2927138751299456,45,2026-03-01 00:00:00,,45,,1879821,40.2304347826087,13.410144927536232,22.99,22.99,18.96,0.3,,,,,,,,62,Phillips Wine & Spirits - St. Paul,
Two Chicks Cranberry Tartini,850003574202,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001104060,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,42,Phillips Wine & Spirits - St. Paul,
Two Chicks Lemon Strawberry Kiss,850003574196,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001254413,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,51,Phillips Wine & Spirits - St. Paul,
Two Chicks Melon Drop Honey Dew,850003574288,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,1814242,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,35,Phillips Wine & Spirits - St. Paul,
Two Chicks New Fashioned,850003574103,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001711623,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,49,Phillips Wine & Spirits - St. Paul,
Two Chicks Paloma,850003574028,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001254466,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,79,Phillips Wine & Spirits - St. Paul,
Two Chicks Pear & Elderflower,850003574066,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001991229,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,26,Phillips Wine & Spirits - St. Paul,
Two Chicks Vodka CuTea,850003574110,Liquor,4 pk can,6,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,7.3500000000000005,44.1,80,16.99,10.96,0.32937956204379565,49.45,2026-03-01 00:00:00,,49.45,,001936487,44.1,7.3500000000000005,12.99,12.99,10.96,0.3,,,,,,,,29,Phillips Wine & Spirits - St. Paul,
Two Chicks Vodka Variety Pack,850003574233,Liquor,8 pk can,3,Two Chicks,Phillips Wine & Spirits,3 free on 20,All,13.410144927536232,40.2304347826087,80,34.99,18.96,0.2927138751299456,45,2026-03-01 00:00:00,,45,,1430762,40.2304347826087,13.410144927536232,22.99,22.99,18.96,0.3,,,,,,,,63,Phillips Wine & Spirits - St. Paul,
