Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Fireball Whisky 50ml,Whisky/Whiskey,"Breakthru Beverage Minnesota Wine & Spirits, LLC",22671,2968.6,7.6,0.61,1.49,1.24,59,1 cs  50ml  free on every 10 cs m/m 50's purchased - accum monthly,12699,38274,Minnetonka:28;Stillwater:179;Chanhassen:196;Plymouth:204;Roseville:270;Vadnais Heights:274;St. Louis Park:364;Ramsey:522;Andover:534;Rosemount:796;Cottage Grove:824;Bloomington:1040;Blaine:1153;Woodbury:1855;Minneapolis:14464
Buzzballz Grape Gone Wild Vikings 187ml,Pre-mixed,Phillips Wine & Spirits - St. Paul,6053,1132.4,5.3,0.67,0.59,0.5,-14,5cs Per Store Min,5637,11031,Andover:2;Rosemount:3;Bloomington:13;St. Louis Park:16;Vadnais Heights:36;Stillwater:41;Osseo:52;Minnetonka:98;Chanhassen:119;Plymouth:209;Ramsey:286;Woodbury:349;Cottage Grove:490;Blaine:710;Roseville:1776;Minneapolis:1853
New Amsterdam Pink Whitney 50ml,Vodka,Johnson Brothers - St. Paul,3314,942.7,3.5,0.68,1.49,1.24,54,12 Sleeves of 10,4126,11734,Chanhassen:14;Ramsey:51;Vadnais Heights:96;Roseville:118;Minnetonka:119;Stillwater:124;Plymouth:149;Cottage Grove:151;St. Louis Park:168;Rosemount:175;Woodbury:186;Andover:196;Osseo:197;Blaine:338;Minneapolis:388;Bloomington:844
Smirnoff Vodka 50ml,Vodka,Johnson Brothers - St. Paul,2753,633.2,4.3,0.67,1.49,1.24,55,Case 1,2769,7891,Minnetonka:52;Ramsey:65;Cottage Grove:69;Roseville:75;Plymouth:76;Woodbury:89;Vadnais Heights:98;Minneapolis:118;Blaine:131;Rosemount:134;St. Louis Park:187;Osseo:202;Stillwater:254;Andover:283;Bloomington:920
Svedka Vodka 1.75L,Vodka,Southern Glazer's Wine & Spirits of MN,1087,611.7,1.8,14.76,17.49,14.96,16,"Buy Deep Every Month, EO Months Listed",2672,7639,Minnetonka:14;Bloomington:30;Ramsey:30;St. Louis Park:38;Woodbury:41;Roseville:50;Vadnais Heights:50;Rosemount:53;Plymouth:57;Stillwater:66;Chanhassen:66;Cottage Grove:99;Osseo:105;Andover:115;Blaine:128;Minneapolis:145
New Amsterdam Vodka 50ml,Vodka,Johnson Brothers - St. Paul,2066,576.5,3.6,0.68,1.49,1.24,54,12 Sleeves of 10,2544,7081,Cottage Grove:18;Stillwater:48;Osseo:50;Plymouth:60;Andover:74;Rosemount:77;Chanhassen:82;St. Louis Park:82;Ramsey:108;Minneapolis:108;Roseville:125;Blaine:127;Woodbury:150;Bloomington:957
Svedka Vodka 50ml,Vodka,Southern Glazer's Wine & Spirits of MN,1887,568.5,3.3,0.58,1.49,1.24,61,"1 on 6, free 80pf",2458,7212,Rosemount:17;Cottage Grove:27;Minnetonka:61;Osseo:74;Bloomington:75;St. Louis Park:78;Chanhassen:79;Stillwater:83;Vadnais Heights:85;Ramsey:124;Minneapolis:126;Plymouth:143;Woodbury:166;Blaine:222;Roseville:259;Andover:268
99 Strawberries Schnapps 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1792,540.0,3.3,0.61,1.49,1.24,59,,2327,6886,Minnetonka:17;Osseo:20;Blaine:45;Stillwater:60;Plymouth:60;Ramsey:83;Andover:85;Cottage Grove:108;Vadnais Heights:118;Woodbury:123;Bloomington:124;Rosemount:147;Minneapolis:164;Chanhassen:181;Roseville:182;St. Louis Park:275
Tito's Vodka 1.75L,Vodka,Johnson Brothers - St. Paul,953,433.8,2.2,29.33,33.99,28.96,14,3cs  across chain same week,1811,5793,Minnetonka:9;Osseo:9;Ramsey:23;Bloomington:28;Roseville:33;Plymouth:35;Chanhassen:48;Stillwater:59;Vadnais Heights:64;Rosemount:72;Woodbury:74;St. Louis Park:80;Cottage Grove:82;Minneapolis:87;Andover:102;Blaine:148
Fireball Blazin' Apple 50ml,Whisky/Whiskey,"Breakthru Beverage Minnesota Wine & Spirits, LLC",1686,428.6,3.9,0.61,1.49,1.24,59,1 cs  50ml  free on every 10 cs m/m  50's purchased - accum monthly,1833,5529,Minnetonka:33;Rosemount:35;Ramsey:45;Andover:62;Stillwater:74;Osseo:92;Chanhassen:97;Cottage Grove:102;Plymouth:107;Minneapolis:118;St. Louis Park:127;Vadnais Heights:129;Blaine:134;Bloomington:162;Roseville:177;Woodbury:192
Fireball Whisky 100ml,Whisky/Whiskey,Phillips Wine & Spirits - St. Paul,1155,422.6,2.7,1.24,2.29,1.96,46,1 cs  100 ml free on every 20 cs 100's purchased - accum monthly,1817,5408,Plymouth:8;Minnetonka:18;Vadnais Heights:20;Osseo:30;Woodbury:31;Stillwater:34;Ramsey:37;Chanhassen:37;Rosemount:38;Cottage Grove:49;Roseville:77;Andover:128;St. Louis Park:146;Blaine:157;Bloomington:348
99 Peaches 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1443,405.4,3.6,0.61,1.49,1.24,59,,1820,4840,St. Louis Park:4;Rosemount:8;Vadnais Heights:8;Minnetonka:20;Plymouth:40;Blaine:40;Ramsey:75;Bloomington:77;Roseville:97;Chanhassen:100;Osseo:136;Minneapolis:146;Cottage Grove:159;Andover:169;Stillwater:181;Woodbury:183
99 Root Beer 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1630,382.7,4.3,0.61,1.49,1.24,59,,1644,4902,Osseo:49;Bloomington:63;Ramsey:76;Minneapolis:78;Rosemount:79;Woodbury:83;Plymouth:86;St. Louis Park:94;Stillwater:97;Cottage Grove:104;Andover:108;Chanhassen:111;Vadnais Heights:122;Minnetonka:133;Blaine:141;Roseville:206
99 Bananas 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1623,376.2,4.3,0.61,1.49,1.24,59,,1611,4843,Plymouth:6;Vadnais Heights:25;Bloomington:36;Osseo:40;Stillwater:81;Minnetonka:92;Cottage Grove:98;Andover:99;Woodbury:105;St. Louis Park:118;Rosemount:122;Chanhassen:125;Roseville:125;Minneapolis:149;Blaine:192;Ramsey:210
99 Peppermint 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1360,324.0,4.2,0.61,1.49,1.24,59,,1429,3984,Vadnais Heights:28;Chanhassen:32;Cottage Grove:48;Roseville:54;Minnetonka:58;Bloomington:67;St. Louis Park:82;Stillwater:90;Rosemount:94;Osseo:96;Plymouth:103;Ramsey:106;Woodbury:108;Minneapolis:114;Blaine:119;Andover:161
Bacardi Superior Light Rum 50ml,Rum,Bellboy Corporation,1445,277.9,5.2,0.84,1.49,1.24,44,,1191,3574,Bloomington:24;Minnetonka:29;Ramsey:70;Chanhassen:70;Stillwater:73;St. Louis Park:83;Vadnais Heights:84;Rosemount:104;Woodbury:110;Minneapolis:112;Roseville:120;Cottage Grove:121;Plymouth:135;Andover:152;Blaine:158
99 Pineapples 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1367,274.5,5.0,0.61,1.49,1.24,59,,1191,3463,Chanhassen:12;Vadnais Heights:26;Minnetonka:28;Ramsey:28;Rosemount:38;Woodbury:42;Cottage Grove:43;Stillwater:62;Andover:65;Plymouth:78;St. Louis Park:124;Osseo:128;Blaine:137;Bloomington:159;Minneapolis:172;Roseville:225
99 Apples 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1409,273.9,5.1,0.61,1.49,1.24,59,,1187,3464,Blaine:6;Ramsey:13;Andover:36;Osseo:38;Cottage Grove:44;Stillwater:88;Woodbury:91;Vadnais Heights:95;Chanhassen:98;Plymouth:105;Minnetonka:115;Rosemount:124;Roseville:140;Bloomington:166;Minneapolis:250
Captain Morgan Spiced Rum 50ml,Rum,Bellboy Corporation,1184,270.6,4.4,0.65,1.49,1.24,56,Case 1,1172,3424,Andover:3;St. Louis Park:27;Roseville:28;Stillwater:39;Rosemount:42;Woodbury:42;Minnetonka:53;Plymouth:56;Blaine:68;Chanhassen:72;Minneapolis:81;Osseo:95;Bloomington:102;Ramsey:105;Vadnais Heights:142;Cottage Grove:229
99 Lemon Lime Schnapps 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1350,269.3,5.0,0.61,1.49,1.24,59,,1161,3431,Osseo:21;Ramsey:28;Roseville:46;Vadnais Heights:51;Woodbury:70;Plymouth:71;Andover:78;Stillwater:81;Rosemount:84;St. Louis Park:96;Chanhassen:105;Bloomington:112;Minnetonka:115;Cottage Grove:116;Blaine:133;Minneapolis:143
Campo Bravo Plata 50ml,Agave,Phillips Wine & Spirits - St. Paul,1350,267.5,5.0,0.68,1.49,1.24,54,"1 on 20 accumulating (open-ended, not monthly)",810,4952,Chanhassen:17;Rosemount:37;Cottage Grove:37;Blaine:46;Minneapolis:51;Vadnais Heights:60;Stillwater:67;Roseville:68;Andover:69;Osseo:73;Minnetonka:81;St. Louis Park:96;Plymouth:139;Woodbury:154;Bloomington:172;Ramsey:183
99 Watermelons 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1271,235.7,5.4,0.61,1.49,1.24,59,,990,3120,Minnetonka:1;Rosemount:12;Bloomington:31;Ramsey:35;Plymouth:55;Blaine:68;Cottage Grove:69;Andover:72;Roseville:78;Woodbury:79;Stillwater:111;Vadnais Heights:114;Osseo:115;St. Louis Park:119;Chanhassen:130;Minneapolis:182
Tito's Vodka Liter,Vodka,Johnson Brothers - St. Paul,294,227.3,1.3,18.42,24.99,21.96,26,5cs across chain-same week,968,2951,Bloomington:7;Plymouth:11;Stillwater:11;Roseville:11;Ramsey:13;Vadnais Heights:16;Andover:17;St. Louis Park:17;Minnetonka:18;Osseo:18;Chanhassen:21;Blaine:21;Cottage Grove:23;Minneapolis:25;Rosemount:32;Woodbury:33
Captain Morgan Spiced Rum 1.75L,Rum,Phillips Wine & Spirits - St. Paul,630,221.7,2.8,19.79,26.99,22.96,27,4cs + 1cs seagrams mags on 60,962,2797,St. Louis Park:10;Ramsey:10;Bloomington:14;Vadnais Heights:17;Plymouth:22;Roseville:22;Stillwater:25;Minnetonka:29;Woodbury:35;Osseo:51;Chanhassen:52;Rosemount:57;Minneapolis:60;Cottage Grove:68;Blaine:78;Andover:80
Tito's Vodka 750ml,Vodka,Johnson Brothers - St. Paul,345,217.0,1.6,16.08,19.99,17.96,20,3cs  across chain same week,923,2821,Ramsey:2;Rosemount:5;Roseville:7;Stillwater:10;Minnetonka:11;Vadnais Heights:11;Woodbury:11;Cottage Grove:11;Osseo:12;Blaine:12;Andover:18;Chanhassen:24;Plymouth:27;Bloomington:29;St. Louis Park:29;Minneapolis:126
