"Concat (VV Vendor,UPC)",Preferred,Preferred (1),Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Freight,Net Case,Net/Unit,Discount To Market,Retail,Club,GM%,Avg Retail,Avg Club,Avg Sale,Total Wine,Sales Ranking,Competitor Pricing,Concatenate NS Vendor Name,Distributor (1),CR Vendor Name,Category (for markup),Markup %,Invoice Price,Invoice Price Check against CR,REMOVE?,Supplier Supported Tasting Item (1),Distributor (2),Supplier (1),Item Number (1),Product UPC (1),Product Description (1),Department (1),Size (1),Units/Case (1),Deal Description (1),Buy Months (if appl.),Case 1 (Retail) (1),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value (1),Buy Qty (1),Free Qty (1),Freight (1),EO $,EO Cases,EO Period,EO Notes,EO Notes (1),New PV Function,September,October
56 Brewing615867915949,56 Brewing,Yes,Yes,56 Brewing,Acre,,615867915949,Acre Ginger Lime 10mg THC 4pk 12oz Can,10,THC,Beverages,,4pk 12oz can,6,3cs Min Buy,13.99,53,42,,,,,42,7,0.2075471698113207,12.99,10.96,0.36131386861313874,12.49,10.96,0,,,,56 Brewing615867915949,56 Brewing,56 Brewing,Beverages,0.5,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 Brewing615867915963,,,Yes,56 Brewing,Acre,2647250043,615867915963,Acre Hibiscus & Berry 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,3cs Min Buy,13.99,53,42,,,,,42,7,0.2075471698113207,12.99,10.96,0.36131386861313874,12.49,10.96,0,X,140,,56 Brewing615867915963,56 Brewing,56 Brewing,Beverages,0.5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 brewing615867916137,Mega Beer LLC,,Yes,56 brewing,Acre,,615867916137,Acre Strawberry Tangerine 10mg THC 4pk 12oz Can,10,THC,Beverages,,4pk 12oz can,6,3cs Min Buy,13.99,53,42,,,,,42,7,0.2075471698113207,12.99,10.96,0.36131386861313874,12.49,10.96,0,,,,56 brewing615867916137,56 brewing,56 brewing,Beverages,0.5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai860005527014,Get Chai,Yes,,Get Chai,Artet LLC,860005527014,860005527014,Artet Chamomile Lemon Spritz 5mg THC 4pk 8oz can,5,THC,Beverages,,4pk 8oz can,6,,,,53,,,,,53,8.833333333333334,,16.99,13.96,0.36723973256924547,15.99,13.96,0,,,Alot More - Varies ,Get Chai860005527014,Get Chai,Get Chai,Beverages,0.5,53,52.99979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai860002139623,Get Chai,Yes,,Get Chai,Artet LLC,860002139623,860002139623,Artet Grapefruit Rosemary 5mg THC 4pk 8oz can,5,THC,Beverages,,4pk 8oz can,6,,,,53,,,,,53,8.833333333333334,,16.99,13.96,0.36723973256924547,15.99,13.96,0,,,Alot More - Varies ,Get Chai860002139623,Get Chai,Get Chai,Beverages,0.5,53,52.99979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai860005527021,Get Chai,Yes,,Get Chai,Artet LLC,860005527021,860005527021,Artet Mango Ginger Spritz 5mg THC 4pk 8oz can,5,THC,Beverages,,4pk 8oz can,6,,,,53,,,,,53,8.833333333333334,,16.99,13.96,0.36723973256924547,15.99,13.96,0,,,Alot More - Varies ,Get Chai860005527021,Get Chai,Get Chai,Beverages,0.5,53,52.99979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai860005527045,Get Chai,Yes,,Get Chai,Artet LLC,860005527045,860005527045,Artet Strawberry Basil Spritz 5mg THC 4pk 8oz can,5,THC,Beverages,,4pk 8oz can,6,,,,53,,,,,53,8.833333333333334,,16.99,13.96,0.36723973256924547,15.99,13.96,0,,,Alot More - Varies ,Get Chai860005527045,Get Chai,Get Chai,Beverages,0.5,53,52.99979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715532081,Global Reserve LLC,Yes,,Global Reserve LLC,Aura,198715532081,198715532081,Aura Blackberry Lavender Seltzer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,64,64,51,,,,,51,8.5,0.203125,15.99,12.96,0.34413580246913583,15.99,13.96,0,X,121,Alot More - Varies ,Global Reserve LLC198715532081,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715843071,Global Reserve LLC,Yes,,Global Reserve LLC,Aura,198715843071,198715843071,Aura Ginger Peach Seltzer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,64,64,51,,,,,51,8.5,0.203125,15.99,12.96,0.34413580246913583,15.99,13.96,0,,,Alot More - Varies ,Global Reserve LLC198715843071,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715744828,Global Reserve LLC,Yes,,Global Reserve LLC,Aura,198715744828,198715744828,Aura Lemon Basil Seltzer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,64,64,51,,,,,51,8.5,0.203125,15.99,12.96,0.34413580246913583,15.99,13.96,0,,,Alot More - Varies ,Global Reserve LLC198715744828,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bent Paddle Brewing Co850024846388,,,Yes,Bent Paddle Brewing Co,Bent Paddle Brewing Co,850024846388,850024846388,Bent Paddle Berry Stash 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,78.4,,44,,,,,44,7.333333333333333,,12.99,10.96,0.33090024330900253,12.99,10.96,0,,,,Bent Paddle Brewing Co850024846388,Bent Paddle Brewing Co,Bent Paddle Brewing Co,Beverages,0.5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
