Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Freight,Net Case,Net/Unit
Yes,Artet LLC,Artet LLC,AP-H5-1,860012808380,Artet Single Serve Aperitif 5mg THC,5,THC,Beverages,,2oz bottle,48,,,96,96,,,,0,96,2
,Happy Duck LLC,Happy Duck LLC,850056651165,850056651165,Happy Duck Bomba 5mg THC 10 Pack,5,THC,Edibles,,,10,,120,,51,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651141,850056651141,Happy Duck Bomba 10mg 2oz Shot ,10,THC,Shots,,2oz,12,,60,,40,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651172,850056651172,Happy Duck Tangerine 5mg THC 10 Pack,5,THC,Edibles,,,10,,120,,51,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651158,850056651158,Happy Duck Tangerine 10mg 2oz Shot,10,THC,Shots,,2oz,12,,60,,51,,,,,,
,Insight Brewing Company (D),Insight Brewing Company (D),10MX212,850077712050,Insight Flavor Pixels 10mg THC Variety #2 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,57.6,49.56,49.56,0,1,0,0,,
,Insight Brewing Company (D),Insight Brewing Company (D),PEAMG12,850077712074,Insight Flavor Pixels PEACH MANGO PLUS 10MG THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,58.94,50.9,50.9,0,1,0,0,,
,Insight Brewing Company (D),Insight Brewing Company (D),RASPB12,850077712005,Insight Flavor Pixels RASPERRY PEAR 10mg THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,58.94,50.9,50.9,0,1,0,0,,
,Modist Brewing Company,Modist Brewing Company,MLCA6412,810095561795,Modist Melt Cran Apple THC 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,3 case deal,78.45,20 case Pulse Deal $64.60 ,64.6,,3,,,,
Y,Modist Brewing Company,Modist Brewing Company,MHB21212,810095561764,Modist Melt Hot Box THC 10mg Variety 2/12pk/12oz can,10,THC,Beverages,,12pk 12oz can,2,Pallet,61.4,10 case Deal $54.25,48,,100,,,,
Y,Modist Brewing Company,Modist Brewing Company,MLTGL4612,810095561665,Modist Melt Ginger Lemon Lime THC 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,3 case deal,78.45,20 case Pulse Deal $64.60 ,64.6,,3,,,,
,Nibbana LLC,Nibbana LLC,,860010283370,Nibbana Lavender Lullaby (Sleep) Gummies,50,THC + CBN,Gummies,,10pk Bag,25,,,,175,,1,,,,
,Nibbana LLC,Nibbana LLC,,850027710884,Nibbana Sour Watermelon Gummies,50,THC,Gummies,,10pk Bag,25,,,,125,,1,,,,
,NOR North Brands LLC,NOR North Brands LLC,PL-Shot,860011622079,Uplift THC Shot - Pink Lemonade 10MG THC/10MG CBG,10,THC,Beverages,,2oz bottle,12,,,,29,,,,,,
