Product Description,Product UPC,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Supplier,Distributor,Deal Description,Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Top Ten Invoice Cost,Item Number,Deepest Invoice (Market),Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Category (for markup),Markup %,Invoice Price,Color,Match w/ Items Month?
Acre Mango Green Tea 5mg THC 4pk 12oz can,615867915925,5,THC,Beverages,,4pk 12oz can,6,Acre,56 Brewing,,0,0,,-0.01,,1,,12OZMGACRE,,,,,,,0.5,0,,
Acre Peach White Tea 10mg THC 4pk 12oz can,615867916021,10,THC,Beverages,,4pk 12oz can,6,Acre,56 Brewing,,0,0,,-0.01,,1,,12OZPTACRETT,,12.49,10.96,0,,Beverages,0.5,0,,
Berserker's Negroni 10mg THC 4pk 12oz can,649696145710,40,THC,Beverages,,4pk 12oz can,6,Berserker,Nothing But Hemp LLC,,13.333333333333334,80,105,25.99,,0.48698217263049887,80,649696145710,92,23.99,19.96,12.86,,Beverages,0.5,80,,
Berserkers Old Fashioned 10mg THC 4pk 12oz can,649696330901,40,THC,Beverages,,4pk 12oz can,6,Berserker,Nothing But Hemp LLC,,13.333333333333334,80,105,25.99,,0.48698217263049887,80,649696330901,92,23.99,19.96,12.86,,Beverages,0.5,80,,
Blackstack Real Trees King Size Passion Papaya 10mg THC 4pk 16oz can,850000320406,,THC,Beverages,,4pk 12oz can,6,"Black Stack Brewing, Inc","Black Stack Brewing, Inc",,0,0,,-0.01,,1,,850000320406,,,,,,,0.5,0,,
Blackstack Real Trees THC Minnesota Mule 4pk 16oz can,850000320253,,THC,Beverages,,4pk 16oz can,6,"Black Stack Brewing, Inc","Black Stack Brewing, Inc",,0,0,,-0.01,,1,,169291026,,21.99,18.96,13.86,,Beverages,0.5,0,,
BLNCD Adaptogen Elixir Brain Boost 5mg THC 4pk 12oz can,810012698061,5,THC,Beverages,,4pk 12oz can,6,BLNCD,Small Lot MN,,10.995,65.97,84,,19.99,15.96,70.6,MNGODBAEBB,84,0.31109022556390986,18.99,15.96,,Beverages,0.5,70.6,,
BLNCD Adaptogen Elixir Variety Pack 5mg THC 6pk 12oz can,810012698702,5,THC,Beverages,,6pk 12oz can,4,BLNCD,Small Lot MN,,10.995,65.97,79,,19.99,15.96,62.2,MNGODBAEV30,79,0.31109022556390986,18.99,15.96,,Beverages,0.5,62.2,,
BLNCD Adaptogen Elixir Zen Blend 5mg THC 4pk 12oz can,810012698078,5,THC,Beverages,,4pk 12oz can,6,BLNCD,Small Lot MN,,10.995,65.97,84,,19.99,15.96,70.6,MNGODBAEZB,84,0.31109022556390986,18.99,15.96,,Beverages,0.5,70.6,,
BLNCD Brain Boost Adaptogen 50mg THC Gummies 10pk,810012698481,50,THC,Edibles,,10pk,6,BLNCD,Small Lot MN,,10.995,65.97,90,,19.99,15.96,75,MNGODBMGCABB50,90,0.31109022556390986,18.99,15.96,,Edibles,0.5,75,,
BLNCD Cucumber Mojito 10mg THC 4pk 12oz can,810012698767,10,THC,Beverages,,4pk 12oz can,6,BLNCD,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.52,MNGODBMCM10,98,0.31109022556390986,18.99,15.96,,Beverages,0.5,83.52,,
BLNCD Fuse 50mg THC 5 Pack,810012698139,50,THC,Beverages,,5pk,6,BLNCD,Small Lot MN,,10.995,65.97,126,,19.99,15.96,126,MNGODBMIF50,126,0.31109022556390986,18.99,15.96,,Beverages,0.5,126,,
BLNCD FUSE 50mg THC 500ml,840006313960,50,THC,Beverages,,500ml,4,BLNCD,Small Lot MN,,10.995,65.97,128,,19.99,15.96,112,MNGODBTSF500,128,0.31109022556390986,18.99,15.96,,Beverages,0.5,112,,
BLNCD Levitate 50mg THC 5 Pack,810012698238,50,THC,Beverages,,5pk,6,BLNCD,Small Lot MN,,10.995,65.97,126,,19.99,15.96,126,MNGODBMIL50,126,0.31109022556390986,18.99,15.96,,Beverages,0.5,126,,
BLNCD Levitate 50mg THC 500ml,840006313939,50,THC,Beverages,,500ml,4,BLNCD,Small Lot MN,,10.995,65.97,144,,19.99,15.96,126,MNGODBTSL500,144,0.31109022556390986,18.99,15.96,,Beverages,0.5,126,,
BLNCD Mocktail Variety Pack 10mg THC 6pk 12oz can,810012698740,10,THC,Beverages,,6pk 12oz can,4,BLNCD,Small Lot MN,,10.995,65.97,96,,19.99,15.96,80,MNGODBMV60,96,0.31109022556390986,18.99,15.96,,Beverages,0.5,80,,
BLNCD Sparkling Water Variety Pack 5mg THC 6pk 12oz can,810012698719,5,THC,Beverages,,6pk 12oz can,4,BLNCD,Small Lot MN,,10.995,65.97,72,,19.99,15.96,53.8,MNGODBSPWV30,72,0.31109022556390986,18.99,15.96,,Beverages,0.5,53.8,,
BLNCD Watermelon Margarita 10mg THC 4pk 12oz can,810012698474,10,THC,Beverages,,4pk 12oz can,6,BLNCD,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.52,MNGODBMWM10,98,0.31109022556390986,18.99,15.96,,Beverages,0.5,83.52,,
BLNCD Zen Blend Adaptogen 50mg THC Gummies 10pk,810012698535,50,THC,Edibles,,10pk,6,BLNCD,Small Lot MN,,10.995,65.97,90,,19.99,15.96,75,MNGODBMGCAZB50,90,0.31109022556390986,18.99,15.96,,Edibles,0.5,75,,
Calexo Citrus Rose 5mg THC 4pk 12oz can,850051796007,,THC,Beverages,,4pk 12oz can,6,Calexo  ,Nothing But Hemp LLC,,0,0,,-0.01,,1,,CXOCR11923,,,,,,,0.5,0,,
Calexo Cucumber Citron 5mg THC 4pk 12oz can,850051796014,,THC,Beverages,,4pk 12oz can,6,Calexo  ,Nothing But Hemp LLC,,0,0,,-0.01,,1,,CXOCC11923,,17.49,7.86,0,,Beverages,0.5,0,,
Calexo Semitropic 5mg THC 4pk 12oz can,850051796021,,THC,Beverages,,4pk 12oz can,6,Calexo  ,Nothing But Hemp LLC,,0,0,,-0.01,,1,,CXOST11923,,,,,,,0.5,0,,
Cannachill Blueberry Indica 10 Pack,658580777906,50,THC,Edibles,,,12,Cannachill,Nothing But Hemp LLC,,12,144,180,0.07692307692307687,21.99,19.96,144,CCBG81723,156,0.39879759519038077,23.99,19.96,,Edibles,0.5,144,,
Cannachill Blueberry Indica 4pk 12oz can,661537424068,20,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,Id like to implent $60/cs on this item,12,72,84,0.07692307692307687,21.99,16.96,72,661537424068,78,0.2924528301886793,20.99,16.96,,Beverages,0.5,72,,
Cannachill Citrus 4pk 12oz can,685457580581,,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,,0,0,,-0.01,,1,,CCCIT81723,,20.99,16.96,7.86,,Beverages,0.5,0,,
Cannachill Citrus Hybrid 10 Pack,658580777913,50,THC,Edibles,,,12,Cannachill,Nothing But Hemp LLC,,12,144,180,0.07692307692307687,21.99,19.96,144,CCCITG81723,156,0.39879759519038077,23.99,19.96,,Edibles,0.5,144,,
Cannachill Fuji Apple 10mg THC 4pk 12oz can,804467597048,40,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,,12.333333333333334,74,93,0.14942528735632188,21.99,21.96,74,804467597048,87,0.4383727990285367,29.99,21.96,,Beverages,0.5,74,,
Cannachill Lemon Sativa 10 Pack,658580777937,50,THC,Edibles,,,12,Cannachill,Nothing But Hemp LLC,,12,144,180,0.07692307692307687,21.99,19.96,144,CCLG81723,156,0.39879759519038077,29.99,19.96,,Edibles,0.5,144,,
Cannachill Lemon Sativa 4pk 12oz can,676737673116,,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,,0,0,,-0.01,,1,,676737673116,,20.99,16.96,7.86,,Beverages,0.5,0,,
Cannachill Passionfruit Sativa 10 Pack,658580777920,50,THC,Edibles,,,12,Cannachill,Nothing But Hemp LLC,,12,144,180,0.07692307692307687,21.99,19.96,144,CCPFG81723,156,0.39879759519038077,23.99,19.96,,Edibles,0.5,144,,
Cannachill Passionfruit Sativa 4pk 12oz can,648275776373,20,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,Id like to implent $60/cs on this item,12,72,84,0.07692307692307687,21.99,16.96,72,648275776373,78,0.2924528301886793,20.99,16.96,,Beverages,0.5,72,,
Cannachill Strawberry 10mg THC 4pk 12oz can,804467573714,,THC,Beverages,,4pk 12oz can,6,Cannachill,Nothing But Hemp LLC,,0,0,,-0.01,,1,,CCSB11923,,,,,,,0.5,0,,
Chill State Lemon Haze 4pk 16oz can,850018968805,,THC,Beverages,,4pk 16oz can,6,Chill State,"Capitol Beverage Sales, L.P.",,12,72,,-0.01,,1201,72,18653,,18.99,14.96,10.86,,Beverages,0.5,72,,
Chiller Light 2mg THC 4pk 12oz can,649696344274,,THC,Beverages,,4pk 12oz can,6,Chiller ,Nothing But Hemp LLC,,0,0,,-0.01,,1,,649696344274,,12.99,0,0,,Beverages,0.5,0,,
Climbing Kites Pineapple Passion Fruit 10mg THC 4pk 12oz can,850047906434,10mg,THC,Beverages,,4pk 12oz can,6,Climbing Kites,Global Reserve LLC,Case 1,10.666666666666666,64,80,0.19999999999999996,19.99,16.96,64,190-482,80,0.3710691823899372,,,,,0.5,64,,
Clrty Mango 5mg THC 4pk 12oz can,860008925145,,THC,Beverages,,4pk 12oz can,6,Clrty,"Capitol Beverage Sales, L.P.",,,,,-0.01,,0,,6392,,,,,,,0.5,,,
Clrty Pineapple Hibiscus 10mg THC 4pk 12oz can,850048459281,,THC,Beverages,,4pk 12oz can,6,Clrty,"Capitol Beverage Sales, L.P.",,,,,-0.01,,0,,20509,,20.99,17.96,0,,Beverages,0.5,,,
Countdown Berry Force 10mg THC 4pk 12oz can,198168170236,10,THC,Beverages,,4pk 12oz can,6,Wherehouse Beverage,Wherehouse Beverage,,0,0,,,,0,,198168170236,,14.99,12.96,0,,Beverages,0.5,0,,
Countdown Cosmic Lemonade 10mg THC 4pk 12oz can,198168328149,10,THC,Beverages,,4pk 12oz can,6,Wherehouse Beverage,Wherehouse Beverage,,0,0,,,,0,,H_CDE_CL_10_4K_MN_TT,,14.99,12.96,0,,Beverages,0.5,0,,
Countdown Orange Blast 10mg THC 4pk 12oz can,198168043059,10,THC,Beverages,,4pk 12oz can,6,Wherehouse Beverage,Wherehouse Beverage,,0,0,,,,0,,198168043059,,14.99,12.96,0,,Beverages,0.5,0,,
Crooked Beverage Berry 3mg 4pk 12oz can,196852128815,3,THC,Beverages,,4pk 12oz can,6,Crooked,Global Reserve LLC,,,,-,,,0,-,196852128815,-,34.99,15.96,0,,Beverages,0.5,-,,
Crooked Beverage Blood Orange 3mg 4pk 12oz can,196852003266,3,THC,Beverages,,4pk 12oz can,6,Crooked,Global Reserve LLC,,0,0,-,,,0,,196852003266,-,18.99,7.86,0,,Beverages,0.5,0,,
Crooked Beverage Straw Basil 3mg 4pk 12oz can,196852998364,3,THC,Beverages,,4pk 12oz can,6,Crooked,Global Reserve LLC,,0,0,-,,,0,,196852998364,-,34.99,15.96,0,,Beverages,0.5,0,,
DOPE Grapefruit 5mg THC 4pk 16oz can,804467782413,5,THC,Beverages,,4pk 16oz can,6,DOPE,"Capitol Beverage Sales, L.P.",,9.86111111111111,59.166666666666664,,0.16666666666666674,17.99,12.96,59.166666666666664,23201,71,0.23911179698216745,14.99,12.96,,,0.5,59.166666666666664,,
DOPE Pineapple 5mg THC 4pk 16oz can,804467833900,5,THC,Beverages,,4pk 16oz can,6,DOPE,"Capitol Beverage Sales, L.P.",,9.86111111111111,59.166666666666664,,0.16666666666666674,17.99,12.96,59.166666666666664,23203,71,0.23911179698216745,14.99,12.96,,,0.5,59.166666666666664,,
DOPE Watermelon 5mg THC 4pk 16oz can,804467762552,5,THC,Beverages,,4pk 16oz can,6,DOPE,"Capitol Beverage Sales, L.P.",,9.86111111111111,59.166666666666664,,0.16666666666666674,17.99,12.96,59.166666666666664,23205,71,0.23911179698216745,14.99,12.96,,Beverages,0.5,59.166666666666664,,
Element 5mg THC Gummies 10 Pack,810012696517,5,THC,Edibles,,10pk,6,Element,Small Lot MN,,10.995,65.97,60,,19.99,15.96,48,MNGODED9GA50,60,0.31109022556390986,18.99,15.96,,Edibles,0.5,48,,
Flyers Cocktail Sparkling Margarita 4pk 12oz can,703674911565,,THC,Beverages,,4pk 12oz can,6,Flyers,Nothing But Hemp LLC,,0,0,,-0.01,,1,,FLY61523M,,11.49,7.86,0,,Beverages,0.5,0,,
Flyers Cocktail Sparkling Ol' Fashioned 4pk 12oz can,703674911589,,THC,Beverages,,4pk 12oz can,6,Flyers,Nothing But Hemp LLC,,0,0,,-0.01,,1,,FLY61523O,,11.49,7.86,0,,Beverages,0.5,0,,
Flyers Cocktail Sparkling Spritz 4pk 12oz can,703674911572,,THC,Beverages,,4pk 12oz can,6,Flyers,Nothing But Hemp LLC,,0,0,,-0.01,,1,,FLY61523S,,11.49,7.86,0,,Beverages,0.5,0,,
Foundry Nation MN 50mg THC Gummies 10pk,810012695978,50,THC,Edibles,,10pk,6,Foundry Nation,Small Lot MN,,10.995,65.97,60,,19.99,15.96,48,MNGODFMGA50,60,0.31109022556390986,18.99,15.96,,Edibles,0.5,48,,
Foundry Nation Ringside Refreshers Fruit Punch Flyer 10mg THC 4pk 12oz can,810012690836,10,THC,Beverages,,4pk 12oz can,6,Foundry Nation,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.76,MNGODFRRFP10,98,0.31109022556390986,18.99,15.96,,,0.5,83.76,,
Foundry Nation Soda Variety Pack 5mg THC 6pk 12oz can,810012699761,5,THC,Beverages,,6pk 12oz can,4,Foundry Nation,Small Lot MN,,10.995,65.97,72,,19.99,15.96,53.8,MNGODFNSVP60,72,0.31109022556390986,18.99,15.96,,Beverages,0.5,53.8,,
Foundry Nation Two Scoops Cherry 10mg THC 4pk 12oz can,810012698610,10,THC,Beverages,,4pk 12oz can,6,Foundry Nation,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.5,MNGODFTSCC10,98,0.31109022556390986,18.99,15.96,,,0.5,83.5,,
Foundry Nation Two Scoops Orange 10mg THC 4pk 12oz can,810012698634,10,THC,Beverages,,4pk 12oz can,6,Foundry Nation,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.5,MNGODFTSOD10,98,0.31109022556390986,18.99,15.96,,,0.5,83.5,,
Foundry Nation Two Scoops Root Beer 10mg THC 4pk 12oz can,810012698597,10,THC,Beverages,,4pk 12oz can,6,Foundry Nation,Small Lot MN,,10.995,65.97,98,,19.99,15.96,83.5,MNGODFNTSR10,98,0.31109022556390986,18.99,15.96,,,0.5,83.5,,
Foundry Nation Two Scoops Variety Pack 10mg THC 6pk 12oz can,810012693882,10,THC,Beverages,,6pk 12oz can,4,Foundry Nation,Small Lot MN,,10.995,65.97,96,,19.99,15.96,53.32,MNGODTSVP10,96,0.31109022556390986,18.99,15.96,,Beverages,0.5,53.32,,
Fu Man Chews 5mg THC Gummies 10 Pack,810012696463,5,THC,Edibles,,10pk,6,Fu Man Chew,Small Lot MN,,10.995,65.97,60,,19.99,15.96,48,MNGODFMCMGA50,60,0.31109022556390986,18.99,15.96,,Edibles,0.5,48,,
Gigli Chocolate Variety 5mg THC 10 Pack,643459379701,5,THC,Edibles,,,12,Gigli MN LLC,Gigli MN LLC,,0,0,,-0.01,,1,,643459379701,,18.99,15.96,0,,Edibles,0.5,0,,
Gigli Dark Chocolate 5mg THC 10 Pack,643459379862,5,THC,Edibles,,10pk,12,Gigli MN LLC,Gigli MN LLC,,7,84,,,12.99,15.96,84,643459379862,,0.5614035087719298,18.99,15.96,,Edibles,0.5,84,,
