Concat,Initials,REVIEW,Effective Date,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category (1),Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Net Case,Net/Unit,Discount To Market,Retail Override,Club Override,GM%,Avg Retail,Avg Club,Avg Sale,Category (for markup %),Markup,Distributor (1),Item Number (1),Product Description (1),Deal Description (1),Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Diff b/w Case 1,Diff Item Number,Concat (1),CR Pref Vendor,Cloud Retailer Name,Color,Concat (2),Purchase Price,Vendor Code,Buy Months (1),Current Preferred Price,Lower?,Dif (1)
Bauhaus Brew Labs810091530757,,,2025-09-01 00:00:00,,Bauhaus Brew Labs,Tetra,10,810091530757,Tetra Lyte Limeade 2mg THC 12pk 12oz can,2,THC,Beverages,,12pk 12oz can,2,,,,30,,4,,30,15,,,,0,,,,Standard,0.5,,,,,,,,,,Bauhaus Brew Labs810091530757,,Bauhaus Brew Labs,White,Bauhaus Brew Labs810091530757,0,10,12pk 12oz can, , , 
Bauhaus Brew Labs810091530962,,,2025-09-01 00:00:00,,Bauhaus Brew Labs,Tetra,11,810091530962,Tetra Lyte Blackberry Lemonade 2mg THC 12pk 12oz can,2,THC,Beverages,,12pk 12oz can,2,,,,30,,4,,30,15,,,,0,,,,Standard,0.5,,,,,,,,,,Bauhaus Brew Labs810091530962,,Bauhaus Brew Labs,White,Bauhaus Brew Labs810091530962,0,11,12pk 12oz can, , , 
Bauhaus Brew Labs810091530948,,,2025-09-01 00:00:00,,Bauhaus Brew Labs,Tetra,13,810091530948,Tetra x Francis Guava Limeade 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,62,,4,,62,10.333333333333334,,,,0,,,,,0.5,,,,,,,,,,Bauhaus Brew Labs810091530948,,Bauhaus Brew Labs,White,Bauhaus Brew Labs810091530948,0,13,4pk 12oz can,,,
Bauhaus Brew Labs810091530887,,,2025-09-01 00:00:00,,Bauhaus Brew Labs,Tetra,12,810091530887,Tetra Strawberry-Dragonfruit 10mg THC 4pk 12oz Can,10,THC,Beverages,,4pk 12oz can,6,,,,80,,4,,80,13.333333333333334,,,,0,,,,,0.5,,,,,,,,,,Bauhaus Brew Labs810091530887,,Bauhaus Brew Labs,White,Bauhaus Brew Labs810091530887,0,12,4pk 12oz can,,,
Bent Paddle Brewing Co858106004251,,,2025-09-01 00:00:00,Yes,Bent Paddle Brewing Co,Bent Paddle Brewing Co,,858106004251,Bent Paddle Puff Prickly Pear Lemonade 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,83,,64,,,,64,10.666666666666666,,,,0,,,,,0.5,Bent Paddle Brewing Co,858106004251,858106004251,0,4pk 12oz can,6,0,0,858106004251,Bent Paddle Brewing Co858106004251,Bent Paddle Brewing Co,Bent Paddle Brewing Co,White,Bent Paddle Brewing Co858106004251,0,0,4pk 12oz can,,,
Bent Paddle Brewing Co858106004268,,,2025-09-01 00:00:00,Yes,Bent Paddle Brewing Co,Bent Paddle Brewing Co,,858106004268,Bent Paddle Puff Party Variety 10mg THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,,73.8,,54,,,,54,27,,,,0,,,,,0.5,Bent Paddle Brewing Co,858106004268,858106004268,0,12pk 12oz can,2,0,0,858106004268,Bent Paddle Brewing Co858106004268,Bent Paddle Brewing Co,Bent Paddle Brewing Co,White,Bent Paddle Brewing Co858106004268,0,0,12pk 12oz can,,,
Bent Paddle Brewing Co850024846845,,,2025-09-01 00:00:00,Yes,Bent Paddle Brewing Co,Bent Paddle Brewing Co,,850024846845,Bent Paddle Muse 2mg THC 25mg CBD 4pk 12oz can,2,THC,Beverages,,4pk 12oz can,6,,78.4,,55,,,,55,9.166666666666666,,,,0,,,,,0.5,,,,,,,,,,Bent Paddle Brewing Co850024846845,,Bent Paddle Brewing Co,White,Bent Paddle Brewing Co850024846845,0,0,4pk 12oz can,,,
"Capitol Beverage Sales, L.P.850070266086",,,2025-09-01 00:00:00,,"Capitol Beverage Sales, L.P.",Chill State,31057,850070266086, CHILL 10MG BLACKBERRY 6/4-16 CAN,,THC,Beverages,,4pk 16oz can,6,,,,80,,,,80,13.333333333333334,,,,0,,,,,0.5,,,,,,,,,,"Capitol Beverage Sales, L.P.850070266086",,"Capitol Beverage Sales, L.P.",White,"Capitol Beverage Sales, L.P.850070266086",0,31057,4pk 16oz can,,,
"Capitol Beverage Sales, L.P.850048459328",,,2025-09-01 00:00:00,,"Capitol Beverage Sales, L.P.",Clrty,20521,850048459328,CLRTY CRAN LIME 10MG 6/4-12 CAN,,THC,Beverages,,4pk 12oz can,6,,,,76,,,,76,12.666666666666666,,,,0,,,,,0.5,,,,,,,,,,"Capitol Beverage Sales, L.P.850048459328","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",White,"Capitol Beverage Sales, L.P.850048459328",0,20521,4pk 12oz can,,,
"Capitol Beverage Sales, L.P.628719778128",,,2025-09-01 00:00:00,,"Capitol Beverage Sales, L.P.",Collective Project,31805,628719778128,10MG FETCH LEMON LIME 4/6 CAN,,THC,Beverages,,4pk 12oz can,6,,,,56,,,,56,9.333333333333334,,,,0,,,,,0.5,"Capitol Beverage Sales, L.P.",31805,628719778128,0,4pk 12oz can,6,0,0, ,"Capitol Beverage Sales, L.P.628719778128","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",White,"Capitol Beverage Sales, L.P.628719778128",0,31805,4pk 12oz can,,,
