Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Slash Yuzu 10mg THC 5 Pack,Edibles,Nothing But Hemp LLC,8593,656.2,13.1,2.15,7.99,6.96,73,,2857,8236,Stillwater:15;Andover:243;Bloomington:250;Cottage Grove:288;Osseo:362;Minnetonka:383;Blaine:397;Roseville:418;Woodbury:449;Rosemount:508;Ramsey:682;Plymouth:720;Vadnais Heights:728;Chanhassen:765;St. Louis Park:1032;Minneapolis:1353
Slash Fugi Apple 10mg THC 5 Pack,Edibles,Nothing But Hemp LLC,7812,642.5,12.2,2.15,7.99,6.96,73,,2760,8233,Stillwater:35;Minnetonka:145;Andover:211;Rosemount:219;Bloomington:220;Cottage Grove:285;Osseo:358;Ramsey:486;Woodbury:553;Plymouth:576;Chanhassen:653;Blaine:708;Roseville:745;Vadnais Heights:745;St. Louis Park:917;Minneapolis:956
Slash Asian Pear 10mg THC 5 Pack,Edibles,Nothing But Hemp LLC,7807,624.9,12.5,2.15,7.99,6.96,73,,2705,7914,Stillwater:81;Andover:225;Bloomington:232;Cottage Grove:267;Minnetonka:276;Rosemount:305;Ramsey:371;Blaine:398;Osseo:483;Chanhassen:508;Woodbury:532;Plymouth:575;Roseville:617;Vadnais Heights:768;St. Louis Park:941;Minneapolis:1228
Uncle Arnie's Strawberry Kiwi 10mg THC 2oz,Beverages,,1282,341.6,3.8,1.67,4.19,3.46,60,,1475,4341,Cottage Grove:62;Chanhassen:31;Minnetonka:40;Vadnais Heights:40;Ramsey:41;Plymouth:41;St. Louis Park:49;Andover:52;Roseville:72;Minneapolis:76;Woodbury:90;Bloomington:104;Rosemount:106;Osseo:114;Blaine:146;Stillwater:218
Uncle Arnie's Blueberry Nightcap 10mg THC 2oz,Beverages,,1269,309.8,4.1,1.67,4.19,3.46,60,,1313,4048,Cottage Grove:14;Minneapolis:15;Minnetonka:26;Ramsey:38;Chanhassen:50;Vadnais Heights:60;Plymouth:60;Stillwater:71;St. Louis Park:75;Roseville:76;Woodbury:97;Bloomington:99;Blaine:121;Osseo:139;Rosemount:154;Andover:174
Uncle Arnie's Tahitian Treat 10mg THC 2oz,Beverages,,787,243.9,3.2,1.67,4.19,3.46,60,,1009,3300,Stillwater:21;Cottage Grove:107;Plymouth:14;Minnetonka:28;Chanhassen:33;Bloomington:38;Minneapolis:41;Osseo:48;Ramsey:51;Roseville:52;Vadnais Heights:52;St. Louis Park:71;Andover:82;Blaine:149
Uncle Arnie's Sunrise Orange 10mg THC 2oz,Beverages,,1024,200.6,5.1,1.67,4.19,3.46,60,,914,2336,Cottage Grove:63;Ramsey:18;Plymouth:20;Stillwater:22;Chanhassen:27;Minneapolis:36;Roseville:42;Minnetonka:48;Woodbury:61;Bloomington:67;Rosemount:69;Vadnais Heights:74;Osseo:80;Andover:93;Blaine:144;St. Louis Park:160
Uncle Arnie's Lemon Mint 10mg THC 2oz,Beverages,,1053,185.3,5.7,1.67,4.19,3.46,60,,770,2491,Rosemount:35;Woodbury:57;Cottage Grove:62;Stillwater:211;Vadnais Heights:21;Chanhassen:21;Plymouth:23;Ramsey:28;Minneapolis:31;Minnetonka:34;Bloomington:67;Andover:75;Osseo:78;St. Louis Park:86;Roseville:101;Blaine:123
Uncle Arnie's Magic Mango 10mg THC 2oz,Beverages,,1003,177.5,5.7,1.67,4.19,3.46,60,,782,2187,Cottage Grove:61;Chanhassen:23;Plymouth:35;Roseville:38;Vadnais Heights:39;Stillwater:39;Andover:40;St. Louis Park:50;Osseo:60;Minneapolis:72;Bloomington:73;Rosemount:74;Woodbury:110;Blaine:144;Minnetonka:147
Leafy Maui Pineapple Gummies 5mg THC 10 Pack,Edibles,Get Chai,842,155.7,5.4,3.13,11.49,9.96,73,60 Day Reorder Time,619,2218,Vadnais Heights:11;Woodbury:13;Osseo:20;Minnetonka:22;Plymouth:23;Roseville:24;Cottage Grove:31;Minneapolis:37;Chanhassen:38;Ramsey:62;St. Louis Park:66;Blaine:135;Andover:135;Bloomington:225
