Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,Artisan Beer,Stigma Black Cherry 10mg THC 4pk 16oz can,860014678462,1,0.4,2,12,8.39,101.0
Andover,Artisan Beer,Stigma Lime Seltzer 10mg THC 4pk 16oz can,850011431986,6,2.0,2,12,10.73,129.0
Andover,Artisan Beer,Stigma Club Soda 10mg THC 4pk 16oz can,850011431979,2,2.1,1,6,10.96,66.0
Andover,Artisan Beer,Stigma Tonic Variety Pack 10mg THC 12pk 12oz can,860014678486,5,3.6,1,2,25.2,50.0
Andover,Bellboy Corporation,Minny Grown Highbernate 2.0 10 Pack,860010532591,0,0.0,1,12,8.0,96.0
Andover,Bellboy Corporation,Smokiez Sour Watermelon THC 10 pack,811194034128,0,0.0,1,12,5.5,66.0
Andover,Bellboy Corporation,Minny Grown Minny Apple 10 Pack,860009438088,2,1.7,1,12,8.0,96.0
Andover,Bellboy Corporation,Minny Grown CBC Watermelon Kiwi 10 Pack,850063284141,2,2.1,1,12,8.0,96.0
Andover,Bellboy Corporation,Minny Grown Highbernate 2.0 Yummy Gummy Bar 50mg THC,850063284615,7,2.3,1,12,6.0,72.0
Andover,Bellboy Corporation,Minny Grown BlueBeary 10 Pack,860006677671,6,2.9,1,12,8.0,96.0
Andover,Bellboy Corporation,Minny Grown Lemon Drop-let's 4pk 12oz can,860009899346,3,3.2,1,6,11.0,66.0
Andover,Bellboy Corporation,Brez Extra Strength 10mg THC 4pk 12oz can,860013612719,6,3.2,1,6,12.17,73.0
Andover,Bellboy Corporation,Minny Grown Watermelon 10 Pack,860006677664,7,3.3,1,12,8.0,96.0
Andover,Bent Paddle Brewing Co,Bent Paddle Puff Party Pack 10mg THC 12pk 12oz can,858106004268,3,2.6,1,2,22.71,45.0
Andover,Bent Paddle Brewing Co,Bent Paddle Hightened Mary Jane's Mule 10mg THC 4pk 12oz can,850024846630,5,2.7,1,6,9.38,56.0
