Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Notes,Non-Buy Month Invoice,Item Number,Description,Net Case EO,Net Cs EO/Unit,Avg Retail,Avg Club,Avg Sale,Competitor,Neilsen Ranking,Total Wine Price,Cub Price,RP,Multiple Prices,Kosher,item classification,Color,Remove
90+ Cellars 2019 Lot 26 Barolo,894655001440,Wine,750ml,12,Latitude Beverage,Bellboy Corporation,,All,17.875,214.5,218.5,26.99,32.959999999999994,0.4576759708737863,213.5,0, ,2994004,Buyer's Select,214.5,17.875,39.99,32.959999999999994,0,,,,,0,,,,,
90+ Cellars 2021 Lot 27 Barbera d'Alba,894655001457,Wine,750ml,12,Latitude Beverage,Bellboy Corporation,,All,9.875,118.5,128.5,15.99,19.8975,0.5037064957909285,117.5,0, ,2990354,Buyer's Select,118.5,9.875,23.927500000000006,19.8975,0,,,,,0,,,,,
90+ Cellars 2022 Lot 160 Bourgogne Pinot Noir,810879021163,Wine,750ml,12,Latitude Beverage,Bellboy Corporation,,All,16.75,201,215,26.99,29.959999999999994,0.4409212283044058,200,0,,2994034,Buyer's Select,201,16.75,34.99,29.959999999999994,0,,,,,0,,,,,
"90+ Cellars 2022 Lot 215 Orange, Abruzzo, Italy",810879024898,Wine,750ml,12,Latitude Beverage,Bellboy Corporation,,All,8.583333333333334,103,112,13.99,15.960000000000006,0.4621971595655808,102,0, ,2994014,Buyer's Select,103,8.583333333333334,18.990000000000002,15.960000000000006,0,,,,,0,,,,,
90+ Cellars 2022 Lot 217 Chablis,810879025734,Wine,750ml,12,Latitude Beverage,Bellboy Corporation,,All,16.083333333333332,193,162,19.99,29.959999999999994,0.4631731197151757,192,0, ,2994024,Buyer's Select,193,16.083333333333332,35.99,29.959999999999994,0,,,,,0,,,,,
90+ Cellars Albariño Lot 174 750ml,810879021514,Wine,750 ml,12,Latitude Beverage,Bellboy Corporation,,All,10.583333333333334,127,126,15.99,19.96,0.4697728790915164,126,0,126,2990394,Buyer's Select,127,10.583333333333334,23.990000000000006,19.96,0,,,,,0,,,,,
90+ Cellars Big Red Blend Lot 113,810879020104,Wine,750 ml,12,Latitude Beverage,Bellboy Corporation,,All,6.697500000000001,80.37,76.37,9.99,12.960000000000006,0.4832175925925928,79.37,0, ,2990114,Buyer's Select,80.37,6.697500000000001,15.990000000000004,12.960000000000006,0,,,,,0,,,,,
90+ Cellars Cab Sauv Mendoza,894655001716,Wine,750 ml,12,Latitude Beverage,Bellboy Corporation,,All,6.697500000000001,80.37,76.37,9.99,12.960000000000006,0.4832175925925928,79.37,0, ,2990214,Buyer's Select,80.37,6.697500000000001,15.990000000000004,12.960000000000006,0,,,,,0,,,,,
90+ Cellars Cab Sauv Rutherford/Napa,894655001259,Wine,750 ml,12,Latitude Beverage,Bellboy Corporation,,All,11.864166666666668,142.37,193.37,23.99,24.834999999999997,0.5222803838668545,141.37,0, ,2990204,Buyer's Select,142.37,11.864166666666668,29.865000000000006,24.834999999999997,0,,,,,0,,,,,
90+ Cellars Chardonnay,810879020302,Wine,750 ml,12,Latitude Beverage,Bellboy Corporation,,All,6.697500000000001,80.37,76.37,9.99,12.960000000000006,0.4832175925925928,79.37,0, ,2991804,Buyer's Select,80.37,6.697500000000001,15.990000000000004,12.960000000000006,0,,,,,0,,,,,
