Supplier,Average of Price,Average of Sale Price,Buy Month,Product Code,Average of Price A,Item Classification
Phillips Wine & Spirits - St. Paul,14.915000000000003,0,"December, June, March, September",081584013105,12.835000000000004,K J 750ml
,89.99,0,,3447211144005,3.559375,
Libation Project,58.49,,,7798136980701,48.64562500000001,
Oxford Street Merchants,25.552500000000006,,,857885000003,21.457499999999996,
Small Lot MN,59.24,,,850709002023,49.33437500000001,
"Bourget Imports, LLC",43.99,,,3591440002039,36.96,
Oxford Street Merchants,22.458750000000006,,,084279998008,18.835,
"Vinocopia, Inc",23.990000000000006,0,,859524004090,18.394375,
"Vinocopia, Inc",23.990000000000006,0,,859524004052,17.70625,
The Wine Company,136.99,,,3342832478105,0,
Bellboy Corporation,48.74,0,,3760111816194,32.989999999999995,
Bellboy Corporation,40.1775,0,,873964002430,34.333749999999995,
Bellboy Corporation,27.740000000000006,,,873964003628,19.96,
Bellboy Corporation,103.99,,,3760111811199,88.45937500000002,
Bellboy Corporation,27.740000000000006,0,,3760236150395,17.144375,
Bellboy Corporation,16.740000000000002,,,873964002789,12.960000000000006,
Bellboy Corporation,36.9275,0,,873964000610,26.958749999999995,
Bellboy Corporation,22.490000000000006,,,873964002232,17.960000000000004,
Bellboy Corporation,42.99,,,873964001839,0,
,59.99,,,1604852521,0,
Rue 38 LLC,15.990000000000004,0,,015643682193,13.960000000000006,
Bellboy Corporation,49.115,,,400000022086,39.83375,
,64.99,,,811644011846,0,
,24.990000000000006,,,811644012850,0,
Bellboy Corporation,35.74,,,873964004250,29.083749999999995,
,14.990000000000004,,,805109162136,0,
Bellboy Corporation,37.115,,,3760111819195,31.209999999999994,
Johnson Brothers - St. Paul,12.990000000000002,,,088553812202,0,
Johnson Brothers - St. Paul,14.990000000000004,0,,088553093496,12.583750000000004,
Johnson Brothers - St. Paul,14.990000000000004,,,088553094059,12.960000000000006,
Southern Glazer's Wine & Spirits of MN,16.990000000000002,,,089819796885,0,
Bellboy Corporation,13.990000000000002,,,3487451000075,0,
"New France Wine Co, Inc",20.990000000000002,,,640656000094,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",45.99,,,5055910799945,0,
The Wine Company,24.990000000000006,0,,748789805033,20.96,
Southern Glazer's Wine & Spirits of MN,12.490000000000002,,,081308003337,10.960000000000004,Chloe 750ml
"Maverick Beverage Co., LLC - MN",14.990000000000004,0,,859775001237,12.960000000000006,
Oxford Street Merchants,16.177500000000002,0,,812949023459,12.957500000000003,
Paustis Wine,18.833750000000002,,,603012005089,15.897500000000006,Chronic Cellars Purple Paradise 750ml
Southern Glazer's Wine & Spirits of MN,11.990000000000002,,,086012400847,0,
Southern Glazer's Wine & Spirits of MN,11.990000000000002,,,086012501346,0,
The Wine Company,20.990000000000002,0,,748789805057,17.960000000000004,
Johnson Brothers - St. Paul,21.990000000000006,,,876987000018,0,
,22.990000000000006,,,8485210010315,0,
,199.98999999999995,,,400000004549,0,
,59.99,,,5511309092018,0,
,10.99,,,653408200529,0,
"Vinocopia, Inc",18.990000000000002,0,,8410013021954,15.960000000000006,
,54.99,,,852195003010,0,
"Bourget Imports, LLC",27.990000000000006,0,,097871000345,24.959999999999997,
Rue 38 LLC,14.990000000000004,,,083663441038,0,
Phillips Wine & Spirits - St. Paul,22.990000000000006,,,819498010107,0,
,9.99,,,814086020100,0,
Phillips Wine & Spirits - St. Paul,14.990000000000004,,,081908000347,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",53.99,,,081909115927,0,
,27.990000000000006,,,081909111868,0,
Bellboy Corporation,14.990000000000004,0,,792468203078,12.897500000000004,
Bellboy Corporation,13.789999999999994,,,8003030878122,11.960000000000004,
Southern Glazer's Wine & Spirits of MN,14.990000000000004,,,083804077768,12.960000000000006,
"Grape Beginnings, Inc.",35.89625,,,726022120914,29.959999999999994,
,29.615000000000006,,,851392007876,1.246875,
,13.990000000000002,,,6009675641581,4.03,
Oxford Street Merchants,29.990000000000006,,,736211670489,0,
Paustis Wine,7.989999999999998,,All,081054394697,6.959999999999997,
,9.114999999999998,,,081054994101,0,
"New France Wine Co, Inc",17.990000000000002,,,835603001143,0,
,99.99,,,084692307005,84.96000000000001,
