REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,EO $,EO Cases,EO Period,EO Notes,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail,Club,GM%,Competitor Pricing,Distributor (1)
REMOVE,,Breakthru Beverage,,,080516121741,Florio Dry Marsala,Wine,750 ml,12,,All,128.65,128.65,,,,,,,,,128.65,10.720833333333333,,,15.99,,0.32952887221179905,,Breakthru Beverage
REMOVE,,Breakthru Beverage,DISARONNO INTERNATIONAL,1835560,080516121765,Florio Dry Marsala,Wine,375 ml,24,,All,136.55,136.55,,,,,,,,,136.55,5.689583333333334,,,8.99,,0.3671208750463477,,Breakthru Beverage
REMOVE,,Breakthru Beverage,DISARONNO INTERNATIONAL,9008775,80516121246,Florio Sweet Marsala,Wine,750 ml,12,,All,128.65,128.65,,,,,,,,,128.65,10.720833333333333,,,15.99,,0.32952887221179905,,Breakthru Beverage
REMOVE,,Breakthru Beverage,DISARONNO INTERNATIONAL,9008776,80516121260,Florio Sweet Marsala,Wine,375 ml,24,,All,136.55,136.55,,,,,,,,,136.55,5.689583333333334,,,8.99,,0.3671208750463477,,Breakthru Beverage
REMOVE,,Breakthru Beverage,FREDERICK WILDMAN,9447589,089744755391,Folonari Pinot Grigio BIB,Wine,3 L Box,3,5cs family $34 - Qty must be hit each month,All,40,34,,,,,,,,,34,11.333333333333334,,,19.99,,0.4330498582624645,,Breakthru Beverage
REMOVE,,Breakthru Beverage,FREDERICK WILDMAN,9447590,089744755407,Folonari Pinot Noir BIB,Wine,3 L Box,3,5cs family $34 - Qty must be hit each month,All,40,34,,,,,,,,,34,11.333333333333334,,,19.99,,0.4330498582624645,,Breakthru Beverage
REMOVE,,Breakthru Beverage,FREDERICK WILDMAN,9447718,089744761118,Folonari Toscana Rosso BIB,Wine,3 L Box,3,5cs family $34 - Qty must be hit each month,All,40,34,,,,,,,,,34,11.333333333333334,,,19.99,,0.4330498582624645,,Breakthru Beverage
REMOVE,,Breakthru Beverage,VINEBURG LLC DBA GUNDLACH BUNDSCHU WINER,9113194,87000302006,Gundlach Bundschu Mayacamas Cu,Wine,750 ml,12,,All,160,160,,,,,,,,,160,13.333333333333334,,,19.99,,0.33299983324995824,,Breakthru Beverage
REMOVE,,Breakthru Beverage,VINEBURG LLC DBA GUNDLACH BUNDSCHU WINER,9006832,87000304024,Gundlach Bundschu Sonoma Valley Merlot,Wine,750 ml,12,,All,360,360,,,,,,,,,360,30,,,44.99,,0.33318515225605694,,Breakthru Beverage
REMOVE,,Breakthru Beverage,WILSON DANIELS - WINES,9185440,689076036580,HdV Chardonnay 2018,Wine,750 ml,12,,All,686,686,,,,,,,,,686,57.166666666666664,,,85.99,,0.3351940148079234,,Breakthru Beverage
REMOVE,,Breakthru Beverage,WILSON DANIELS,9203228,400000005904,J Davies Ferrington Pinot Noir,Wine,750 ml,6,,All,288,288,,,,,,,,,288,48,,,71.99,,0.33324072787887205,,Breakthru Beverage
