Updated in Wine Tab?,Category,REVIEW,Notes,Reorder Point,Effective Date,REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,Freight,EO $,EO Cases,EO Period,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail Calc,Retail Override,Club Override,GM%,Avg Retail,Avg Club,Avg Sale,Distributor (1),Item Number (1),Product Description (1),Deal Description (1),Buy Months,Case 1,Buy Month Invoice (1),Net Case (1),Net Case EO (1),Diff b/w Case 1,Diff b/w Net Case,Diff b/w Net Case EO,Diff Item Number,Pnumber,Vendor,Vendor code,buy month,Reorder Points,Item Classfication,Retail Price,Rank
,New Item,,,,,NEW,,Paustis Wine Company,Precept Wines,2081,848375002782,Provisions Chardonnay 3L,Wine,3L,4,4 on 25,All,62,52,52,52,25,4,1,,,,45.827586206896555,11.456896551724139,45.827586206896555,11.456896551724139,22.99,19.99,16.96,0.32447543916720883,,,,,,,,,,,,,,,,,,,,,,,19.99,
,New Item,,,,,NEW,,Paustis Wine Company,Precept Wines,2088,848375005172,Provisions Rose 3L,Wine,3L,4,4 on 25,All,62,52,52,52,25,4,1,,,,45.827586206896555,11.456896551724139,45.827586206896555,11.456896551724139,22.99,19.99,16.96,0.32447543916720883,,,,,,,,,,,,,,,,,,,,,,,19.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,Leo Steen Peaberry Chenin,610877716265,Leo Steen Peaberry Chenin,Wine,750 ml,12,,All,256,240,,,,,1.75,,,,241.75,20.145833333333332,241.75,20.145833333333332,31.99,33.99,28.96,0.30435658379373853,,,,,,,,,,,,,,,,,,,,,,,33.99,
,New Item,,siri item,,"blaine, slp, roseville, mtka?",,,Maverick Wine Company,Classica,W-AV-RDM-22,748789700338,Avignonesi Rosso di Montepulciano,Wine,750,12,Case One,All,144,128.04,128.04,,,,1.5,,,,129.54,10.795,129.54,10.795,17.99,18.99,15.96,0.3236215538847118,,,,,,,,,,,,,,,,,,,,,,,18.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,,,Marguet 'Shaman' Rose Grand Cru Brut,Wine,750 ml,6,,All,360,344,,,,,1.75,,,,345.75,57.625,345.75,57.625,89.99,89.99,74.96,0.23125667022411947,,,,,,,,,,,,,,,,,,,,,,,89.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,,,Marguet Bouzy Grand Cru Brut,Wine,750 ml,6,,All,488,472,,,,,1.75,,,,473.75,78.95833333333333,473.75,78.95833333333333,121.99,123.99,102.96,0.23311642061642063,,,,,,,,,,,,,,,,,,,,,,,123.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,,,Bereche Brut Reserve,Wine,750 ml,6,,All,344,328,,,,,1.75,,,,329.75,54.958333333333336,329.75,54.958333333333336,85.99,85.99,70.96,0.22550263059000367,,,,,,,,,,,,,,,,,,,,,,,85.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,Le Capitaine Vouvray Demi-Sec,,Le Capitaine Vouvray Demi-Sec,Wine,750 ml,12,,All,160,144,,,,,1.75,,,,145.75,12.145833333333334,145.75,12.145833333333334,19.99,22.49,18.96,0.3593969760900141,,,,,,,,,,,,,,,,,,,,,,,22.49,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,Camins 2 Dreams 'Yila' Red,,Camins 2 Dreams 'Yila' Red,Wine,750 ml,12,,All,240,224,,,,,1.75,,,,225.75,18.8125,225.75,18.8125,29.99,31.99,26.96,0.30220697329376855,,,,,,,,,,,,,,,,,,,,,,,31.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,Crochet Sancerre Rose,,Crochet Sancerre Rose,Wine,750 ml,12,,All,272,256,,,,,1.75,,,,257.75,21.479166666666668,257.75,21.479166666666668,33.99,36.99,30.96,0.30622846683893196,,,,,,,,,,,,,,,,,,,,,,,36.99,
,New Item,,"not sure, from Siri?",,,,,"Bourget Imports, LLC",,Crochet Sancerre Blanc,,Crochet Sancerre Blanc,Wine,750 ml,12,,All,360,344,,,,,1.75,,,,345.75,28.8125,345.75,28.8125,44.99,48.99,40.96,0.29656982421875,,,,,,,,,,,,,,,,,,,,,,,48.99,
,New Item,,siri,,,,,"Bourget Imports, LLC",,Moschopolis Aiora Red,5200134860043,Moschopolis Aiora Red,Wine,750 ml,12,,All,192,176,,,,,1.75,,,,177.75,14.8125,177.75,14.8125,23.99,26.99,22.96,0.3548562717770035,,,,,,,,,,,,,,,,,,,,,,,26.99,
,New Item,,,,,6.96 is correct price,,Johnson Brothers Liquor Co,Gallo,1277359,085000441244,Barefoot Cab 6/4pk 200ml Tetra,Wine,200ml Tetra,6, Deep Net,All,40,28,28,,,,1.1,,,,29.1,4.8500000000000005,29.1,4.8500000000000005,9.99,,6.96,0.3031609195402298,,,,,,,,,,,,,,,,,,,,,,,7.99,
,New Item,,,,,6.96 is correct price,,Johnson Brothers Liquor Co,Gallo,1163276,085000441251,Barefoot Chard 6/4pk 200ml Tetra,Wine,200ml Tetra,6, Deep Net,All,40,28,28,,,,1.1,,,,29.1,4.8500000000000005,29.1,4.8500000000000005,9.99,,,0.5145145145145145,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,,,,6.96 is correct price,,Johnson Brothers Liquor Co,Gallo,1987757,085000441268,Barefoot Moscato 6/4pk 200ml Tetra,Wine,200ml Tetra,6, Deep Net,All,40,28,28,,,,1.1,,,,29.1,4.8500000000000005,29.1,4.8500000000000005,9.99,,,0.5145145145145145,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,,,,6.96 is correct price,,Johnson Brothers Liquor Co,Gallo,1753122,085000441220,Barefoot Pinot Grigio 6/4pk 200ml Tetra,Wine,200ml Tetra,6, Deep Net,All,40,28,28,,,,1.1,,,,29.1,4.8500000000000005,29.1,4.8500000000000005,9.99,,,0.5145145145145145,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,,,,NEW,,Paustis Wine Company,"WISD, LLC",1918,879716002468,Natural Origins Rose,Wine,3 Ltr Box,6,2 on 20,All,103,88,88,88,20,2,1,,,,81,13.5,81,13.5,25.99,23.99,19.96,0.3236472945891784,,,,,,,,,,,,,,,,,,,,,,,23.99,
,New Item,,,,,NEW,,Paustis Wine Company,"WISD, LLC",1800,879716000075,Natural Origins Sauv Blanc,Wine,3 Ltr Box,6,2 on 20,All,103,88,88,88,20,2,1,,,,81,13.5,81,13.5,25.99,23.99,19.96,0.3236472945891784,23.990000000000006,19.96,0,,,,,,,,,,,,,,P3041,Paustis Wine,1800,,0,,23.99,
,New Item,,,,,NEW,,Paustis Wine Company,House of Smith,3107,184745000683,Blossom Fury Riesling,Wine,750 ml,12,1 on 10,All,144,136,136,136,10,1,1,,,,124.63636363636364,10.386363636363637,124.63636363636364,10.386363636363637,17.99,18.99,15.96,0.3492253360674413,,,,,,,,,,,,,,,,,,,,,,,18.99,
,New Item,,siri,,,,,"Bourget Imports, LLC",,,,Benoit Dehu 'Cuvee Initiation' Brut,Wine,750 ml,12,,All,744,728,,,,,1.75,,,,729.75,60.8125,729.75,60.8125,92.99,94.99,78.96,0.22983156028368787,,,,,,,,,,,,,,,,,,,,,,,94.99,
,New Item,,siri,,,,,"Bourget Imports, LLC",,,,Marie Courtin 'Eloquence' Brut,Wine,750 ml,12,,All,968,952,,,,,1.75,,,,953.75,79.47916666666667,953.75,79.47916666666667,120.99,123.99,102.96,0.22805782180782172,,,,,,,,,,,,,,,,,,,,,,,123.99,
,New Item,,siri,,,,,Southern Wine & Spirits,JAM CELLARS,644640,853706002423,SERIAL CABERNET SAUVIGNON 21,Wine,750ML,12, ,ALL,240,216,216,,,,0.8,,,,216.8,18.066666666666666,216.8,18.066666666666666,29.99,31.99,26.96,0.3298714144411474,,,,,,,,,,,,,,,,,,,,,,,31.99,
,New Item,,siri,,,,,Southern Wine & Spirits,JAM CELLARS,622342,853706002249,SERIAL RED BLEND XXVI 21,Wine,750ML,12, ,ALL,216,198,198,,,,0.8,,,,198.8,16.566666666666666,198.8,16.566666666666666,26.99,29.99,24.96,0.33627136752136755,,,,,,,,,,,,,,,,,,,,,,,29.99,
,New Item,,siri,,,,,Breakthru Beverage,CHAMPAGNE & CHATEAUX,9735321,664941002884,Chateau Roumieu Sauternes,Wine,375ml,12,Case 1,,210,210,,,,,1.15,,,,211.15,17.595833333333335,211.15,17.595833333333335,25.99,30.99,25.96,0.3221944016435541,,,,,,,,,,,,,,,,,,,,,,,30.49,
,New Item,,,,,,,Wine Merchants,Penner Ash,1575399,857187002026,Penner Ash WV Pinot Noir,Wine,750ml,6,,ALL,270,240, ,,,,1.1,,,,241.1,40.18333333333333,241.1,40.18333333333333,67.99,,,0.40898171299700936,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,"bryce email, asked siri. She did not mention this one",,,,,Maverick Wine Company,Klinker Brick,DW-KB-AV-ZN-22,853739000519,Alveo Zinfandel,Wine,750 ml,12,1 on 5 m/m with Klinker Brick (Brickmason No Charge),All,120,104,,110,5,1,1.5,,,,83.5,6.958333333333333,83.5,6.958333333333333,14.99,12.49,10.96,0.3651155717761558,,,,,,,,,,,,,,,,,,,,,,,12.49,
,New Item,,siri wines. Waiting on locations from siri,,,,,New France Wine,,MocaliCiliegiolo,No UPC,Mocali Maremma Toscana Ciliegiolo,Wine,750 ml,12,,All,136,128,128,,,,2.5,,,,130.5,10.875,130.5,10.875,16.99,19.99,16.96,0.3587853773584906,,,,,,,,,,,,,,,,,,,,,,,19.99,
,New Item,,siri wines. Waiting on locations from siri,,,,,New France Wine,,MocaliBrunello,No UPC,Mocali Brunello di Montalcino,Wine,750 ml,12,,All,472,464,464,,,,2.5,,,,466.5,38.875,466.5,38.875,58.99,71.99,59.96,0.35165110073382255,,,,,,,,,,,,,,,,,,,,,,,71.99,
,New Item,,,,,,,Johnson Brothers Liquor Co,Delicato,1779478,082242018104,Black Stal Cornerstone Chard (Low Tier),Wine,750 ml,12,1 free case of Cornerstone Cab on 5,All,144,136,,176,5,1,1.1,,,,101.89999999999999,8.491666666666665,101.89999999999999,8.491666666666665,17.99,14.99,12.96,0.3447788065843623,,,,,,,,,,,,,,,,,,,,,,,14.99,
,New Item,,,,,,,Johnson Brothers Liquor Co,Delicato,1866932,082242018098,Black Stal Cornerstone Cab Sauv (Low Tier),Wine,750 ml,12,1 free case of Cornerstone Cab on 5,All,200,176,,176,5,1,1.1,,,,147.76666666666665,12.313888888888888,147.76666666666665,12.313888888888888,24.99,22.49,18.96,0.350533286451008,,,,,,,,,,,,,,,,,,,,,,,22.49,
,New Item,,,,,,,Phillips Wine & Spirits,American Beverage,1872461,07480691886,Daily's Spiked Iced Tea Lemonade 10oz,Wine,Single,24,1 on 15,September|October|November|December,48,38.58, ,38.58,15,1,1.1,,,,37.26875,1.5528645833333332,37.26875,1.5528645833333332,2.99,,,0.48064729654403576,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,,,,,,Phillips Wine & Spirits,American Beverage,1766588,07480691885,Daily's Spiked Strawberry Lemonade 10oz,Wine,Single,24,1 on 15,September|October|November|December,48,38.58, ,38.58,15,1,1.1,,,,37.26875,1.5528645833333332,37.26875,1.5528645833333332,2.99,,,0.48064729654403576,,,,,,,,,,,,,,,,,,,,,,,,
,New Item,,,,,,,Southern Wine & Spirits,CONSTELLATION BRANDS,697566,081308016351,Chloe In Bloom PG/Sauv Blanc,Wine,750ml,12,,ALL,120,84,96,,,,0.8,,,,84.8,7.066666666666666,84.8,7.066666666666666,14.99,12.49,10.96,0.3552311435523115,,,,,,,,,,,,,,,,,,,,,,,12.49,
,New Item,,,,,,,Southern Wine & Spirits,CONSTELLATION BRANDS,559984,086003255241,UNSHACKLED PINOT NOIR ,Wine,750ml,12,,ALL,172,160,160,160,4,1,0.8,,,,128.8,10.733333333333334,128.8,10.733333333333334,21.99,19.99,16.96,0.3671383647798742,,,,,,,,,,,,,,,,,,,,,,,19.99,
,New Item,,,,,,,Southern Wine & Spirits,CONSTELLATION BRANDS,685311,086003255210,UNSHACKLED CHARDONNAY 24,Wine,750ml,12,,ALL,160,144,144,160,4,1,0.8,,,,104.8,8.733333333333333,104.8,8.733333333333333,19.99,15.99,13.96,0.3744030563514805,,,,,,,,,,,,,,,,,,,,,,,15.99,
,New Item,,,,,,,Southern Wine & Spirits,CONSTELLATION BRANDS,677891,086003255173,UNSHACKLED SAUVIGNON BLANC 24,Wine,750ml,12,,ALL,160,144,144,160,4,1,0.8,,,,104.8,8.733333333333333,104.8,8.733333333333333,19.99,15.99,13.96,0.3744030563514805,,,,,,,,,,,,,,,,,,,,,,,15.99,
,New Item,,waiting on this,,,,,New France Wine,,Chaput,897097002020,Jacques Chaput NV Brut Champagne,Wine,750ml,12,if we want to DI a pallet it would be $400 a case,All,440,432,432,,,,2.5,,,,434.5,36.208333333333336,434.5,36.208333333333336,54.99,,,0.3415469479299266,,,,New France Wine,ChaputHalf,"Jacque Chaput Brut Tradition_x000D_
", ,All,264,264,266.5,266.5,176,168,168,ChaputHalf,,,,,,,,0
Completed,New Item,,"we special ordered 4 cases (slp 2, mtka 1, rv 1)",,,,,Maverick Wine Company,Michael Corso,IW-MC-BUN-B-ROS-25,015643253560,Bunan B Vin De Pays Du Var Rose 750ml,Wine,750ml,12,,All,160,144,,,,,1.5,,,,145.5,12.125,145.5,12.125,19.99,22.49,18.96,0.36049578059071735,22.490000000000006,18.96,0,Maverick Wine Company,IW-MC-BUN-B-ROS-25,Bunan B Vin De Pays Du Var Rose 750ml,0,All,160,144,145.5,145.5,0,0,0, ,0,"Maverick Beverage Co., LLC - MN",IW-MC-BUN-B-ROS-25,,0,,22.49,0
,New Item,,,,,,,"Bourget Imports, LLC",,12059,850049187046,Mary Taylor Agenais Rose,Wine,750 ml,12,,All,136,120,,,,,1.75,,,,121.75,10.145833333333334,121.75,10.145833333333334,16.99,18.99,15.96,0.36429615705931495,,,,,,,,,,,,,,,,,,,,,,,18.99,
Completed,New Item,,buy 25 to get $120 a case then it holds at 120,,,,,Winebow (Grape Beginnings),Mirabeau,30338991,3760010532744,Mirabeau Forever Summer Rose 750ml,wine,750ml,12,buy 25 cases to get $120,,135,120,126,,,,,,,,120,10,120,10,16.99,17.49,14.96,0.3315508021390375,,,,Winebow (Grape Beginnings),30338991,Mirabeau Forever Summer Rose 750ml,buy 25 cases to get $120,0,135,120,120,120,0,0,0, ,,,,,,,17.49,0
,New Item,,siri tasted and liked,,,,,Winebow (Grape Beginnings),Barnard Griffin,30333372,096925003042,Bernard Griffin Rose of Sangiovese 750ml,wine,750ml,12,,,132,96,,,,,,,,,96,8,96,8,16.99,13.79,11.96,0.33110367892976594,,,,,,,,,,,,,,,,,,,,,,,13.79,
,New Item,,siri tasted and liked,,,,,Winebow (Grape Beginnings),Lorgeril,30340951,3454781520955,Lorgeril O de Rose 750ml,wine,750ml,12,,,168,156,,,,,,,,,156,13,156,13,20.99,23.99,19.96,0.3486973947895792,,,,,,,,,,,,,,,,,,,,,,,23.99,
Completed,New Item,,,,,,,Phillips Wine & Spirits,Trinchero,1029200,196383009645,Joel Gott Light Bubbles Sauv Blanc 750ml,Wine,750 ml,12,20 cases get 3 Cab Sauv & 3 CA PG or PG N/C,Apr-June,180,107.5, ,124.05,20,6,1.1,,,,71.38499999999999,5.9487499999999995,71.38499999999999,5.9487499999999995,22.99,11.49,9.96,0.4027359437751005,,,,Phillips Wine & Spirits,1029200,Joel Gott Light Bubbles Sauv Blanc 750ml,20 cases get 3 Cab Sauv & 3 CA PG or PG N/C,Apr-June,180,107.5,71.38499999999999,71.38499999999999,0,0,0, ,,,,,,,11.49,0
Completed,New Item,,,,,,,Phillips Wine & Spirits,Trinchero,1388839,196383006217,Joel Gott CA Pinot Grigio 750ml,Wine,750 ml,12,20 cases get 3 Cab Sauv & 3 CA PG or PG N/C,Apr-June,180,107.5, ,124.05,20,6,1.1,,,,71.38499999999999,5.9487499999999995,71.38499999999999,5.9487499999999995,22.99,11.49,9.96,0.4027359437751005,,,,Phillips Wine & Spirits,1388839,Joel Gott CA Pinot Grigio 750ml,20 cases get 3 Cab Sauv & 3 CA PG or PG N/C,Apr-June,180,107.5,71.38499999999999,71.38499999999999,0,0,0, ,,,,,,,11.49,0
,,,,,,,,Oxford Street Merchants,Ethica,1428062,850651005110,La Gioiosa Prosecco DOC ,Wine,750 ml,12,1 free on 5,all,160,136, ,136,5,1,1.1,,,,114.43333333333332,9.53611111111111,114.43333333333332,9.53611111111111,19.99,15.99,13.96,0.3168974848774277,18.990000000000002,15.583750000000004,0,Oxford Street Merchants,1428062,La Gioiosa Prosecco DOC ,1 free on 5,all,160,136,114.43333333333332,114.43333333333332,0,0,0,1428062,P2574,Oxford Street Merchants,001428062,,0,La Gioiosa 750ml,15.99,0
