upc,kind,target_wos,week,item
031259004327,weekly,4.5,2026-07-30,Josh Cellars BB Cabernet 750ml
857680001533,weekly,4.5,2026-07-30,High Valley Cabernet Sauvignon
7801222923626,weekly,4.5,2026-07-30,Pacific Sound Carmenere 750ml
012354004290,weekly,4.5,2026-07-30,19 Crimes Cali Red
086003251274,weekly,4.5,2026-07-30,MEIOMI CABERNET SAUVIGNON(SC)
894655001099,weekly,4.5,2026-07-30,90+ Cellars Pinot Noir California
017224760122,weekly,4.5,2026-07-30,Conundrum Red
869382000219,weekly,4.5,2026-07-30,One Flock Red Blend
857744001325,weekly,4.5,2026-07-30,Josh Cellars Chardonnay
400000005959,weekly,4.5,2026-07-30,Libretto Merlot
089121288122,sunday,4.5,2026-07-26,J Lohr Cab Sauv
810879020302,sunday,4.5,2026-07-26,90+ Cellars Chardonnay
