Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Kim Crawford Sauvignon Blanc 750ml,Sauvignon Blanc,Southern Glazer's Wine & Spirits of MN,3001,260.9,11.5,10.77,14.99,12.96,28,,1039,3710,Cottage Grove:25;Ramsey:30;Osseo:42;Bloomington:80;Minnetonka:95;Vadnais Heights:112;Blaine:113;Minneapolis:119;Stillwater:120;Roseville:167;Plymouth:248;Andover:264;Woodbury:264;Chanhassen:376;Rosemount:385;St. Louis Park:561
LaMarca Prosecco 750ml,Sparkling,Johnson Brothers - St. Paul,2362,221.8,10.6,11.82,17.49,14.96,32,,952,2846,Bloomington:23;Ramsey:35;Minnetonka:60;Vadnais Heights:72;Stillwater:83;Chanhassen:135;Andover:149;Blaine:155;Roseville:162;Cottage Grove:183;Plymouth:187;Rosemount:216;Woodbury:258;St. Louis Park:299;Minneapolis:346
90+ Cellars DOC Prosecco Lot 50 750ml,Sparkling,Bellboy Corporation,3614,213.0,17.0,6.86,16.99,13.96,60,,828,3121,Osseo:89;Minnetonka:93;Cottage Grove:116;Stillwater:140;Chanhassen:160;Ramsey:166;Woodbury:173;Minneapolis:226;Vadnais Heights:234;Rosemount:279;Bloomington:280;Andover:283;St. Louis Park:311;Roseville:334;Plymouth:356;Blaine:374
Whitehaven Sauv Blanc 750ml,Sauvignon Blanc,Johnson Brothers - St. Paul,1588,185.1,8.6,12.09,18.99,15.96,36,,820,2261,Osseo:5;Bloomington:13;Ramsey:24;Minneapolis:41;Andover:41;Stillwater:44;Blaine:50;Vadnais Heights:55;Roseville:61;Rosemount:95;Cottage Grove:104;Plymouth:104;Minnetonka:116;Woodbury:217;Chanhassen:228;St. Louis Park:390
The Horologist Sauvignon Blanc NZ 750ml,Sauvignon Blanc,Rue 38 LLC,1450,179.4,8.1,7.62,17.49,14.96,56,,806,2138,Andover:42;Rosemount:44;Minnetonka:56;Stillwater:66;Cottage Grove:66;Woodbury:77;Vadnais Heights:82;Bloomington:83;Ramsey:84;Minneapolis:100;Osseo:105;Chanhassen:107;Plymouth:119;St. Louis Park:130;Blaine:142;Roseville:147
K J Vintner's Chardonnay 750ml,Chardonnay,Phillips Wine & Spirits - St. Paul,332,121.2,2.7,9.64,13.99,11.96,31,,526,1530,Woodbury:2;Minneapolis:3;Roseville:5;Vadnais Heights:6;Ramsey:6;Osseo:10;Minnetonka:12;Chanhassen:12;Rosemount:16;Plymouth:17;Cottage Grove:18;Stillwater:18;Blaine:26;Andover:27;Bloomington:38;St. Louis Park:116
Josh Cellars Cabernet Sauvignon 750ml,Cabernet,Johnson Brothers - St. Paul,481,117.9,4.1,8.32,13.99,11.96,41,,460,1720,Osseo:7;Vadnais Heights:10;Ramsey:12;Rosemount:15;Roseville:17;Minnetonka:20;Woodbury:24;Minneapolis:24;Stillwater:26;Bloomington:28;Cottage Grove:29;Chanhassen:31;Andover:45;Plymouth:59;Blaine:59;St. Louis Park:75
Black Box Pinot Grigio 3L Box,Pinot Grigio/Gris,Johnson Brothers - St. Paul,236,106.1,2.2,12.84,19.99,16.96,36,,452,1377,Ramsey:1;Minnetonka:6;Osseo:7;Minneapolis:8;Roseville:8;Stillwater:8;Woodbury:10;Rosemount:10;Blaine:11;Cottage Grove:14;Vadnais Heights:20;Chanhassen:23;St. Louis Park:31;Plymouth:36;Andover:43
90+ Cellars Vinho Verde 750ml,Other Whites,Bellboy Corporation,1165,94.2,12.4,5.42,12.99,7.96,58,,443,1033,Woodbury:13;Osseo:14;Ramsey:21;Stillwater:24;Minnetonka:24;Cottage Grove:28;Rosemount:49;Plymouth:59;Chanhassen:59;Andover:68;Vadnais Heights:74;Minneapolis:93;Roseville:138;Blaine:149;St. Louis Park:156;Bloomington:196
Black Box Chardonnay 3L Box,Chardonnay,Johnson Brothers - St. Paul,191,91.5,2.1,12.84,19.99,16.96,36,,421,1045,Bloomington:2;Osseo:3;Stillwater:5;Minneapolis:7;Ramsey:8;Rosemount:8;Roseville:9;Blaine:12;Vadnais Heights:15;Plymouth:16;Chanhassen:16;Minnetonka:19;Cottage Grove:22;Andover:24;St. Louis Park:25
Papi Pinot Grigio 750ml,Pinot Grigio/Gris,Paustis Wine,775,89.6,8.7,4.49,11.49,9.96,61,,389,1129,Minnetonka:9;Stillwater:10;Chanhassen:16;Rosemount:21;Osseo:23;Ramsey:23;Roseville:26;Vadnais Heights:27;Plymouth:28;Woodbury:34;Cottage Grove:50;Bloomington:59;Andover:66;Minneapolis:99;St. Louis Park:101;Blaine:183
Black Box Cab Sauv 3L Box,Cabernet,Johnson Brothers - St. Paul,236,86.6,2.7,12.84,19.99,16.96,36,,384,1057,Bloomington:5;Osseo:8;Ramsey:10;Woodbury:10;Blaine:11;Chanhassen:12;Minneapolis:13;Vadnais Heights:13;Roseville:13;Stillwater:15;Minnetonka:16;Rosemount:16;Cottage Grove:20;Andover:20;Plymouth:22;St. Louis Park:32
90+ Cellars Sauvignon Blanc Marlborough 750ml,Sauvignon Blanc,Bellboy Corporation,1175,81.7,14.4,6.57,15.99,12.96,59,,375,939,Minnetonka:17;Osseo:18;Cottage Grove:19;Stillwater:20;Plymouth:27;Ramsey:51;Woodbury:52;Rosemount:54;Roseville:58;Vadnais Heights:65;Andover:66;Minneapolis:70;Bloomington:79;St. Louis Park:152;Blaine:156;Chanhassen:271
Black Box Sauvignon Blanc 3L Box,Sauvignon Blanc,Johnson Brothers - St. Paul,170,80.1,2.1,12.84,19.99,16.96,36,,347,1012,Blaine:1;Ramsey:4;Bloomington:5;Minnetonka:5;Osseo:6;Cottage Grove:8;Minneapolis:8;Roseville:9;Woodbury:9;Vadnais Heights:11;Stillwater:12;Chanhassen:12;Andover:13;Plymouth:14;Rosemount:18;St. Louis Park:35
Josh Cellars Chardonnay 750ml,Chardonnay,Johnson Brothers - St. Paul,330,79.3,4.2,6.43,11.99,9.96,46,,360,928,Stillwater:8;Blaine:8;Vadnais Heights:9;Ramsey:11;Rosemount:11;Minneapolis:12;Minnetonka:13;Osseo:15;Cottage Grove:18;Chanhassen:18;Andover:19;St. Louis Park:23;Plymouth:24;Woodbury:30;Bloomington:45;Roseville:66
90+ Cellars Rose 750ml,Rose,Bellboy Corporation,1536,77.4,19.8,6.7,15.99,12.96,58,,362,859,Osseo:24;Ramsey:30;Minnetonka:33;Stillwater:38;Andover:55;Rosemount:58;Woodbury:60;Cottage Grove:63;Vadnais Heights:64;Minneapolis:64;Blaine:120;Plymouth:134;Chanhassen:142;Bloomington:198;Roseville:218;St. Louis Park:235
90+ Cellars DOC Prosecco Lot 50 (single) 187ml,Sparkling,Bellboy Corporation,0,75.9,0.0,2.69,5.99,4.96,55,,242,1351,
Papi Sauvignon Blanc 750ml,Sauvignon Blanc,Paustis Wine,445,72.5,6.1,4.49,11.49,9.96,61,,303,966,Stillwater:6;Ramsey:9;Roseville:9;Vadnais Heights:13;Minnetonka:17;Chanhassen:18;Rosemount:18;Andover:24;Plymouth:24;Woodbury:26;St. Louis Park:32;Cottage Grove:35;Bloomington:41;Minneapolis:50;Blaine:123
Bota Box Sauvignon Blanc 3L Box,Sauvignon Blanc,Phillips Wine & Spirits - St. Paul,107,70.3,1.5,13.4,19.99,16.96,33,,317,834,Cottage Grove:1;Chanhassen:1;Osseo:3;Minnetonka:4;Stillwater:6;Ramsey:7;Blaine:8;Vadnais Heights:9;Woodbury:9;Roseville:10;Plymouth:10;St. Louis Park:11;Andover:14;Minneapolis:14
Sainte-Anne Syrah Rose 750ml,Rose,"Bourget Imports, LLC",490,69.0,7.1,6.08,14.99,12.96,59,,291,909,Minnetonka:6;Woodbury:7;Bloomington:10;Vadnais Heights:11;Plymouth:13;Andover:14;Cottage Grove:18;Stillwater:18;Rosemount:27;Ramsey:28;Minneapolis:35;St. Louis Park:44;Blaine:55;Roseville:71;Chanhassen:133
Bota Box Pinot Grigio 3L Box,Pinot Grigio/Gris,Phillips Wine & Spirits - St. Paul,93,65.0,1.4,13.4,19.99,16.96,33,,292,774,Rosemount:1;Woodbury:2;Stillwater:2;Minneapolis:2;Minnetonka:3;Blaine:4;Cottage Grove:4;St. Louis Park:7;Chanhassen:7;Osseo:8;Plymouth:8;Ramsey:10;Vadnais Heights:10;Roseville:11;Andover:14
