Source,Product Code,Description,Supplier,Location,Ref #,Status,Cases Ordered,Cases Received,Case Discrepancy,Dept,Category,Notes,Line Notes,Date Created
Receiving,842094109418,For You Botanical Single Bottle Wine Bag by Cakewalk,"True Brands, Inc.",Rosemount,1034559,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094109449,Garden Party Assorted Wine Bags Cakewalk,"True Brands, Inc.",Minnetonka,1034523,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094109456,No-Mess Glitter Bow Assorted Wine Bag by Cakewalk,"True Brands, Inc.",Minnetonka,1034523,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094116423,Boho Cheers Single Bottle Wine Bag Cakewalk,"True Brands, Inc.",Minnetonka,1034523,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094150915,20 Red Shot Glasses,"True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094153343,"Long Bamboo Appetizer Picks 7""","True Brands, Inc.",Rosemount,1034559,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094171217,"16 oz Red Party Cups, 50 pack by True","True Brands, Inc.",Minneapolis,1034512,Receiving,14.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094181766,2 oz plastic shot glasses,"True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094181766,2 oz plastic shot glasses,"True Brands, Inc.",Rosemount,1034559,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,842094181766,2 oz plastic shot glasses,"True Brands, Inc.",Chanhassen,1034490,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718007705,Sommelier Waiter's Corkscrew,"True Brands, Inc.",Minnetonka,1034523,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718020360,Sommelier: Waiter's Corkscrew,"True Brands, Inc.",Plymouth,1034540,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718021893,Maraca Plastic Recipe Shaker In Box,"True Brands, Inc.",Plymouth,1034540,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718022524,Cone Silicone Bottle Stoppers,"True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718025310,Wine Stain Gift Bag,"True Brands, Inc.",Chanhassen,1034490,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718028816,Bash Basic Muddler,"True Brands, Inc.",Chanhassen,1034490,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718030413,Shoot Ping Pong Balls,"True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718030420,"16 oz Red Party Cups, 24 pack by True","True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718032745,Assorted Retro Drinking Icon Wine Bags,"True Brands, Inc.",Chanhassen,1034490,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718039331,Truly Tiki Assorted Wine Bag Cakewalk,"True Brands, Inc.",Minnetonka,1034523,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718047664,Colorful Cheers Wine Bag by Cakewalk,"True Brands, Inc.",Rosemount,1034559,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718048074,Shotski Classic Shot Glass by True,"True Brands, Inc.",Rosemount,1034559,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,876718048074,Shotski Classic Shot Glass by True,"True Brands, Inc.",Minneapolis,1034512,Receiving,1.0,,,Miscellaneous,Accessories,,,2026-09-14T00:00:00
Receiving,031259009469,Yellow Tail Cab Sauvignon 1.5L,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,0.0,-1.0,Wine,Cabernet,,,2026-09-14T00:00:00
Receiving,081434000033,Black Box Cab Sauv 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Cabernet,,,2026-09-14T00:00:00
Receiving,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,0.0,-1.0,Wine,Cabernet,,bo,2026-09-14T00:00:00
Receiving,853868006703,Pavette Cabernet Sauvignon 750ml,Libation Project,Minnetonka,1034521,Receiving,1.0,,,Wine,Cabernet,Store Request,,2026-09-14T00:00:00
Receiving,857680001533,High Valley Cabernet Sauvignon 750ml,Paustis Wine,Minneapolis,1034503,Receiving,1.0,,,Wine,Cabernet,Buyer's Select,,2026-09-14T00:00:00
Receiving,857744001318,Josh Cellars Cabernet Sauvignon 750ml,Johnson Brothers - St. Paul,Minnetonka,1034516,Receiving,1.0,1.0,0.0,Wine,Cabernet,,,2026-09-14T00:00:00
Receiving,081434000040,Black Box Chardonnay 3L Box,Johnson Brothers - St. Paul,Minnetonka,1034516,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,081434000040,Black Box Chardonnay 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,2.0,2.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,081584013105,K J Vintner's Chardonnay 750ml,Phillips Wine & Spirits - St. Paul,Bloomington,1034480,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,082242011051,Bota Box Chardonnay 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,083120102090,Franzia Chardonnay 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,1.0,,,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,08500627,Sutter Home Chardonnay 187ml,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,087872632218,Stella Rosa Peach 750ml,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Minneapolis,1034502,Receiving,1.0,,,Wine,Flavored,,,2026-09-14T00:00:00
Receiving,763955016006,XXL Strawberry 750ml,Paustis Wine,Minneapolis,1034509,Receiving,1.0,,,Wine,Flavored,,,2026-09-14T00:00:00
Receiving,853936007984,Papi White Peach Sangria 750ml,Paustis Wine,Minneapolis,1034208-9.14.26,Receiving,1.0,,,Wine,Flavored,Buyer's Select,,2026-09-07T00:00:00
Receiving,094799050032,Blandy's Sercial Madeira 5yr 750ml,"Grape Beginnings, Inc.",Roseville,1034276-9.14.26,Receiving,0.5,0.5,0.0,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,094799050063,Blandy's Verdelho Madeira 5yr 750ml,"Grape Beginnings, Inc.",Plymouth,1034243-9.14.26,Receiving,0.5,,,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,094799050063,Blandy's Verdelho Madeira 5yr 750ml,"Grape Beginnings, Inc.",Roseville,1034276-9.14.26,Receiving,0.5,0.5,0.0,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,605779976251,Jinro Strawberry 375ml,Johnson Brothers - St. Paul,Bloomington,1033221-9.14.26,Receiving,1.0,0.0,-1.0,Wine,Fortified,Month End,MI,2026-08-24T00:00:00
Receiving,8801100130978,Good Day Lychee Soju 375ml,"Vinocopia, Inc",Minneapolis,1034513,Receiving,1.0,1.0,0.0,Wine,Fortified,,,2026-09-14T00:00:00
Receiving,8809018211796,Han Jan Strawberry 375ml,"Vinocopia, Inc",Minneapolis,1034513,Receiving,1.0,1.0,0.0,Wine,Fortified,,,2026-09-14T00:00:00
Receiving,083120003021,Franzia Moscato 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,2.0,,,Wine,Other Whites,,,2026-09-14T00:00:00
Receiving,083120003540,Franzia Pink Moscato 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,3.0,,,Wine,Other Whites,,,2026-09-14T00:00:00
Receiving,081434000224,Black Box Pinot Grigio 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,082242016780,Bota Box Breeze Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,083120100393,Franzia Pinot Grigio 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,3.0,,,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,083120100393,Franzia Pinot Grigio 5L Box,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,085000034507,Black Box Brilliant Pinot Grigio 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,082242012362,Bota Box Pinot Noir 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,083648000182,Pike Road Willamette Valley Pinot Noir 750ml,"New France Wine Co, Inc",Stillwater,1034595,Receiving,1.0,,,Wine,Pinot Noir,,,2026-09-14T00:00:00
