Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,Bellboy Corporation,90+ Cellars Rose 750ml,894655001518,-2,-0.4,2,24,6.59,158.0
Andover,Bellboy Corporation,90+ Cellars Prosecco Rose (3pk) 187ml,810879023655,0,0.0,1,8,9.1,73.0
Andover,Bellboy Corporation,90+ Cellars DOC Prosecco Lot 50 (3 pk) 187ml,810879020647,0,0.0,1,8,8.07,65.0
Andover,Bellboy Corporation,Contessa Silver Sky Rose 750ml,792468203030,0,0.0,1,12,6.84,82.0
Andover,Bellboy Corporation,90+ Cellars Willamette Valley Pinot Gris Lot 237 750ml,810204640885,0,0.0,1,12,6.83,82.0
Andover,Bellboy Corporation,90+ Cellars Russian River Chardonnay Lot 130 750ml,810879020593,0,0.0,1,12,8.71,104.0
Andover,Bellboy Corporation,Ironside Cabernet 750ml,810879020135,0,0.0,1,12,6.08,73.0
Andover,Bellboy Corporation,90+ Cellars DOC Prosecco Lot 50 (single) 187ml,810879020630,0,0.0,1,24,2.69,65.0
Andover,Bellboy Corporation,Ironside Chardonnay 750ml,810879024911,2,1.1,1,12,7.98,96.0
Andover,Bellboy Corporation,90+ Cellars Sauvignon Blanc Marlborough 750ml,894655001037,25,3.6,1,12,6.49,78.0
Andover,Bellboy Corporation,90+ Cellars Vinho Verde 750ml,810879022320,29,3.7,1,12,5.33,64.0
Andover,Bellboy Corporation,90+ Cellars Pinot Noir California 750ml,894655001099,21,3.8,1,12,6.5,78.0
Andover,"Bourget Imports, LLC",Le Tuffeau Vouvray,185961000983,0,0.0,1,12,7.86,94.0
Andover,"Bourget Imports, LLC",Pacific Sound Carmenere 750ml,7801222923626,0,0.0,1,12,4.99,60.0
Andover,"Bourget Imports, LLC",Sainte-Anne Chardonnay 750ml,638729001000,0,0.0,2,24,5.81,139.0
Andover,"Bourget Imports, LLC",Sainte-Anne Sauvignon Blanc 750ml,638729001024,17,2.6,1,12,6.05,73.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",St. Francis Chard 750ml,088534001441,0,0.0,1,12,10.8,130.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",J Lohr Chardonnay 750ml,089121068823,7,2.7,1,12,9.33,112.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",J Lohr Cabernet Sauvignon 750ml,089121288122,3,3.2,1,12,12.9,155.0
Andover,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Matua Valley Sauv Blanc 750ml,089819158027,13,3.7,1,12,8.47,102.0
Andover,"Grape Beginnings, Inc.",Austin Hope Cab Sauv 750ml,657891715591,-1,-2.1,1,12,47.14,566.0
Andover,"Grape Beginnings, Inc.",Board Track Racer The Chief 750ml,850518006021,0,0.0,1,12,20.0,240.0
Andover,"Grape Beginnings, Inc.",Brown Estate House of Brown Chardonnay 750ml,855690005336,0,0.0,1,12,11.02,132.0
Andover,"Grape Beginnings, Inc.",Liberty School Reserve Cab Sauv 750ml,657891720205,1,1.4,1,12,18.42,221.0
Andover,"Grape Beginnings, Inc.",Mirabeau Forever Summer Rose 750ml,3760010532744,4,3.4,1,12,10.0,120.0
Andover,Johnson Brothers - St. Paul,Liberty Creek Merlot 1.5L,085000011287,0,0.0,1,6,8.0,48.0
Andover,Johnson Brothers - St. Paul,Liberty Creek Pinot Grigio 1.5L,085000018392,0,0.0,1,6,5.69,34.0
Andover,Johnson Brothers - St. Paul,Barefoot Rose 3L Box,085000028544,0,0.0,1,6,13.16,79.0
Andover,Johnson Brothers - St. Paul,Black Box Brilliant Cabernet 3L Box,085000034514,0,0.0,1,6,12.85,77.0
Andover,Johnson Brothers - St. Paul,Black Box Brilliant Pinot Grigio 3L Box,085000034507,0,0.0,2,12,11.86,142.0
Andover,Johnson Brothers - St. Paul,Three Finger Jack Cab Sauv 750ml,082242014847,0,0.0,1,12,11.31,136.0
Andover,Johnson Brothers - St. Paul,Apothic Chardonnay 750ml,085000035405,0,0.0,1,12,7.69,92.0
Andover,Johnson Brothers - St. Paul,J Vineyards RR Valley Chardonnay 750ml,724624118018,0,0.0,1,12,22.48,270.0
Andover,Johnson Brothers - St. Paul,Dark Horse Sauvignon Blanc 750ml,085000022924,0,0.0,1,12,5.59,67.0
Andover,Johnson Brothers - St. Paul,Viarae Prosecco 750ml,085000037003,0,0.0,1,12,13.33,160.0
Andover,Johnson Brothers - St. Paul,Dark Horse Pinot Grigio 750ml,085000025284,0,0.0,1,12,4.63,56.0
Andover,Johnson Brothers - St. Paul,Jinro Strawberry 375ml,605779976251,0,0.0,1,20,3.18,64.0
Andover,Johnson Brothers - St. Paul,LaMarca Prosecco Rose 187ml,085000034705,0,0.0,1,24,4.57,110.0
Andover,Johnson Brothers - St. Paul,Apothic Inferno 750ml,085000024904,1,0.7,1,12,8.51,102.0
Andover,Johnson Brothers - St. Paul,Dark Horse Buttery Chardonnay 750ml,085000031223,1,0.7,1,12,5.58,67.0
Andover,Johnson Brothers - St. Paul,Coppola Diamond Cabernet Sauvignon 750ml,739958064801,4,0.8,2,24,11.23,269.0
Andover,Johnson Brothers - St. Paul,Barefoot Chardonnay 3L Box,085000026090,1,1.1,1,6,13.82,83.0
Andover,Johnson Brothers - St. Paul,Black Box Deep Dark Cabernet 3L Box,085000034552,3,1.3,2,12,15.48,186.0
Andover,Johnson Brothers - St. Paul,Yes Way Rose 750ml,084279002156,4,1.3,1,12,7.92,95.0
Andover,Johnson Brothers - St. Paul,Peter Vella Moscato Sangria 5L Box,085000024225,4,1.4,2,8,11.33,91.0
Andover,Johnson Brothers - St. Paul,Ecco Domani Pinot Grigio 750ml,085000008430,8,1.6,2,24,8.02,192.0
Andover,Johnson Brothers - St. Paul,Black Box Chardonnay 3L Box,081434000040,14,1.7,4,24,11.05,265.0
Andover,Johnson Brothers - St. Paul,Peter Vella Pink Moscato Sangria 5L Box,085000027066,3,2.1,1,4,11.29,45.0
Andover,Johnson Brothers - St. Paul,Barefoot Red Moscato 1.5L,085000020289,2,2.1,1,6,7.78,47.0
Andover,Johnson Brothers - St. Paul,Black Box Merlot 3L Box,081434000026,9,2.1,2,12,12.87,154.0
Andover,Johnson Brothers - St. Paul,Black Box Sauvignon Blanc 3L Box,082100738397,15,2.1,3,18,22.38,403.0
Andover,Johnson Brothers - St. Paul,Black Box Pinot Grigio 3L Box,081434000224,33,2.2,5,30,16.32,490.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Pinot Grigio 750ml,031259001456,24,2.2,2,24,8.91,214.0
Andover,Johnson Brothers - St. Paul,Andre Brut 750ml,085000007433,7,2.3,1,12,5.26,63.0
Andover,Johnson Brothers - St. Paul,Black Box Red Elegance 3L Box,081434700193,11,2.4,2,12,15.8,190.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Seaswept White Blend 750ml,031259005348,9,2.4,1,12,8.91,107.0
Andover,Johnson Brothers - St. Paul,Coppola Diamond Pinot Noir 750ml,739958014509,11,2.4,1,12,11.99,144.0
Andover,Johnson Brothers - St. Paul,Black Box Cab Sauv 3L Box,081434000033,28,2.7,3,18,12.17,219.0
Andover,Johnson Brothers - St. Paul,Josh Cellars Zinfandel 750ml,031259049229,2,2.9,1,12,10.29,123.0
Andover,Johnson Brothers - St. Paul,Black Box Buttery Chardonnay 3L Box,085000033371,9,3.0,1,6,13.49,81.0
Andover,Johnson Brothers - St. Paul,Barefoot Pinot Grigio Tetra 500ml,085000028414,5,3.1,1,12,3.0,36.0
Andover,Johnson Brothers - St. Paul,Barefoot Merlot 750ml,018341751109,8,3.4,1,12,4.41,53.0
Andover,Johnson Brothers - St. Paul,Black Box Pinot Grigio 500ml,081434700209,17,3.5,1,12,3.33,40.0
Andover,Johnson Brothers - St. Paul,Nobilo Sauv Blanc 750ml,081434315304,5,3.6,1,12,7.34,88.0
Andover,Johnson Brothers - St. Paul,Relax Riesling 750ml,088474022407,40,3.6,1,12,7.02,84.0
Andover,Johnson Brothers - St. Paul,Barefoot Pink Moscato 1.5L,085000020609,6,3.7,1,6,7.73,46.0
Andover,Libation Project,Kuranui Sauvignon Blanc 750ml,604331008386,0,0.0,1,12,8.06,97.0
Andover,Libation Project,Piazza Grande Lambrusco Spuman 750ml,854657002937,0,0.0,1,12,9.3,112.0
Andover,"Maverick Beverage Co., LLC - MN",Les Allies Pinot Noir 750ml,763955412297,4,2.1,1,12,7.51,90.0
Andover,"Maverick Beverage Co., LLC - MN",Riley's Lookout Sauvignon Blanc 750ml,9419453000313,3,2.6,1,12,8.67,104.0
Andover,"New France Wine Co, Inc",The Hilt Estate Pinot Noir 750ml,816068010246,1,2.1,1,12,27.56,331.0
Andover,Oxford Street Merchants,Quilt Reserve Cabernet Sauvignon 750ml,859889006111,0,0.0,1,6,71.92,432.0
Andover,Oxford Street Merchants,StoneStreet Cabernet 750ml,737038001500,0,0.0,1,6,30.35,182.0
Andover,Oxford Street Merchants,Roederer Estate Brut 750ml,097546102008,0,0.0,1,12,18.99,228.0
Andover,Oxford Street Merchants,Raeburn Chardonnay 750ml,851718000970,0,0.0,1,12,10.7,128.0
Andover,Oxford Street Merchants,Portlandia Cabernet 750ml,182442000487,1,0.7,1,12,11.07,133.0
Andover,Oxford Street Merchants,Pizzolato Muse Moscato 750ml,185554000963,1,1.1,1,12,9.54,114.0
Andover,Oxford Street Merchants,Pizzolato Muse Prosecco 187ml,185554000000,2,1.2,1,24,3.38,81.0
Andover,Oxford Street Merchants,Nave Sur Verdejo Rueda,8414219019807,1,2.1,1,12,5.33,64.0
Andover,Oxford Street Merchants,Angeline Pinot Noir 750ml,729722700127,24,2.8,1,12,4.59,55.0
Andover,Oxford Street Merchants,Piper Heidsieck Brut 750ml,667505000470,2,2.9,1,6,37.33,224.0
Andover,Oxford Street Merchants,Risata Moscato d'Asti 187ml,084279002507,2,2.9,1,24,2.82,68.0
Andover,Oxford Street Merchants,Risata Red Moscato 750ml,084279999951,3,3.2,1,12,11.03,132.0
