upc,store,cases,description,vendor
643459380028,Andover,6,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Andover,5,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Andover,6,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Andover,5,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Andover,5,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Andover,6,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Andover,5,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Andover,4,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Andover,5,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Andover,4,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Andover,6,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Andover,4,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Andover,6,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Andover,4,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Blaine,6,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Blaine,5,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Blaine,6,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Blaine,4,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Blaine,5,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Blaine,6,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Blaine,4,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Blaine,6,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Blaine,6,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Blaine,4,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Blaine,5,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Blaine,4,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Blaine,5,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Blaine,5,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Bloomington,4,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Bloomington,3,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Bloomington,4,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Bloomington,3,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Bloomington,3,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Bloomington,4,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Bloomington,2,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Bloomington,3,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Bloomington,3,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Bloomington,2,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Bloomington,4,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Bloomington,2,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Bloomington,4,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Bloomington,2,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Chanhassen,4,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
