Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Andover,1033777,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Blaine,1033784,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Bloomington,1033792,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Cottage Grove,1033807,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Plymouth,1033854,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Rosemount,1033872,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Roseville,1033881,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Vadnais Heights,1033910,700073100361,Prohibition Margarita Mix 32 oz.,62085119,12,1.0,72.0,72.0,
Vadnais Heights,1033916,714439500276,Cry Baby Craig's Hot Sauce 5oz,CBC140,12,1.0,51.0,51.0,Store Request
Blaine,1033784,724129573282,Prohibition Blood Orange Margarita 32 oz.,62107536,12,1.0,72.0,72.0,
Roseville,1033881,724129573282,Prohibition Blood Orange Margarita 32 oz.,62107536,12,1.0,72.0,72.0,
Andover,1033777,724129573299,Prohibition Spicy Margarita 32 oz.,62135736,12,1.0,72.0,72.0,
Blaine,1033784,724129573299,Prohibition Spicy Margarita 32 oz.,62135736,12,1.0,72.0,72.0,
Cottage Grove,1033807,724129573299,Prohibition Spicy Margarita 32 oz.,62135736,12,1.0,72.0,72.0,
Rosemount,1033872,724129573299,Prohibition Spicy Margarita 32 oz.,62135736,12,1.0,72.0,72.0,
Vadnais Heights,1033910,724129573299,Prohibition Spicy Margarita 32 oz.,62135736,12,1.0,72.0,72.0,
