Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Stillwater,1031046,014800513240,Clamato Tomato Cocktail 32oz,MIXMCL,12,1.0,47.25,47.25,
Stillwater,1031046,014800516470,Clamato Tomato Cocktail 64oz,MIXMCHG,8,1.0,47.98,47.98,
Blaine,1030800,01667436,Roses Grenadine 12oz,mixrg12,6,1.0,22.4,22.4,
Blaine,1030800,080432586174,Redbreast 12 Yr 750ml,8359514,6,1.0,295.0,295.0,
Blaine,1030800,080480016210,Bacardi Superior Light Rum 50ml,7866638,120,1.0,66.0,66.0,
Blaine,1030800,080480230005,Dewar's White Label Scotch 1.75L,8065919,6,1.0,148.95,148.95,
Blaine,1030800,081753837822,Belvedere Vodka Organic 750ml,8581624,6,1.0,144.0,144.0,
Blaine,1030800,08200501,Smirnoff Vodka Liter,8572725,12,1.0,153.0,153.0,
Stillwater,1031062,084105307509,Fernet-Branca 750ml,7664704,6,1.0,172.85,172.85,Store Request
Stillwater,1031046,08727707,Captain Morgan Spiced Rum 375ml,7868312,24,1.0,170.0,170.0,
Blaine,1030802,088004069155,Fireball Blazin' Apple 50ml,8366118,120,2.0,78.95,0.0,Bellboy July Month End
Blaine,1030801,088004144708,Fireball Whisky 50ml,8366108,120,3.0,0.0,0.0,Bellboy July Free Goods
Stillwater,1031047,088076161863,Ciroc Vodka 750ml,8584224,12,1.0,250.0,250.0,Bellboy July Month End
Blaine,1030802,088076177406,Ciroc Peach Vodka 750ml,8584354,12,1.0,250.0,0.0,Bellboy July Month End
Blaine,1030802,088076179080,Ciroc Pineapple 750ml,8584404,12,1.0,250.0,250.0,Bellboy July Month End
Stillwater,1031046,088110110406,Tanqueray Gin Liter,7273415,12,1.0,231.0,231.0,
Blaine,1030800,096749002245,Henry McKenna Bourbon 750ml,8393314,12,1.0,97.5,97.5,
Blaine,1030800,197644697847,Tonka Vodka 50ml,8563008,60,1.0,40.0,40.0,
Blaine,1030801,695521103011,Citadelle Gin 750ml,7268414,6,1.0,0.0,0.0,Bellboy July Free Goods
Stillwater,1031047,695521103011,Citadelle Gin 750ml,7268414,6,1.0,124.0,124.0,Bellboy July Month End
Blaine,1030802,695521151586,Plantation 3 Stars Silver Liter,7872715,6,1.0,101.0,101.0,Bellboy July Month End
Blaine,1030802,721059707510,Espolon Reposado Tequila 750ml,8440184,12,1.0,270.0,270.0,Bellboy July Month End
Stillwater,1031047,721059707510,Espolon Reposado Tequila 750ml,8440184,12,1.0,270.0,270.0,Bellboy July Month End
Blaine,1030714,811194034913,Smokiez Jamberry THC 10 pack,9921025,12,1.0,66.0,66.0,
Blaine,1030714,840006315834,Two Scoops Variety Pack 12pk 12oz can,9917132,2,1.0,62.0,62.0,
Blaine,1030800,852546003096,Tonka Vodka 1.75L,8563009,6,1.0,90.0,90.0,
Blaine,1030800,855439000738,Rokz Bloody Mary Salt 4oz,7204,6,1.0,22.75,22.75,
Blaine,1030714,860006677671,Minny Grown BlueBeary 10 Pack,9912095,12,1.0,96.0,96.0,
Blaine,1030714,860009438040,Minny Grown Highbernate 5mg THC 10 Pack,9912145,12,1.0,96.0,96.0,
Blaine,1030714,860009438088,Minny Grown Minny Apple 10 Pack,9912105,12,1.0,96.0,96.0,
Stillwater,1030727,860009899339,Minny Grown Minnarita 4pk 12oz can,9911042,6,2.0,66.0,132.0,
Stillwater,1030727,860009899346,Minny Grown Lemon Drop-let's 4pk 12oz can,9911032,6,1.0,66.0,66.0,
Blaine,1030714,860009899360,Minny Grown St. Croix Sunrise 10 Pack,9912025,12,1.0,96.0,96.0,
Blaine,1030714,860010316481,Minny Grown St. Croix Sunrise Yummy Gummy Bar 50mg THC,9912265,12,1.0,72.0,72.0,
Blaine,1030714,860014148880,Brez Extra Black Cherry 10mg THC 4pk 12oz can,9919062,6,10.0,73.0,3650.01,
Blaine2,1030715,860014148880,Brez Extra Black Cherry 10mg THC 4pk 12oz can,9919062,6,50.0,73.0,3650.01,
Stillwater,1030727,860014148880,Brez Extra Black Cherry 10mg THC 4pk 12oz can,9919062,6,3.0,73.0,219.0,
