Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Chanhassen,1030381,8001487001100,Sta Maria La Palma Aragosta Vermentino,3607339898,12,1.0,136.0,136.0,
Blaine,1030359,851241002809,Ricossa Barbera 750ml,WS-Ricossa Barbera,12,1.0,132.0,132.0,Buyer's Select
Blaine,1030359,851241002847,Ricossa Barbera Apassamento 750ml,WS-Ricossa Apassamento,12,1.0,148.0,148.0,Buyer's Select
Woodbury,1030521,851241002847,Ricossa Barbera Apassamento 750ml,WS-Ricossa Apassamento,12,1.0,148.0,148.0,Buyer's Select
Andover,1030345,851241002946,Ricossa Moscato d'Asti 750ml,WS- Ricossa Moscato,12,1.0,128.0,128.0,Buyer's Select
Blaine,1030359,851241002946,Ricossa Moscato d'Asti 750ml,WS- Ricossa Moscato,12,2.0,128.0,256.0,Buyer's Select
Minneapolis,1030403,851241002946,Ricossa Moscato d'Asti 750ml,WS- Ricossa Moscato,12,1.0,128.0,128.0,Buyer's Select
Rosemount,1030453,851241002946,Ricossa Moscato d'Asti 750ml,WS- Ricossa Moscato,12,1.0,128.0,128.0,Buyer's Select
Vadnais Heights,1030510,851241002946,Ricossa Moscato d'Asti 750ml,WS- Ricossa Moscato,12,1.0,128.0,128.0,Buyer's Select
Andover,1030345,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,5.0,148.0,740.0,Buyer's Select
Blaine,1030359,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,2.0,148.0,296.0,Buyer's Select
Chanhassen,1030384,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,2.0,148.0,296.0,Buyer's Select
Osseo,1030425,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
Ramsey,1030444,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
Roseville,1030463,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
St. Louis Park,1030489,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
Stillwater,1030502,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
Vadnais Heights,1030510,851241003042,Ricossa Gavi 750ml,WS-Ricossa Gavi,12,1.0,148.0,148.0,Buyer's Select
Chanhassen,1030384,851241003233,Ricossa Langhe Nebbiolo 750ml,WS-Ricossa Langhe Nebbiolo,12,1.0,168.0,168.0,Buyer's Select
Plymouth,1030433,851241003233,Ricossa Langhe Nebbiolo 750ml,WS-Ricossa Langhe Nebbiolo,12,1.0,168.0,168.0,Buyer's Select
