Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Rosemount,1032679,012354000995,19 Crimes Red Wine 750ml,9158771,12,1.0,80.0,80.0,
Woodbury,1032741,012354001930,19 Crimes The Uprising 750ml,9258871,12,1.0,80.0,80.0,
Osseo,1032653,012354001947,19 Crimes Hard Chardonnay 750ml,9261038,12,1.0,80.0,80.0,
Roseville,1032693,012354001947,19 Crimes Hard Chardonnay 750ml,9261038,12,1.0,80.0,80.0,
Andover,1032421,016600000739,Roses Sweetened Lime Liter,9004797,12,1.0,75.92,75.92,Store Request
Blaine,1032427,016600000739,Roses Sweetened Lime Liter,9004797,12,1.0,75.92,75.92,
Woodbury,1032574,016600000739,Roses Sweetened Lime Liter,9004797,12,1.0,75.92,75.92,
Blaine,1032427,048415000109,Wiser's Deluxe Canadian Whisky 1.75L,9020274,6,1.0,134.95,134.95,
Rosemount,1032510,083664112210,Balvenie 12 Yr Doublewood Scotch 750ml,9001629,12,1.0,668.0,0.0,
Cottage Grove,1032456,083664868735,Sailor Jerry Spiced Rum 1.75L,9001703,6,1.0,112.5,112.5,
Blaine,1032427,083664868780,Hendrick's Gin Liter,9001723,6,1.0,189.0,189.0,
Roseville,1032525,083664868780,Hendrick's Gin Liter,9001723,6,1.0,189.0,189.0,
St. Louis Park,1032543,083664868780,Hendrick's Gin Liter,9001723,6,1.0,189.0,189.0,
Plymouth,1032489,083664868940,Milagro Reposado Tequila 750ml,9001701,6,1.0,107.0,107.0,
Woodbury,1032574,083664868940,Milagro Reposado Tequila 750ml,9001701,6,1.0,107.0,107.0,
Rosemount,1032519,083664869725,Reyka Vodka 1.75L,9019698,6,1.0,157.5,157.5,Store Request
Plymouth,1032489,083664869756,Hendrick's Gin 1.75L,9070208,6,1.0,270.0,270.0,
Roseville,1032525,083664869756,Hendrick's Gin 1.75L,9070208,6,1.0,270.0,270.0,
Blaine,1032427,083664990436,Hendrick's Gin 750ml,9018599,6,1.0,148.5,148.5,
Roseville,1032534,083664990436,Hendrick's Gin 750ml,9018599,6,2.0,148.5,297.0,Store Request
St. Louis Park,1032543,083664990436,Hendrick's Gin 750ml,9018599,6,1.0,148.5,148.5,
St. Louis Park,1032708,085798028726,Alexander Valley Vineyards Cab Sauv 750ml,1207349,12,1.0,184.0,184.0,
Woodbury,1032574,086024007874,Margaritaville Silver Tequila 50ml,9675758,120,1.0,40.6,40.6,
Andover,1032583,086785750613,Callia Bella Syrah Malbec 750ml,9736192,12,1.0,112.0,112.0,
Minneapolis,1032637,087872630122,Stella Rosa Moscato D'Asti 750ml,9746655,12,1.0,104.0,104.0,
Blaine,1032595,087872630139,Stella Rosa Rosso 750ml,9747142,12,1.0,104.0,104.0,
Cottage Grove,1032625,087872630931,Stella Rosa Blueberry 750ml,9746454,12,1.0,104.0,104.0,
Woodbury,1032741,087872632218,Stella Rosa Peach 750ml,9746737,12,1.0,104.0,104.0,
Minneapolis,1032637,087872632225,Stella Rosa Berry 750ml,9746336,12,1.0,104.0,104.0,
Minneapolis,1032637,087872633369,Stella Rosa Black 750ml,9746390,12,1.0,104.0,104.0,
Blaine,1032427,088004000073,Taaka Vodka 375ml,9031610,24,1.0,57.94,57.94,
Roseville,1032525,088004000073,Taaka Vodka 375ml,9031610,24,1.0,57.94,57.94,
Blaine,1032427,08800400033,Rich & Rare Canadian Whiskey 1.75L,9220008,6,1.0,58.5,58.5,
Cottage Grove,1032456,088004009281,Fireball Whisky 1.75L,9148530,6,1.0,108.0,108.0,
Osseo,1032482,088004009281,Fireball Whisky 1.75L,9148530,6,2.0,108.0,216.0,
Plymouth,1032489,088004009281,Fireball Whisky 1.75L,9148530,6,1.0,108.0,108.0,
St. Louis Park,1032543,088004009281,Fireball Whisky 1.75L,9148530,6,1.0,108.0,108.0,
Stillwater,1032555,088004009281,Fireball Whisky 1.75L,9148530,6,1.0,108.0,0.0,
Woodbury,1032574,088004009281,Fireball Whisky 1.75L,9148530,6,1.0,108.0,108.0,
Blaine,1032427,088004010126,Taaka Vodka 1.75L,9031608,6,1.0,52.71,52.71,
Cottage Grove,1032456,088004010126,Taaka Vodka 1.75L,9031608,6,1.0,52.71,52.71,
Ramsey,1032503,088004010126,Taaka Vodka 1.75L,9031608,6,1.0,52.71,52.71,
Rosemount,1032510,088004010126,Taaka Vodka 1.75L,9031608,6,0.5,52.71,0.0,
Minneapolis,1032468,088004010133,Taaka Vodka Liter,9031606,12,1.0,72.0,72.0,
Ramsey,1032503,088004010133,Taaka Vodka Liter,9031606,12,1.0,72.0,72.0,
Roseville,1032525,088004010133,Taaka Vodka Liter,9031606,12,1.0,72.0,72.0,
Bloomington,1032437,088004011543,Taaka Vodka 750ml,9031611,12,0.5,54.0,27.0,
Chanhassen,1032447,088004011543,Taaka Vodka 750ml,9031611,12,1.0,54.0,54.0,
Minneapolis,1032468,088004011543,Taaka Vodka 750ml,9031611,12,1.0,54.0,54.0,
Osseo,1032482,088004011543,Taaka Vodka 750ml,9031611,12,1.0,54.0,54.0,
Andover,1032411,088004012724,Platinum Vodka 1.75L,9220003,6,1.0,58.33,58.33,
Blaine,1032427,088004012724,Platinum Vodka 1.75L,9220003,6,1.0,58.33,58.33,
Ramsey,1032503,088004012724,Platinum Vodka 1.75L,9220003,6,1.0,58.33,58.33,
Rosemount,1032510,088004012724,Platinum Vodka 1.75L,9220003,6,1.0,58.33,0.0,
Roseville,1032525,088004020323,Dr Mcgillicuddy Butterscotch 50ml,9219489,120,1.0,71.05,71.05,
Blaine,1032427,088004026141,Fris Vodka 1.75L,9612242,6,3.0,42.5,127.5,
Bloomington,1032437,088004026141,Fris Vodka 1.75L,9612242,6,6.0,42.5,255.0,
Minneapolis,1032468,088004026141,Fris Vodka 1.75L,9612242,6,10.0,42.5,425.0,
Roseville,1032525,088004026141,Fris Vodka 1.75L,9612242,6,2.0,42.5,85.0,
Stillwater,1032555,088004026141,Fris Vodka 1.75L,9612242,6,1.0,42.5,0.0,
Vadnais Heights,1032564,088004026141,Fris Vodka 1.75L,9612242,6,3.0,42.5,127.5,
Andover,1032411,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Blaine,1032427,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Minneapolis,1032468,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Woodbury,1032574,088004029296,Fireball Party Bucket,9295393,6,1.0,71.05,71.05,
Blaine,1032427,088004035761,Goldschlager 50ml,9007996,120,1.0,71.05,71.05,
Blaine,1032427,088004036157,Seagrams VO Canadian 1.75L,9016376,6,1.0,126.5,126.5,
Vadnais Heights,1032564,088004036157,Seagrams VO Canadian 1.75L,9016376,6,1.0,126.5,126.5,
Andover,1032411,088004060060,Traveller Whiskey 750ml,9706276,12,1.0,315.0,315.0,
Cottage Grove,1032456,088004060060,Traveller Whiskey 750ml,9706276,12,1.0,315.0,315.0,
Blaine,1032427,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Bloomington,1032437,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Cottage Grove,1032456,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Minneapolis,1032468,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
Roseville,1032525,088004069155,Fireball Blazin' Apple 50ml,9768707,120,1.0,71.05,71.05,
