Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
St. Louis Park,1031700,087113112950,Albert Bichot Cremant de Bourgogne Brut Rose 750ml,30336888,6,1.0,99.0,99.0,
Roseville,1031684,087113112998,Albert Bichot Cremant de Bourgogne Brut 750ml,30336887,6,1.0,99.0,99.0,
St. Louis Park,1031700,087113113308,Albert Bichot Macon-Villages 750ml,30339461,12,1.0,168.0,168.0,
Woodbury,1031736,098709088528,Catena Appellation Agrelo Cabernet Sauv 750ml,30289985,12,0.5,216.0,108.0,
Vadnais Heights,1031726,098709099159,Catena Appellation Paraje Altamira Malbec 750ml,30311226,12,0.5,216.0,108.0,
Minnetonka,1031638,098709198005,Villa Maria Sauvignon Blanc 750ml,30295243,12,1.0,126.0,126.0,
Roseville,1031684,098709198005,Villa Maria Sauvignon Blanc 750ml,30295243,12,1.0,126.0,126.0,
St. Louis Park,1031700,098709300194,Stadt Krems Kremstal Gruner,30292227,12,0.5,135.0,67.5,
Vadnais Heights,1031726,098709434004,Zenato Pinot Grigio 750ml,30290240,12,1.0,117.0,117.0,
Woodbury,1031736,098709434004,Zenato Pinot Grigio 750ml,30290240,12,1.0,117.0,117.0,
St. Louis Park,1031700,098709670150,Tilia Malbec 750ml,30299067,12,1.0,108.0,108.0,
Roseville,1031684,3483812150007,Saint Cosme Cote du Rhone 750ml,30291427,12,1.0,162.0,162.0,
Stillwater,1031717,3760010532744,Mirabeau Forever Summer Rose 750ml,30338991,12,1.0,120.0,120.0,
Chanhassen,1031606,657891700207,Liberty School Cab Sauv 750ml,30312375,12,1.0,135.0,135.0,
Woodbury,1031736,657891702423,Troublemaker 750ml,30310839,12,1.0,135.0,135.0,
Woodbury,1031736,657891715591,Austin Hope Cab Sauv 750ml,30309059,12,0.5,558.0,279.0,
Blaine,1031578,657891720915,Austin Cabernet Sauvignon 750ml,30280765,12,1.0,180.0,180.0,
Chanhassen,1031606,657891720915,Austin Cabernet Sauvignon 750ml,30280765,12,1.0,180.0,180.0,
Cottage Grove,1031617,657891720915,Austin Cabernet Sauvignon 750ml,30280765,12,1.0,180.0,180.0,
St. Louis Park,1031700,657891720915,Austin Cabernet Sauvignon 750ml,30280765,12,1.0,180.0,180.0,
Stillwater,1031717,657891720915,Austin Cabernet Sauvignon 750ml,30280765,12,1.0,180.0,180.0,
Roseville,1031684,695235000019,Fat Bastard Chardonnay 750ml,30310397,12,1.0,108.0,108.0,
Blaine,1031798,7503018079004,G4 Tequila Blanco 750ml,30203619,6,1.0,210.0,210.0,
Rosemount,1031873,7503018079004,G4 Tequila Blanco 750ml,30203619,6,1.0,210.0,210.0,
Minneapolis,1031628,750625653012,Clean Slate Riesling 750ml,30292151,12,1.0,99.0,99.0,
Vadnais Heights,1031726,750625653012,Clean Slate Riesling 750ml,30292151,12,1.0,99.0,99.0,
Woodbury,1031736,750625653012,Clean Slate Riesling 750ml,30292151,12,1.0,99.0,99.0,
St. Louis Park,1031700,851573001112,Cristom Mt. Jefferson Pinot Noir 750ml,30332078,12,0.5,432.0,216.0,
St. Louis Park,1031700,854294004288,Mr. Pink Rose 750ml,30333319,12,1.0,162.0,162.0,
