Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1031579,018341751055,Barefoot Chardonnay 750ml,000010766,12,1.0,51.85,51.85,
Woodbury,1031737,018341751055,Barefoot Chardonnay 750ml,000010766,12,1.0,51.85,51.85,
Blaine,1031579,018341751062,Barefoot White Zin 750ml,000010760,12,1.0,51.85,51.85,
Blaine,1031579,031259001043,Josh Cellars Rose 750ml,000027719,12,1.0,106.94,106.94,
Blaine,1031579,031259001456,Josh Cellars Pinot Grigio 750ml,001122193,12,1.0,106.94,106.94,
Chanhassen,1031607,031259001456,Josh Cellars Pinot Grigio 750ml,001122193,12,1.0,106.94,106.94,
Rosemount,1031671,031259001456,Josh Cellars Pinot Grigio 750ml,001122193,12,1.0,106.94,106.94,
Roseville,1031685,031259001456,Josh Cellars Pinot Grigio 750ml,001122193,12,1.0,106.94,106.94,
Woodbury,1031737,031259001456,Josh Cellars Pinot Grigio 750ml,001122193,12,1.0,106.94,106.94,
Blaine,1031579,031259004495,Josh Cellars Prosecco Rose 750ml,001471731,12,1.0,123.49,123.49,
Chanhassen,1031607,031259046976,Josh Cellars Sauvignon Blanc 750ml,000859264,12,2.0,106.94,213.88,
Roseville,1031685,031259048024,Josh Cellars Legacy Red Blend 750ml,000859249,12,1.0,123.49,123.49,
Woodbury,1031737,031259049229,Josh Cellars Zinfandel 750ml,001863061,12,1.0,123.49,123.49,
Blaine,1031799,040063400317,Four Roses Small Batch 750ml,001276086,6,1.0,142.78,142.78,
Woodbury,1031923,040063400409,Four Roses Bourbon 750ml,001343132,12,1.0,198.0,198.0,
Blaine,1031799,040063400430,Four Roses Bourbon 1.75L,001215736,6,1.0,165.28,165.28,
Rosemount,1031874,040063400430,Four Roses Bourbon 1.75L,001215736,6,1.0,165.28,165.28,
Roseville,1031881,040063400430,Four Roses Bourbon 1.75L,001215736,6,1.0,165.28,165.28,
Chanhassen,1031607,049331002222,La Crema Sonoma Chardonnay 750ml,001711590,12,1.0,156.0,156.0,
Woodbury,1031737,049331002307,La Crema Sonoma Ct Pinot Noir 750ml,1356385,12,1.0,188.31,188.31,
Woodbury,1031737,049331003120,La Crema Monterey Pinot Gris 750ml,001490917,12,1.0,125.86,125.86,
Bloomington,1031598,049331004134,La Crema Sonoma Sauvignon Blanc 750ml,001228173,12,1.0,150.0,150.0,
Chanhassen,1031607,049331021094,La Crema Mont Chardonnay 750ml,001500590,12,1.0,125.86,125.86,
Rosemount,1031671,049331021094,La Crema Mont Chardonnay 750ml,001500590,12,1.0,125.86,125.86,
Woodbury,1031737,049331021094,La Crema Mont Chardonnay 750ml,001500590,12,1.0,125.86,125.86,
Blaine,1031799,070491352070,Master of Mixes Simple Syrup 375ml,17149,12,1.0,32.0,32.0,
Osseo,1031647,080887493928,Bogle Chardonnay 750ml,1276061,12,2.0,74.75,149.5,
Blaine,1031589,080887496318,Bogle Pinot Noir 750ml,1207405,12,1.0,74.75,74.75,Store Request
Rosemount,1031874,081128001063,Old Forester Signature 750ml,001468732,12,1.0,222.3,222.3,
Blaine,1031799,081128001483,Woodford Reserve Bourbon Liter,1443584,6,1.0,170.0,170.0,
Roseville,1031881,081128001483,Woodford Reserve Bourbon Liter,1443584,6,1.0,170.0,170.0,
Chanhassen,1031607,081434000026,Black Box Merlot 3L Box,11173,6,1.0,84.0,84.0,
Blaine,1031579,081434000033,Black Box Cab Sauv 3L Box,28860,6,2.0,84.0,168.0,
Osseo,1031647,081434000033,Black Box Cab Sauv 3L Box,28860,6,1.0,84.0,84.0,
Rosemount,1031671,081434000033,Black Box Cab Sauv 3L Box,28860,6,1.0,84.0,84.0,
Roseville,1031685,081434000033,Black Box Cab Sauv 3L Box,28860,6,1.0,84.0,84.0,
