Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Roseville,1032528,3274510003807,Dolin Dry Vermouth 375ml,50122,12,1.0,112.0,112.0,
St. Louis Park,1032547,3274510003807,Dolin Dry Vermouth 375ml,50122,12,1.0,112.0,112.0,
Roseville,1032528,3274510003814,Dolin Rouge Vermouth 750ml,50125,12,1.0,152.0,152.0,
St. Louis Park,1032547,3274510003814,Dolin Rouge Vermouth 750ml,50125,12,1.0,152.0,152.0,
Blaine,1032430,3274510003906,Dolin Rouge Vermouth 375ml,50124,12,0.5,112.0,56.0,
Andover,1032586,678113000165,Ercole Monferratto Rosso Liter,90500,12,1.0,136.0,136.0,
St. Louis Park,1032710,678113000165,Ercole Monferratto Rosso Liter,90500,12,1.0,136.0,136.0,
St. Louis Park,1032710,678113000172,Ercole Rose DOC Liter,TPG_NJ:ErcoleRose_23,12,1.0,136.0,136.0,
Rosemount,1032683,8052740494580,Terre Dei Buth Frizzante Rosato 750ml,31801,12,1.0,120.0,120.0,
Plymouth,1032498,853396007180,King's County Straight Bourbon 750ml,97100,6,1.0,316.0,316.0,Store Request
Blaine,1032598,853868006680,Pavette Pinot Noir 750ml,16012,12,1.0,116.0,116.0,
Minnetonka,1032649,853868006703,Pavette Cabernet Sauvignon 750ml,16013,12,1.0,116.0,116.0,
St. Louis Park,1032710,854657002937,Piazza Grande Lambrusco Spuman 750ml,CANTINA_DI_CARPI_DI:,12,1.0,112.0,112.0,
Stillwater,1032726,854657002937,Piazza Grande Lambrusco Spuman 750ml,CANTINA_DI_CARPI_DI:,12,1.0,112.0,112.0,
Woodbury,1032743,854657002937,Piazza Grande Lambrusco Spuman 750ml,CANTINA_DI_CARPI_DI:,12,1.0,112.0,112.0,
