Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
St. Louis Park,1034582,083648000182,Pike Road Willamette Valley Pinot Noir 750ml,PikeRoadPN23,12,1.0,144.0,144.0,
Stillwater,1034595,083648000182,Pike Road Willamette Valley Pinot Noir 750ml,PikeRoadPN23,12,1.0,144.0,144.0,
St. Louis Park,1034582,083648012123,Elk Cove Pinot Noir Rose 750ml,ElkCoveRose23,12,1.0,160.0,160.0,
Plymouth,1034750,198168596999,Revel 88 Avila Reposado Tequila 750ml,RevelReposado,6,1.0,198.0,198.0,
Plymouth,1034535,3830000654395,Pullus Pinot Grigio 750ml,PullusPG23,12,1.0,144.0,144.0,
Rosemount,1034553,3830000654395,Pullus Pinot Grigio 750ml,PullusPG23,12,1.0,144.0,144.0,
Roseville,1034738,671839988106,Keepsake Farmhouse Organic Dry Cider 750ml,KeepsakeFarmhouseDry,12,1.0,136.0,136.0,Store Request
Woodbury,1034690,698450104463,Dos Amigos Tequila Reposado 750ml,DosAmigosReposado,12,1.0,275.63,275.63,
Roseville,1034738,745051321963,Keepsake Jewel Semi-Sweet Cider 750ml,KeepsakeJewel,12,1.0,160.0,160.0,Store Request
St. Louis Park,1034739,745051321963,Keepsake Jewel Semi-Sweet Cider 750ml,KeepsakeJewel,12,1.0,160.0,160.0,
St. Louis Park,1034739,850015899003,Mijenta Blanco Tequila 750ml,MijentaBlanco,6,1.0,216.0,216.0,
