Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
St. Louis Park,1034583,000579000098,Pine Ridge Chen Blanc/Viognier 750ml,29264,12,1.0,109.71,109.71,
St. Louis Park,1034583,081753833909,The Beach Rose 750ml,001497315,12,1.0,160.0,160.0,
St. Louis Park,1034583,081753833916,Whispering Angel Rose 750ml,1486651,12,1.0,224.0,224.0,
Andover,1034448,084279002507,Risata Moscato d'Asti 187ml,001604465,24,1.0,96.0,96.0,
Minneapolis,1034508,084279977638,Risata Moscato d'Asti 750ml,1785945,12,1.0,132.3,132.3,
Vadnais Heights,1034605,084279988108,Risata Pink Moscato 750ml,1616584,12,1.0,132.3,132.3,
Minneapolis,1034508,084279992464,Risata Prosecco 750ml,1924595,12,1.0,124.2,124.2,
Minnetonka,1034522,084279992464,Risata Prosecco 750ml,1924595,12,1.0,124.2,124.2,Store Request
Blaine,1034463,084279999951,Risata Red Moscato 750ml,1670416,12,1.0,132.3,132.3,
Ramsey,1034545,084279999951,Risata Red Moscato 750ml,1670416,12,1.0,132.3,132.3,
Roseville,1034568,085155000013,Chandon Brut Cuvee 750ml,40907,12,1.0,224.0,224.0,
Stillwater,1034596,085155000013,Chandon Brut Cuvee 750ml,40907,12,1.0,224.0,224.0,
St. Louis Park,1034583,085155001010,Chandon Brut Classic 187ml,40923,24,1.0,120.0,120.0,
St. Louis Park,1034583,097921970109,Rombauer Chardonnay 750ml,1752747,12,1.0,384.0,384.0,
Roseville,1034568,729722700257,Angeline Reserve Pinot Noir 750ml,000023772,12,1.0,128.0,128.0,
Rosemount,1034554,763955990023,Mussel Bay Sauvignon Blanc 750ml,1877257,12,1.0,120.0,120.0,
St. Louis Park,1034583,812949021806,Summer Water Rose 750ml,001253223,12,1.0,152.0,152.0,
Roseville,1034568,812949023459,Chop Shop Cabernet Sauvignon 750ml,001580344,12,1.0,106.67,106.67,
St. Louis Park,1034583,8414219019807,Nave Sur Verdejo Rueda,001519564,12,1.0,64.0,64.0,
Roseville,1034568,851115002324,Shania Monastrell 3L Box,001577621,3,1.0,41.0,41.0,
Rosemount,1034554,852411007563,Lifevine Cabernet 750ml,1145955,12,1.0,136.0,136.0,
Bloomington,1034479,855622000118,Belle Glos Clark & Telephone 750ml,001591727,12,1.0,400.0,400.0,
Minneapolis,1034508,856036001074,Underwood Rose 375ml,1175398,12,1.0,56.0,56.0,
Plymouth,1034536,856036001098,Underwood Bubbles 355ml,1930068,12,1.0,56.0,56.0,
St. Louis Park,1034583,856036001098,Underwood Bubbles 355ml,1930068,12,1.0,56.0,56.0,
Vadnais Heights,1034605,856036001098,Underwood Bubbles 355ml,1930068,12,1.0,56.0,56.0,
St. Louis Park,1034583,856036001197,Underwood Rose Bubbles 375ml,1405265,12,3.0,56.0,168.0,
Blaine,1034463,856184006112,Boen Tri Appellation Pinot Noir 750ml,1541103,12,1.0,152.0,152.0,
Woodbury,1034613,856184006112,Boen Tri Appellation Pinot Noir 750ml,1541103,12,1.0,152.0,152.0,
