Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Chanhassen,1030387,089475501014,Cantina Zaccagnini Montepulciano d'Abruz,11969,12,1.0,160.0,160.0,
Woodbury,1030526,089475501014,Cantina Zaccagnini Montepulciano d'Abruz,11969,12,1.0,160.0,160.0,
Minnetonka,1030419,089744402547,Trapiche Oak Cask Malbec 750ml,2180,12,1.0,88.0,88.0,
Blaine,1030366,400000014296,Libretto Pinot Gris 750ml,3010,12,4.0,54.84,219.36,
Cottage Grove,1030394,400000014296,Libretto Pinot Gris 750ml,3010,12,2.0,54.84,109.68,
Roseville,1030470,400000014296,Libretto Pinot Gris 750ml,3010,12,1.0,54.84,54.84,
St. Louis Park,1030494,400000014296,Libretto Pinot Gris 750ml,3010,12,1.0,54.84,54.84,
Andover,1030350,730429950012,True Myth Chardonnay 750ml,1753,12,1.0,120.0,120.0,
Roseville,1030470,739949010404,Gazela Vinho Verde,10259,12,1.0,64.0,64.0,
Minneapolis,1030407,763955016006,XXL Strawberry 750ml,2749,12,1.0,80.0,80.0,
Vadnais Heights,1030517,850832004277,Bread & Butter Pinot Noir 750ml,15569,12,1.0,120.0,120.0,Store Request
Andover,1030350,857680001564,Shannon Ridge Playtime Red 750ml,2585,12,1.0,96.0,96.0,
