Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Ramsey,1034546,031259008936,Yellow Tail Chardonnay 1.5L,000859072,6,2.0,46.33,92.66,
St. Louis Park,1034585,031259008936,Yellow Tail Chardonnay 1.5L,000859072,6,1.0,46.33,46.33,
Andover,1034450,031259009230,Yellow Tail Merlot 1.5L,859075,6,1.0,46.33,46.33,
Chanhassen,1034487,031259009230,Yellow Tail Merlot 1.5L,859075,6,1.0,46.33,46.33,
Stillwater,1034598,031259009469,Yellow Tail Cab Sauvignon 1.5L,000859066,6,1.0,46.33,46.33,
Vadnais Heights,1034607,031259009469,Yellow Tail Cab Sauvignon 1.5L,000859066,6,1.0,46.33,46.33,
Woodbury,1034615,031259009469,Yellow Tail Cab Sauvignon 1.5L,000859066,6,1.0,46.33,46.33,
Minneapolis,1034510,031259009728,Yellow Tail Pinot Grigio 1.5L,000859078,6,1.0,46.33,46.33,
Osseo,1034528,031259009728,Yellow Tail Pinot Grigio 1.5L,000859078,6,1.0,46.33,46.33,
Roseville,1034569,031259014050,Yellow Tail Cab Merlot 1.5L,000859069,6,1.0,46.33,46.33,
Andover,1034450,031259021911,Barone Fini Pinot Grigio 750ml,001198031,12,1.0,100.0,100.0,
Vadnais Heights,1034607,031259032641,Yellow Tail Super Crisp Chard 1.5L,001643458,6,1.0,46.33,46.33,
Cottage Grove,1034499,031259032863,Yellow Tail Moscato 1.5L,000859102,6,1.0,46.33,46.33,
Blaine,1034465,031259044101,Yellow Tail Sweet Red Roo 1.5L,1981115,6,1.0,46.33,46.33,
Rosemount,1034648,039383007184,Michter's Small Batch Bourbon 750ml,1385772,6,1.0,193.5,193.5,
Minneapolis,1034659,050200003295,Sunny D Vodka Seltzer 4pk 12oz can,1860346,6,1.0,48.75,48.75,
Minneapolis,1034659,050200003578,Sunny D Vodka Seltzer Orange Pineapple,1504446,6,1.0,48.75,48.75,
Minneapolis,1034659,050200006050,Sunny D Vodka Seltzer Summer Variety Pack,1081908,3,1.0,46.65,46.65,
Blaine,1034622,072924012131,Cock n Bull Ginger Beer 4pk 12oz btl,21612,6,1.0,29.25,29.25,
Vadnais Heights,1034669,072924012131,Cock n Bull Ginger Beer 4pk 12oz btl,21612,6,1.0,29.25,29.25,
Minneapolis,1034510,074806184202,Daily's Strawberry RTD Frozen 10oz,1254818,24,1.0,38.58,38.58,
Blaine,1034465,074806186206,Daily's Hurricane RTD Frozen 10oz,21907,24,1.0,38.58,38.58,
Blaine,1034465,074806189405,Daily's Jamaican RTD Frozen 10oz,23862,24,1.0,38.58,38.58,
Cottage Grove,1034499,074806918975,Daily's Blackberry Smash 10oz,1662164,24,1.0,38.58,38.58,
Andover,1034621,080686294016,2 Gingers 1.75L,000019651,6,1.0,151.5,151.5,
Blaine,1034622,080686294016,2 Gingers 1.75L,000019651,6,1.0,151.5,151.5,
Chanhassen,1034623,080686294030,2 Gingers 50ml,000020104,96,1.0,64.0,64.0,
Ramsey,1034624,080686294030,2 Gingers 50ml,000020104,96,1.0,64.0,64.0,
Roseville,1034625,080686294030,2 Gingers 50ml,000020104,96,1.0,64.0,64.0,
Woodbury,1034626,080686294030,2 Gingers 50ml,000020104,96,1.0,64.0,64.0,
Andover,1034621,080686500124,Windsor Canadian 1.75L,4523,6,5.0,92.35,461.75,
Blaine,1034622,080686500124,Windsor Canadian 1.75L,4523,6,15.0,92.35,1385.25,
Cottage Grove,1034658,080686500124,Windsor Canadian 1.75L,4523,6,7.0,92.35,646.45,
Osseo,1034660,080686500124,Windsor Canadian 1.75L,4523,6,6.0,92.35,554.1,
Plymouth,1034657,080686500124,Windsor Canadian 1.75L,4523,6,2.0,92.35,184.7,
Ramsey,1034624,080686500124,Windsor Canadian 1.75L,4523,6,1.0,92.35,92.35,
Rosemount,1034648,080686500124,Windsor Canadian 1.75L,4523,6,5.0,92.35,461.75,
Roseville,1034625,080686500124,Windsor Canadian 1.75L,4523,6,4.0,92.35,369.4,
St. Louis Park,1034661,080686500124,Windsor Canadian 1.75L,4523,6,2.0,92.35,184.7,
Stillwater,1034662,080686500124,Windsor Canadian 1.75L,4523,6,3.0,92.35,277.05,
Vadnais Heights,1034669,080686500124,Windsor Canadian 1.75L,4523,6,2.0,92.35,184.7,
Woodbury,1034626,080686500124,Windsor Canadian 1.75L,4523,6,2.0,92.35,184.7,
Blaine,1034622,080686500193,Windsor Black Cherry 1.75L,20476,6,2.0,92.35,184.7,
Cottage Grove,1034658,080686500407,Windsor Canadian Liter,000004531,12,1.0,126.0,126.0,
Andover,1034621,080686500902,Windsor Canadian 50ml,000067553,120,1.0,80.0,80.0,
Osseo,1034660,080686500902,Windsor Canadian 50ml,000067553,120,1.0,80.0,80.0,
Osseo,1034528,080887551017,Bogle Juggernaut Cabernet 750ml,1272724,12,1.0,157.2,157.2,
St. Louis Park,1034585,081584013082,K J Grand Res Chardonnay 750ml,1649514,12,1.0,144.0,144.0,
Andover,1034450,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,1.0,120.37,120.37,
Bloomington,1034480,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,1.0,120.37,120.37,
Minneapolis,1034510,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,1.0,120.37,120.37,
Ramsey,1034548,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,3.0,120.37,361.11,Store Request
Roseville,1034569,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,1.0,120.37,120.37,
St. Louis Park,1034585,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,2.0,120.37,240.74,
Woodbury,1034615,081584013105,K J Vintner's Chardonnay 750ml,1121762,12,1.0,120.37,120.37,
Cottage Grove,1034658,082000743507,Captain Morgan RTS Long Island 1.75L,000016021,6,1.0,90.0,90.0,
Vadnais Heights,1034669,082000759102,Captain Morgan Spiced Rum 1.75L,16304,6,2.0,120.0,240.0,
Andover,1034621,082000766070,Bulleit 95 Rye Whiskey 1.75L,000023315,6,1.0,228.0,228.0,
Woodbury,1034626,082000766070,Bulleit 95 Rye Whiskey 1.75L,000023315,6,1.0,228.0,228.0,
Blaine,1034622,082000771548,Crown Royal Regal Apple 200ml,000024792,44,1.0,257.0,257.0,
