Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Plymouth,1033299,015643257919,Villa Jolanda Moscato Straw 750ml,8715-NV,12,1.0,118.5,118.5,
Rosemount,1033326,015643521287,Sur de los Andes Malbec 750ml,1037849721,12,1.0,120.0,120.0,
Blaine,1033214,015643682193,Chateau La Caussade Sauvignon Blanc 750ml,3017850634,12,3.0,90.0,270.0,
Chanhassen,1033239,015643682193,Chateau La Caussade Sauvignon Blanc 750ml,3017850634,12,3.0,90.0,270.0,
Roseville,1033344,015643682193,Chateau La Caussade Sauvignon Blanc 750ml,3017850634,12,3.0,90.0,270.0,
St. Louis Park,1033361,015643682193,Chateau La Caussade Sauvignon Blanc 750ml,3017850634,12,3.0,90.0,270.0,
Rosemount,1033326,015643699252,The Little Sheep Sauvignon Blanc 750ml,14198-25,12,1.0,96.0,96.0,
Roseville,1033344,015643699252,The Little Sheep Sauvignon Blanc 750ml,14198-25,12,1.0,96.0,96.0,
Blaine,1033214,015643744785,Il Valore Pinot Grigio 750ml,83675-23,12,3.0,85.0,255.0,
Plymouth,1033299,5060152093300,The Horologist Sauvignon Blanc NZ 750ml,OP100-23,12,5.0,90.0,450.0,
Plymouth,1033299,5060152096998,Elmstone Sauvignon Blanc Marlborough 750ml,OP600-24,12,2.0,90.0,180.0,
St. Louis Park,1033361,648348080003,Monte Degli Angeli Pinot Noir 750ml,81030-22,12,1.0,112.0,112.0,
Vadnais Heights,1033391,648348080003,Monte Degli Angeli Pinot Noir 750ml,81030-22,12,1.0,112.0,112.0,
St. Louis Park,1033365,819243001169,Willm Pinot Gris Alsace Reserv 750ml,2646417059,12,1.0,152.0,152.0,Store Request
