Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1033639,181856000052,Colle Corviano Sangiovese,ITCCSANG22,12,1.0,88.0,88.0,
Vadnais Heights,1033762,181856000052,Colle Corviano Sangiovese,ITCCSANG22,12,1.0,88.0,88.0,
Blaine,1033639,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,2.0,88.0,176.0,
Cottage Grove,1033664,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,1.0,88.0,88.0,
Osseo,1033690,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,1.0,88.0,88.0,
Rosemount,1033715,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,1.0,88.0,88.0,
Roseville,1033726,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,1.0,88.0,88.0,
Woodbury,1033773,181856000250,Colle Corviano Pinot Grigio 750ml,ITCCPG4,12,1.0,88.0,88.0,
Cottage Grove,1033664,181856000892,Colle Corviano Cerasuolo Rose 750ml,ITCCRSE24,12,1.0,88.0,88.0,
Roseville,1033726,181856000892,Colle Corviano Cerasuolo Rose 750ml,ITCCRSE24,12,2.0,88.0,176.0,
Vadnais Heights,1033762,181856000892,Colle Corviano Cerasuolo Rose 750ml,ITCCRSE24,12,1.0,88.0,88.0,
Woodbury,1033773,181856000892,Colle Corviano Cerasuolo Rose 750ml,ITCCRSE24,12,1.0,88.0,88.0,
