Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1030557,011034410055,Martini & Rossi Sweet Vermouth 750ml,442536,6,1.0,44.99,44.99,
Rosemount,1030647,011034410055,Martini & Rossi Sweet Vermouth 750ml,442536,6,1.0,44.99,44.99,
Blaine,1030557,011034430053,Martini & Rossi Blanco 750ml,442539,6,1.0,44.99,44.99,
Blaine,1030557,075496002005,Angostura Aromatic Bitters 6.7oz,334995,12,1.0,170.0,170.0,
Blaine,1030557,080432000038,Glenlivet New Manhattan 375ml,545696,12,1.0,120.6,120.6,
St. Louis Park,1030676,080432000212,Olmeca Altos Lime Margarita 750ml,551097,6,1.0,67.46,67.46,
Blaine,1030557,080432107294,Jameson Select Res Black Barre Liter,412253,6,1.0,229.04,229.04,
Blaine,1030557,080432115763,Glenlivet Caribbean Reserve 750ml,963700,6,1.0,181.58,181.58,
St. Louis Park,1030676,080432115763,Glenlivet Caribbean Reserve 750ml,963700,6,1.0,181.58,181.58,
Blaine,1030557,080432117330,Jameson Orange 750ml,517574,6,1.0,127.47,127.47,
Woodbury,1030704,080432117538,Jameson Whiskey Ginger & Lime 4pk 12oz can,624422,6,1.0,48.25,48.25,
Blaine,1030557,080432117798,Glenlivet Old Fashioned 375ml,543592,12,1.0,120.6,120.6,
Blaine,1030557,080432400814,Martell VS Cognac 750ml,513798,12,1.0,315.72,315.72,
St. Louis Park,1030676,080432401262,Seagrams Extra Dry Gin 1.75L,10300,6,1.0,89.85,89.85,
Minneapolis,1030596,080432500118,Jameson Irish Whiskey Liter,24601,12,1.0,330.12,330.12,
Chanhassen,1030577,080432500149,Jameson Irish Whiskey 375ml,617504,24,1.0,273.24,273.24,
Roseville,1030659,080432500187,Jameson Irish Whiskey 1.75L,24600,6,1.0,247.5,247.5,
Blaine,1030557,080480000264,Bacardi Dragon Berry Rum Liter,240792,12,1.0,143.37,143.37,
Andover,1030544,080480001094,Bacardi Limon Rum Traveler,290344,12,1.0,125.37,125.37,
Blaine,1030557,080480001094,Bacardi Limon Rum Traveler,290344,12,1.0,125.37,125.37,
Bloomington,1030569,080480001506,Bacardi Spiced Rum 1.75L,960686,6,1.0,102.93,102.93,
Blaine,1030557,080480005245,Bacardi Black Rum 1.75L,383118,6,1.0,102.93,102.93,
Blaine,1030557,080480006662,St Germain Elderflower Liqueur 375ml,412362,12,1.0,146.0,146.0,
