Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1034474,089419000160,La Vieille Ferme Rose 3L Box,18023,6,1.0,112.0,112.0,
Plymouth,1034539,089419000160,La Vieille Ferme Rose 3L Box,18023,6,2.0,112.0,224.0,
Ramsey,1034549,089419000160,La Vieille Ferme Rose 3L Box,18023,6,1.0,112.0,112.0,
Rosemount,1034558,089419000160,La Vieille Ferme Rose 3L Box,18023,6,1.0,112.0,112.0,
St. Louis Park,1034588,089419000160,La Vieille Ferme Rose 3L Box,18023,6,2.0,112.0,224.0,
Woodbury,1034618,089419000160,La Vieille Ferme Rose 3L Box,18023,6,1.0,112.0,112.0,
St. Louis Park,1034588,089419000351,La Vieille Ferme Blanc 3L Box,17346,6,1.0,112.0,112.0,
Andover,1034454,089419002102,Caparzo Toscona Sangiovese,26286,12,1.0,120.0,120.0,
Plymouth,1034539,089419151039,MAN Vintners Chenin Blanc 750ml,25497,12,1.0,92.0,92.0,
Plymouth,1034539,5600379041236,Raza Vinho Verde 750ml,26969,12,1.0,88.0,88.0,
St. Louis Park,1034588,5600379041236,Raza Vinho Verde 750ml,26969,12,1.0,88.0,88.0,
Ramsey,1034549,711408713651,Toad Hollow Chardonnay 750ml,25676,12,1.0,136.0,136.0,
Woodbury,1034618,747846010083,Hakutsuru Draft Sake 300ml,7665,20,1.0,104.0,104.0,
Roseville,1034573,787202000174,Pavao Vinho Verde 750ml,13163,12,1.0,64.0,64.0,
Blaine,1034473,814829022729,Masumi Mirror of Truth Junmai Sake 720ml,11681,12,1.0,326.0,0.0,Store Request
Blaine,1034473,814829022729,Masumi Mirror of Truth Junmai Sake 720ml,11681,12,0.08,0.0,0.0,Store Request
Chanhassen,1034489,859551001291,Matchbook The Arsonist Chardonnay 750ml,27357,12,1.0,126.0,126.0,
