Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Chanhassen,1033241,011699014933,Bouchard VDP Pinot Noir 750ml,67602,12,1.0,104.0,104.0,
Rosemount,1033328,011699019150,Bouchard VDF Pinot Noir Rose 750ml,72442,12,1.0,104.0,104.0,
St. Louis Park,1033368,011699019150,Bouchard VDF Pinot Noir Rose 750ml,72442,12,1.0,104.0,104.0,
Vadnais Heights,1033393,011699019150,Bouchard VDF Pinot Noir Rose 750ml,72442,12,1.0,104.0,104.0,
Chanhassen,1032928,043499929827,Dashfire Bourbon Old Fashioned 750ml,53580,6,1.0,117.0,117.0,
Roseville,1033101,043499929841,Dashfire Old Fashioned 100ml,53589,24,1.0,84.0,84.0,
St. Louis Park,1033122,043499929841,Dashfire Old Fashioned 100ml,53589,24,1.0,84.0,84.0,
Chanhassen,1032928,043499929902,Dashfire Chai White Russian 100ml,53609,24,1.0,84.0,84.0,
Andover,1033201,083417000368,Dolly Chardonnay 750ml,30922,12,1.0,120.0,120.0,
St. Louis Park,1033368,606179210006,Sun Goddess Sauvignon Blanc 750ml,17952,12,1.0,176.0,176.0,
Blaine,1033216,606179210471,Sun Goddess Pinot Grigio Ramato 750ml,17962,12,1.0,176.0,176.0,
Blaine,1033216,607054190215,Sweet Bitch Mango Moscato 750ml,37532,12,1.0,96.0,96.0,
Minneapolis,1033269,607054190215,Sweet Bitch Mango Moscato 750ml,37532,12,1.0,96.0,96.0,
Rosemount,1033328,607054492609,Sweet Bitch Moscato Rose 750ml,37472,12,1.0,96.0,96.0,
St. Louis Park,1033368,698565012875,J Moreau & Fils Chablis 750ml,69382,12,0.5,272.0,136.0,
Cottage Grove,1033257,795044286021,Han Jan Apple 750ml,16492,12,1.0,104.0,104.0,
Minneapolis,1033269,855708006591,"Piattelli Res Torrontes, Cafayate 750ml",45472,12,1.0,96.0,96.0,
Minneapolis,1032982,858173008114,Post Meridiem Margarita 100ml RTD,54709,24,1.0,72.0,72.0,
Plymouth,1033303,871752001016,Kono Sauvignon Blanc 750ml,84402,12,1.0,120.0,120.0,
St. Louis Park,1033368,871752001016,Kono Sauvignon Blanc 750ml,84402,12,2.0,120.0,240.0,
Chanhassen,1033241,8801100130510,Good Day Peach Soju 375ml,51044,24,1.0,108.25,108.25,
Minneapolis,1033269,8801100130510,Good Day Peach Soju 375ml,51044,24,1.0,108.25,108.25,
St. Louis Park,1033368,8801100130510,Good Day Peach Soju 375ml,51044,24,1.0,108.25,108.25,
Minneapolis,1033269,8801100130534,Good Day Pineapple Soju 375ml,51064,24,1.0,108.25,108.25,
Andover,1033201,8801100130961,Good Day Mango Soju 375ml,51075,20,1.0,97.0,97.0,
Ramsey,1033312,8809018211796,Han Jan Strawberry 375ml,17754,20,1.0,86.5,86.5,
